jours	NOM	jour
18	NUM	@card@
h	ABR	heure
25	NUM	@card@
;	PUN	;
belfort	NOM	belfort
gare	NOM	gare
sncf	NOM	sncf
:	PUN	:
aller	VER:infi	aller
12	NUM	@card@
h	ABR	heure
15	NUM	@card@
retour	NOM	retour
18	NUM	@card@
h	ABR	heure
10	NUM	@card@
;	PUN	;
belfort	NOM	belfort
office	NOM	office
de	PRP	de
tourisme	NOM	tourisme
:	PUN	:
aller	VER:infi	aller
12	NUM	@card@
h	ABR	heure
22	NUM	@card@
retour	NOM	retour
18	NUM	@card@
h	ABR	heure
03	NUM	@card@
;	PUN	;
belfort	NOM	belfort
marché	VER:pper	marcher
des	PRP:det	du
vosges	ADJ	vosges
:	PUN	:
aller	VER:infi	aller
12	NUM	@card@
h	ABR	heure
25	NUM	@card@
retour	NOM	retour
18	NUM	@card@
h	ABR	heure
00	NUM	@card@
;	PUN	;
valdoie	NOM	valdoie
turenne	NOM	turenne
:	PUN	:
aller	VER:infi	aller
12	NUM	@card@
h	ABR	heure
30	NUM	@card@
retour	NOM	retour
17	NUM	@card@
h	ABR	heure
55	NUM	@card@
;	PUN	;
sermamagny	NAM	sermamagny
ecole	NOM	ecole
:	PUN	:
aller	VER:infi	aller
12	NUM	@card@
h	ABR	heure
40	NUM	@card@
retour	NOM	retour
17	NUM	@card@
h	ABR	heure
45	NUM	@card@
;	PUN	;
giromagny	NAM	giromagny
place	VER:pres	placer
mineurs	ADJ	mineur
:	PUN	:
aller	VER:infi	aller
12	NUM	@card@
h	ABR	heure
50	NUM	@card@
retour	NOM	retour
17	NUM	@card@
h	ABR	heure
35	NUM	@card@
;	PUN	;
lepuix-gy	NOM	lepuix-gy
les	DET:ART	le
carrières	NOM	carrière
:	PUN	:
aller	VER:infi	aller
12	NUM	@card@
h	ABR	heure
55	NUM	@card@
retour	NOM	retour
17	NUM	@card@
h	ABR	heure
30	NUM	@card@
;	PUN	;
parking	NOM	parking
gentiane	NOM	gentiane
:	PUN	:
aller	VER:infi	aller
13	NUM	@card@
h	ABR	heure
10	NUM	@card@
retour	NOM	retour
17	NUM	@card@
h	ABR	heure
15	NUM	@card@
;	PUN	;
parking	NOM	parking
langenberg	NOM	langenberg
:	PUN	:
aller	VER:infi	aller
13	NUM	@card@
h	ABR	heure
15	NUM	@card@
retour	NOM	retour
17	NUM	@card@
h	ABR	heure
10	NUM	@card@
;	PUN	;
parking	NOM	parking
ferme-auberge	NOM	ferme-auberge
:	PUN	:
aller	VER:infi	aller
13	NUM	@card@
h	ABR	heure
25	NUM	@card@
retour	NOM	retour
17	NUM	@card@
h	ABR	heure
05	NUM	@card@
;	PUN	;
parking	NOM	parking
jumenterie	NOM	jumenterie
:	PUN	:
aller	VER:infi	aller
13	NUM	@card@
h	ABR	heure
30	NUM	@card@
retour	NOM	retour
17	NUM	@card@
h	ABR	heure
00	NUM	@card@
tarifs	NOM	tarif
(	PUN	(
billetterie	NOM	billetterie
à	PRP	à
la	DET:ART	le
montée	NOM	montée
du	PRP:det	du
bus	NOM	bus
)	PUN	)
:	PUN	:
5,5	NUM	@card@
/	NOM	/
adulte	ADJ	adulte
;	PUN	;
3	NUM	@card@
/	NOM	/
enfant	NOM	enfant
de	PRP	de
6	NUM	@card@
à	PRP	à
16	NUM	@card@
ans	NOM	an
;	PUN	;
gratuit	ADJ	gratuit
de	PRP	de
0	NUM	@card@
à	PRP	à
5	NUM	@card@
ans	NOM	an
;	PUN	;
tarif	NOM	tarif
groupe	NOM	groupe
:	PUN	:
1	NUM	@card@
gratuit	ADJ	gratuit
pour	PRP	pour
10	NUM	@card@
payant	ADJ	payant
(	PUN	(
sur	PRP	sur
réservation	NOM	réservation
uniquement	ADV	uniquement
).	ADJ	).
informations	NOM	information
:	PUN	:
-	PUN	-
maison	NOM	maison
du	PRP:det	du
tourisme	NOM	tourisme
territoire	NOM	territoire
de	PRP	de
belfort	NOM	belfort
:	PUN	:
03.84	NUM	@card@
.	SENT	.
55.90	NUM	@card@
.	SENT	.
90	NUM	@card@
-	PUN	-
réservations	NOM	réservation
groupes	NOM	groupe
(	PUN	(
obligatoire	ADJ	obligatoire
),	NOM	),
autocars	NOM	autocar
gingrat	NOM	gingrat
:	PUN	:
03.81	NUM	@card@
.	SENT	.
30.35	NUM	@card@
.	SENT	.
85	NUM	@card@
-	PUN	-
info-neige	NOM	info-neige
(	PUN	(
smiba	VER:simp	smiba
),	ADJ	),
circulation	NOM	circulation
des	PRP:det	du
bus	NOM	bus
:	PUN	:
03.84	NUM	@card@
.	SENT	.
29.33	NUM	@card@
.	SENT	.
44	NUM	@card@
