bureau	NOM	bureau
11	NUM	@card@
h	ABR	heure
,	PUN	,
pour	PRP	pour
les	DET:ART	le
6	NUM	@card@
-	PUN	-
11	NUM	@card@
ans	NOM	an
;	PUN	;
école	NOM	école
de	PRP	de
magie	NOM	magie
,	PUN	,
de	PRP	de
10	NUM	@card@
h	ABR	heure
à	PRP	à
11	NUM	@card@
h	ABR	heure
30	NUM	@card@
pour	PRP	pour
les	DET:ART	le
8	NUM	@card@
-	PUN	-
11	NUM	@card@
ans	NOM	an
;	PUN	;
orchestre	NOM	orchestre
junior	ADJ	junior
,	PUN	,
répétition	NOM	répétition
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
15	NUM	@card@
h	ABR	heure
30	NUM	@card@
;	PUN	;
gymnastique	NOM	gymnastique
rythmique	ADJ	rythmique
et	KON	et
sportive	ADJ	sportif
,	PUN	,
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
15	NUM	@card@
h	ABR	heure
30	NUM	@card@
pour	PRP	pour
les	DET:ART	le
7	NUM	@card@
-	PUN	-
9	NUM	@card@
ans	NOM	an
;	PUN	;
danse	NOM	danse
rythmique	ADJ	rythmique
,	PUN	,
de	PRP	de
15	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
16	NUM	@card@
h	ABR	heure
30	NUM	@card@
pour	PRP	pour
les	DET:ART	le
7	NUM	@card@
-	PUN	-
8	NUM	@card@
ans	NOM	an
;	PUN	;
chorale	ADJ	choral
enfants	NOM	enfant
,	PUN	,
de	PRP	de
16	NUM	@card@
h	ABR	heure
à	PRP	à
17	NUM	@card@
h	ABR	heure
;	PUN	;
danse	NOM	danse
contemporaine	ADJ	contemporain
,	PUN	,
de	PRP	de
16	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
18	NUM	@card@
h	ABR	heure
pour	PRP	pour
les	DET:ART	le
9	NUM	@card@
-	PUN	-
10	NUM	@card@
ans	NOM	an
;	PUN	;
poterie	NOM	poterie
adultes	ADJ	adulte
,	PUN	,
de	PRP	de
18	NUM	@card@
h	ABR	heure
à	PRP	à
20	NUM	@card@
h	ABR	heure
;	PUN	;
relaxation	NOM	relaxation
yoga	NOM	yoga
,	PUN	,
de	PRP	de
20	NUM	@card@
h	ABR	heure
à	PRP	à
21	NUM	@card@
h	ABR	heure
30	NUM	@card@
;	PUN	;
club	NOM	club
pyramide	NOM	pyramide
«	PUN:cit	«
aqua-méninges	NOM	aqua-méninges
»,	ADJ	»,
de	PRP	de
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
22	NUM	@card@
h	ABR	heure
30	NUM	@card@
;	PUN	;
mercredis	NOM	mercredi
récréatifs	ADJ	récréatif
,	PUN	,
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h	ABR	heure
,	PUN	,
pour	PRP	pour
les	DET:ART	le
enfants	NOM	enfant
de	PRP	de
6	NUM	@card@
-	PUN	-
12	NUM	@card@
ans	NOM	an
.	SENT	.
espace	NOM	espace
multimédia	ADJ	multimédia
.	SENT	.
a	VER:pres	avoir
la	DET:ART	le
carte	NOM	carte
,	PUN	,
de	PRP	de
10	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h	ABR	heure
et	KON	et
de	PRP	de
13	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h	ABR	heure
30	NUM	@card@
théâtre	NOM	théâtre
.	SENT	.
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
15	NUM	@card@
h	ABR	heure
30	NUM	@card@
(	PUN	(
12	NUM	@card@
-	PUN	-
17	NUM	@card@
ans	NOM	an
)	PUN	)
et	KON	et
de	PRP	de
16	NUM	@card@
h	ABR	heure
à	PRP	à
17	NUM	@card@
h	ABR	heure
30	NUM	@card@
(	PUN	(
11	NUM	@card@
-	PUN	-
12	NUM	@card@
ans	NOM	an
)	PUN	)
;	PUN	;
cours	NOM	cour|cours
pour	PRP	pour
les	DET:ART	le
jeunes	NOM	jeune
des	PRP:det	du
didascalies	NOM	didascalie
au	PRP:det	au
local	NOM	local
(	PUN	(
ancien	ADJ	ancien
dojo	NOM	dojo
)	PUN	)
;	PUN	;
inscriptions	NOM	inscription
possibles	ADJ	possible
sur	PRP	sur
place	NOM	place
ou	KON	ou
en	PRP	en
téléphonant	VER:ppre	téléphoner
au	PRP:det	au
03.29	NUM	@card@
.	SENT	.
09.71	NUM	@card@
.	SENT	.
30	NUM	@card@
objets	NOM	objet
encombrants	ADJ	encombrant
.	SENT	.
ramassage	NOM	ramassage
aujourd'hui	ADV	aujourd'hui
des	PRP:det	du
objets	NOM	objet
encombrants	ADJ	encombrant
.	SENT	.
