comme	ADV	comme
.	SENT	.
aucun	PRO:IND	aucun
niveau	NOM	niveau
de	PRP	de
départ	NOM	départ
n'	ADV	ne
est	VER:pres	être
exigé	VER:pper	exiger
,	PUN	,
ce	PRO:DEM	ce
stage	NOM	stage
se	PRO:PER	se
déroulera	VER:futu	dérouler
au	PRP:det	au
centre	NOM	centre
jean-moulin	ADJ	jean-moulin
,	PUN	,
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
17	NUM	@card@
h	ABR	heure
,	PUN	,
du	PRP:det	du
26	NUM	@card@
au	PRP:det	au
28	NUM	@card@
février	NOM	février
.	SENT	.
tarif	NOM	tarif
:	PUN	:
12	NUM	@card@
	NOM	
le	DET:ART	le
stage	NOM	stage
.	SENT	.
tournoi	NOM	tournoi
sportif	ADJ	sportif
:	PUN	:
un	DET:ART	un
tournoi	NOM	tournoi
de	PRP	de
foot	NOM	foot
à	PRP	à
5	NUM	@card@
pouvant	VER:ppre	pouvoir
accueillir	VER:infi	accueillir
jusqu'à	NOM	jusqu'à
8	NUM	@card@
équipes	NOM	équipe
,	PUN	,
se	PRO:PER	se
déroulera	VER:futu	dérouler
au	PRP:det	au
gymnase	NOM	gymnase
de	PRP	de
bavilliers	NOM	bavilliers
,	PUN	,
mardi	NOM	mardi
25	NUM	@card@
février	NOM	février
,	PUN	,
de	PRP	de
14	NUM	@card@
à	PRP	à
16	NUM	@card@
h	ABR	heure
30	NUM	@card@
chaque	PRO:IND	chaque
équipe	NOM	équipe
(	PUN	(
de	PRP	de
5	NUM	@card@
à	PRP	à
6	NUM	@card@
jeunes	NOM	jeune
)	PUN	)
devra	VER:futu	devoir
s'	PRO:PER	se
inscrire	VER:infi	inscrire
avant	PRP	avant
le	DET:ART	le
tournoi	NOM	tournoi
auprès	ADV	auprès
de	PRP	de
l'	DET:ART	le
éducateur	NOM	éducateur
sportif	ADJ	sportif
.	SENT	.
tarif	NOM	tarif
:	PUN	:
4	NUM	@card@
	NOM	
par	PRP	par
équipe	NOM	équipe
.	SENT	.
soirées	NOM	soirée
parents-enfants	ADJ	parents-enfants
:	PUN	:
mardi	NOM	mardi
25	NUM	@card@
il	PRO:PER	il
est	VER:pres	être
proposé	VER:pper	proposer
de	PRP	de
découvrir	VER:infi	découvrir
les	DET:ART	le
charmes	NOM	charme
de	PRP	de
la	DET:ART	le
randonnée	NOM	randonnée
en	PRP	en
raquettes	NOM	raquette
en	PRP	en
nocturne	NOM	nocturne
(	PUN	(
à	PRP	à
partir	VER:infi	partir
de	PRP	de
18	NUM	@card@
h	ABR	heure
).	ABR	).
cette	PRO:DEM	ce
randonnée	NOM	randonnée
se	PRO:PER	se
déroulera	VER:futu	dérouler
dans	PRP	dans
le	DET:ART	le
massif	NOM	massif
du	PRP:det	du
ballon	NOM	ballon
d'	PRP	de
alsace	NOM	alsace
au	PRP:det	au
départ	NOM	départ
du	PRP:det	du
chalet	NOM	chalet
de	PRP	de
la	DET:ART	le
gentiane	NOM	gentiane
.	SENT	.
elle	PRO:PER	elle
sera	VER:futu	être
encadrée	VER:pper	encadrer
par	PRP	par
des	PRP:det	du
accompagnateurs	NOM	accompagnateur
diplômés	ADJ	diplômé
.	SENT	.
une	DET:ART	un
participation	NOM	participation
de	PRP	de
3	NUM	@card@
	NOM	
par	PRP	par
personne	NOM	personne
sera	VER:futu	être
demandée	VER:pper	demander
.	SENT	.
le	DET:ART	le
transport	NOM	transport
se	PRO:PER	se
fera	VER:futu	faire
en	PRP	en
voiture	NOM	voiture
particulière	ADJ	particulier
au	PRP:det	au
départ	NOM	départ
de	PRP	de
bavilliers	NOM	bavilliers
.	SENT	.
inscriptions	NOM	inscription
obligatoires	ADJ	obligatoire
.	SENT	.
escalade	NOM	escalade
:	PUN	:
vendredi	NOM	vendredi
28	NUM	@card@
de	PRP	de
18	NUM	@card@
à	PRP	à
20	NUM	@card@
h	ABR	heure
,	PUN	,
les	DET:ART	le
amateurs	NOM	amateur
d'	PRP	de
escalade	NOM	escalade
pourront	VER:futu	pouvoir
venir	VER:infi	venir
se	PRO:PER	se
mesurer	VER:infi	mesurer
à	PRP	à
la	DET:ART	le
structure	NOM	structure
artificielle	ADJ	artificiel
du	PRP:det	du
gymnase	NOM	gymnase
bonnet	NOM	bonnet
,	PUN	,
quartier	NOM	quartier
des	PRP:det	du
glacis	NOM	glacis
(	PUN	(
12	NUM	@card@
m	NOM	m
de	PRP	de
hauteur	NOM	hauteur
).	VER:subi	).
contacts	NOM	contact
,	PUN	,
renseignements	NOM	renseignement
et	KON	et
inscriptions	NOM	inscription
:	PUN	:
christophe	ADJ	christophe
vogel	NOM	vogel
,	PUN	,
service	NOM	service
des	PRP:det	du
sports	NOM	sport
,	PUN	,
mairie	NOM	mairie
de	PRP	de
bavilliers	NOM	bavilliers
38	NUM	@card@
grande	ADJ	grand
rue	NOM	rue
françois-mitterrand	ADJ	françois-mitterrand
,	PUN	,
tél	ABR	téléphone
.	SENT	.
03.84	NUM	@card@
.	SENT	.
57.38	NUM	@card@
.	SENT	.
88	NUM	@card@
les	DET:ART	le
mardis	NOM	mardi
,	PUN	,
jeudis	NOM	jeudi
de	PRP	de
17	NUM	@card@
h	ABR	heure
15	NUM	@card@
à	PRP	à
18	NUM	@card@
h	ABR	heure
et	KON	et
les	DET:ART	le
samedis	NOM	samedi
8	NUM	@card@
et	KON	et
15	NUM	@card@
février	NOM	février
,	PUN	,
de	PRP	de
10	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h.	ABR	h.
