bureau	NOM	bureau
15	NUM	@card@
-	PUN	-
14	NUM	@card@
ans	NOM	an
et	KON	et
-	PUN	-
16	NUM	@card@
ans	NOM	an
filles	NOM	fille
;	PUN	;
-	PUN	-
12	NUM	@card@
ans	NOM	an
mixte	ADJ	mixte
(	PUN	(
semaine	NOM	semaine
paire	ADJ	pair
au	PRP:det	au
gymnase	NOM	gymnase
et	KON	et
impaire	ADJ	impair
au	PRP:det	au
complexe	NOM	complexe
sportif	ADJ	sportif
)	PUN	)
;	PUN	;
de	PRP	de
18	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
20	NUM	@card@
h	ABR	heure
,	PUN	,
-	PUN	-
14	NUM	@card@
ans	NOM	an
et	KON	et
-	PUN	-
16	NUM	@card@
ans	NOM	an
garçons	NOM	garçon
(	PUN	(
semaine	NOM	semaine
paire	ADJ	pair
au	PRP:det	au
gymnase	NOM	gymnase
et	KON	et
impaire	ADJ	impair
au	PRP:det	au
complexe	NOM	complexe
sportif	ADJ	sportif
)	PUN	)
;	PUN	;
de	PRP	de
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
22	NUM	@card@
h	ABR	heure
,	PUN	,
seniors	NOM	senior
hommes	NOM	homme
(	PUN	(
au	PRP:det	au
complexe	NOM	complexe
sportif	ADJ	sportif
).	VER:simp	).
basket	NOM	basket
:	PUN	:
de	PRP	de
17	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
19	NUM	@card@
h	ABR	heure
,	PUN	,
mini-poussins	NOM	mini-poussins
(	PUN	(
es	VER:pres	être
)	PUN	)
(	PUN	(
semaine	NOM	semaine
paire	ADJ	pair
au	PRP:det	au
complexe	NOM	complexe
sportif	ADJ	sportif
et	KON	et
impaire	ADJ	impair
au	PRP:det	au
gymnase	NOM	gymnase
).	VER:pper	).
de	PRP	de
19	NUM	@card@
h	ABR	heure
à	PRP	à
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
basket	NOM	basket
loisir	NOM	loisir
adultes	ADJ	adulte
(	PUN	(
semaine	NOM	semaine
paire	ADJ	pair
au	PRP:det	au
complexe	NOM	complexe
sportif	ADJ	sportif
et	KON	et
impaire	ADJ	impair
au	PRP:det	au
gymnase	NOM	gymnase
).	VER:cond	).
ju	VER:pper	ju
-	PUN	-
jitsu	NOM	jitsu
:	PUN	:
de	PRP	de
19	NUM	@card@
h	ABR	heure
à	PRP	à
21	NUM	@card@
h	ABR	heure
au	PRP:det	au
complexe	NOM	complexe
sportif	ADJ	sportif
.	SENT	.
gym	NOM	gym
volontaire	ADJ	volontaire
:	PUN	:
à	PRP	à
14	NUM	@card@
h	ABR	heure
au	PRP:det	au
complexe	NOM	complexe
sportif	ADJ	sportif
,	PUN	,
salle	NOM	salle
du	PRP:det	du
dojo	NOM	dojo
.	SENT	.
pétanque	NOM	pétanque
:	PUN	:
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h	ABR	heure
à	PRP	à
la	DET:ART	le
salle	NOM	salle
du	PRP:det	du
complexe	NOM	complexe
sportif	ADJ	sportif
.	SENT	.
chaussures	NOM	chaussure
propres	ADJ	propre
obligatoires	ADJ	obligatoire
.	SENT	.
escalade	NOM	escalade
:	PUN	:
de	PRP	de
20	NUM	@card@
h	ABR	heure
à	PRP	à
22	NUM	@card@
h	ABR	heure
au	PRP:det	au
complexe	NOM	complexe
sportif	ADJ	sportif
pour	PRP	pour
les	DET:ART	le
adultes	NOM	adulte
(	PUN	(
16	NUM	@card@
ans	NOM	an
et	KON	et
+).	VER:simp	+).
chaussures	NOM	chaussure
propres	ADJ	propre
obligatoires	ADJ	obligatoire
.	SENT	.
a	VER:pres	avoir
la	DET:ART	le
paroisse	NOM	paroisse
:	PUN	:
à	PRP	à
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
salle	NOM	salle
saint	ADJ	saint
epvre	NOM	epvre
,	PUN	,
célébration	NOM	célébration
des	PRP:det	du
cm	NOM	cm
2.	ADJ	@ord@
