kitzb	NOM	kitzb
champion	NOM	champion
du	PRP:det	du
monde	NOM	monde
2001	NUM	@card@
de	PRP	de
super-g	NOM	super-g
,	PUN	,
a	VER:pres	avoir
remporté	VER:pper	remporter
la	DET:ART	le
quatrième	NUM	quatrième
descente	NOM	descente
de	PRP	de
sa	DET:POS	son
carrière	NOM	carrière
.	SENT	.
il	PRO:PER	il
avait	VER:impf	avoir
notamment	ADV	notamment
gagné	VER:pper	gagner
à	PRP	à
bormio	NOM	bormio
(	PUN	(
italie	NOM	italie
)	PUN	)
le	DET:ART	le
29	NUM	@card@
décembre	NOM	décembre
dernier	ADJ	dernier
.	SENT	.
l'	DET:ART	le
autrichien	ADJ	autrichien
stephan	NOM	stephan
eberharter	NOM	eberharter
,	PUN	,
vainqueur	NOM	vainqueur
de	PRP	de
cinq	NUM	cinq
descentes	NOM	descente
cette	PRO:DEM	ce
saison	NOM	saison
,	PUN	,
a	VER:pres	avoir
terminé	VER:pper	terminer
à	PRP	à
la	DET:ART	le
4	NUM	@card@
e	ADJ	e
place	NOM	place
.	SENT	.
c'	PRO:DEM	ce
est	VER:pres	être
la	DET:ART	le
première	NUM	premier
fois	NOM	foi|fois
depuis	PRP	depuis
1998	NUM	@card@
qu'	KON	que
aucun	PRO:IND	aucun
autrichien	NOM	autrichien
n'	ADV	ne
est	VER:pres	être
classé	VER:pper	classer
parmi	PRP	parmi
les	DET:ART	le
trois	NUM	trois
premiers	NOM	premier
d'	PRP	de
une	DET:ART	un
descente	NOM	descente
à	PRP	à
kitzbuehel	NOM	kitzbuehel
.	SENT	.
au	PRP:det	au
classement	NOM	classement
général	ADJ	général
de	PRP	de
la	DET:ART	le
coupe	NOM	coupe
du	PRP:det	du
monde	NOM	monde
,	PUN	,
eberharter	NOM	eberharter
est	VER:pres	être
néanmoins	ADV	néanmoins
remonté	VER:pper	remonter
à	PRP	à
quelques	PRO:IND	quelque
points	NOM	point
du	PRP:det	du
leader	NOM	leader
,	PUN	,
l'	DET:ART	le
américain	ADJ	américain
bode	NOM	bode
miller	VER:infi	miller
.	SENT	.
classement	NOM	classement
de	PRP	de
la	DET:ART	le
descente	NOM	descente
:	PUN	:
1	NUM	@card@
rahlves	NOM	rahlves
(	PUN	(
usa	VER:simp	user
),	NOM	),
1	NUM	@card@
'	PUN	'
09	NUM	@card@
''	NOM	''
63	NUM	@card@
2	NUM	@card@
cuche	NOM	cuche
(	PUN	(
sui	VER:pper	sui
),	NOM	),
1	NUM	@card@
'	PUN	'
09	NUM	@card@
''	NOM	''
68	NUM	@card@
3	NUM	@card@
aamodt	NOM	aamodt
(	PUN	(
nor	NOM	nor
),	NOM	),
1	NUM	@card@
'	PUN	'
09	NUM	@card@
''	NOM	''
71	NUM	@card@
4	NUM	@card@
eberharter	NOM	eberharter
(	PUN	(
aut	VER:simp	aut
),	NOM	),
1	NUM	@card@
'	PUN	'
09	NUM	@card@
''	NOM	''
72	NUM	@card@
5	NUM	@card@
trinkl	NOM	trinkl
(	PUN	(
aut	VER:simp	aut
),	NOM	),
1	NUM	@card@
'	PUN	'
09	NUM	@card@
''	NOM	''
99	NUM	@card@
6	NUM	@card@
hoffmann	ADJ	hoffmann
(	PUN	(
sui	NOM	sui
)	PUN	)
et	KON	et
maier	NOM	maier
(	PUN	(
aut	VER:simp	aut
),	NOM	),
1	NUM	@card@
'	PUN	'
10	NUM	@card@
''	NOM	''
09	NUM	@card@
8	NUM	@card@
miller	NOM	miller
(	PUN	(
usa	VER:simp	user
),	NOM	),
1	NUM	@card@
'	PUN	'
10	NUM	@card@
''	NOM	''
10	NUM	@card@
(...	ABR	(...
)	PUN	)
14	NUM	@card@
deneriaz	NOM	deneriaz
(	PUN	(
fra	NOM	fra
),	NOM	),
1	NUM	@card@
'	PUN	'
10	NUM	@card@
''	NOM	''
27	NUM	@card@
