randonnée	NOM	randonnée
4	NUM	@card@
h	ABR	heure
de	PRP	de
marche	NOM	marche
,	PUN	,
550	NUM	@card@
m	NOM	m
de	PRP	de
dénivelé	NOM	dénivelé
).	VER:subi	).
vendredi	NOM	vendredi
21	NUM	@card@
à	PRP	à
13	NUM	@card@
h	ABR	heure
45	NUM	@card@
:	PUN	:
evette-salbert	NOM	evette-salbert
(	PUN	(
9	NUM	@card@
km	ABR	kilomètre
,	PUN	,
3	NUM	@card@
h	ABR	heure
de	PRP	de
marche	NOM	marche
,	PUN	,
100	NUM	@card@
m	NOM	m
de	PRP	de
dénivelé	NOM	dénivelé
).	VER:subi	).
dimanche	NOM	dimanche
23	NUM	@card@
à	PRP	à
8	NUM	@card@
h	ABR	heure
:	PUN	:
rouge	ADJ	rouge
gazon	NOM	gazon
(	PUN	(
13	NUM	@card@
km	ABR	kilomètre
,	PUN	,
5	NUM	@card@
h	ABR	heure
de	PRP	de
marche	NOM	marche
,	PUN	,
800	NUM	@card@
m	NOM	m
de	PRP	de
dénivelé	NOM	dénivelé
).	VER:subi	).
mardi	NOM	mardi
25	NUM	@card@
à	PRP	à
13	NUM	@card@
h	ABR	heure
30	NUM	@card@
:	PUN	:
plancher-les-mines	NOM	plancher-les-mines
(	PUN	(
10,5	NUM	@card@
km	ABR	kilomètre
,	PUN	,
3	NUM	@card@
h	ABR	heure
de	PRP	de
marche	NOM	marche
,	PUN	,
200	NUM	@card@
m	NOM	m
de	PRP	de
dénivelé	NOM	dénivelé
).	VER:subi	).
mercredi	NOM	mercredi
26	NUM	@card@
à	PRP	à
8	NUM	@card@
h	ABR	heure
30	NUM	@card@
:	PUN	:
grand	ADJ	grand
ballon	NOM	ballon
(	PUN	(
14	NUM	@card@
km	ABR	kilomètre
,	PUN	,
5	NUM	@card@
h	ABR	heure
de	PRP	de
marche	NOM	marche
,	PUN	,
600	NUM	@card@
m	NOM	m
de	PRP	de
dénivelé	NOM	dénivelé
).	VER:subi	).
jeudi	NOM	jeudi
27	NUM	@card@
à	PRP	à
13	NUM	@card@
h	ABR	heure
30	NUM	@card@
:	PUN	:
frahier	NOM	frahier
(	PUN	(
10	NUM	@card@
km	ABR	kilomètre
,	PUN	,
3	NUM	@card@
h	ABR	heure
de	PRP	de
marche	NOM	marche
,	PUN	,
60	NUM	@card@
m	NOM	m
de	PRP	de
dénivelé	NOM	dénivelé
).	VER:subi	).
ski	NOM	ski
de	PRP	de
fond	NOM	fond
.	SENT	.
mardi	NOM	mardi
4	NUM	@card@
à	PRP	à
8	NUM	@card@
h	ABR	heure
30	NUM	@card@
:	PUN	:
la	DET:ART	le
bresse	NOM	bresse
.	SENT	.
dimanche	NOM	dimanche
9	NUM	@card@
à	PRP	à
8	NUM	@card@
h	ABR	heure
15	NUM	@card@
:	PUN	:
val	NOM	val
de	PRP	de
morteau	NOM	morteau
.	SENT	.
jeudi	NOM	jeudi
13	NUM	@card@
à	PRP	à
9	NUM	@card@
h	ABR	heure
30	NUM	@card@
:	PUN	:
ballon	NOM	ballon
d'	PRP	de
alsace	NOM	alsace
.	SENT	.
mercredi	NOM	mercredi
26	NUM	@card@
à	PRP	à
8	NUM	@card@
h	ABR	heure
30	NUM	@card@
:	PUN	:
grand	ADJ	grand
ballon	NOM	ballon
.	SENT	.
ski	NOM	ski
nordique	ADJ	nordique
.	SENT	.
samedi	NOM	samedi
15	NUM	@card@
et	KON	et
dimanche	NOM	dimanche
16	NUM	@card@
:	PUN	:
sortie	NOM	sortie
nocturne	ADJ	nocturne
de	PRP	de
bon	ADJ	bon
pommier	NOM	pommier
à	PRP	à
belfahy	NOM	belfahy
et	KON	et
retour	NOM	retour
.	SENT	.
départ	NOM	départ
samedi	NOM	samedi
à	PRP	à
14	NUM	@card@
h	ABR	heure
30	NUM	@card@
projection	NOM	projection
de	PRP	de
diapositives	NOM	diapositive
en	PRP	en
fondu	NOM	fondu
enchaîné	VER:pper	enchaîner
le	DET:ART	le
vendredi	NOM	vendredi
7	NUM	@card@
février	NOM	février
,	PUN	,
à	PRP	à
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
salle	NOM	salle
327	NUM	@card@
de	PRP	de
la	DET:ART	le
maison	NOM	maison
du	PRP:det	du
peuple	NOM	peuple
de	PRP	de
belfort	NOM	belfort
.	SENT	.
thème	NOM	thème
:	PUN	:
polynésie	NOM	polynésie
-	PUN	-
inde	NOM	inde
-	PUN	-
brésil	NOM	brésil
(	PUN	(
chutes	NOM	chute
d'	PRP	de
iguaçu	NOM	iguaçu
)	PUN	)
-	PUN	-
du	PRP:det	du
pacifique	ADJ	pacifique
à	PRP	à
l'	DET:ART	le
atlantique	NOM	atlantique
en	PRP	en
passant	VER:ppre	passer
par	PRP	par
l'	DET:ART	le
océan	NOM	océan
indien	ADJ	indien
.	SENT	.
présentation	NOM	présentation
et	KON	et
commentaires	NOM	commentaire
de	PRP	de
robert	NOM	robert
antoni	ADJ	antoni
.	SENT	.
education	NOM	education
physique	ADJ	physique
tous	PRO:IND	tout
les	DET:ART	le
mardis	NOM	mardi
(	PUN	(
sauf	PRP	sauf
vacances	NOM	vacance
scolaires	ADJ	scolaire
)	PUN	)
au	PRP:det	au
gymnase	NOM	gymnase
,	PUN	,
112	NUM	@card@
avenue	NOM	avenue
jean-jaurès	NOM	jean-jaurès
à	PRP	à
belfort	NOM	belfort
,	PUN	,
de	PRP	de
18	NUM	@card@
h	ABR	heure
25	NUM	@card@
à	PRP	à
19	NUM	@card@
h	ABR	heure
25	NUM	@card@
pour	PRP	pour
tout	PRO:IND	tout
renseignement	NOM	renseignement
complémentaire	ADJ	complémentaire
et	KON	et
adhésion	NOM	adhésion
,	PUN	,
s'	PRO:PER	se
adresser	VER:infi	adresser
à	PRP	à
la	DET:ART	le
permanence	NOM	permanence
de	PRP	de
la	DET:ART	le
compagnie	NOM	compagnie
belfort-loisirs	NOM	belfort-loisirs
tous	PRO:IND	tout
les	DET:ART	le
jeudis	NOM	jeudi
,	PUN	,
de	PRP	de
18	NUM	@card@
h	ABR	heure
à	PRP	à
19	NUM	@card@
h	ABR	heure
,	PUN	,
au	PRP:det	au
4	NUM	@card@
rue	NOM	rue
jean-pierre	NOM	jean-pierre
melville	NOM	melville
à	PRP	à
belfort	NOM	belfort
(	PUN	(
bâtiment	NOM	bâtiment
idee	NOM	idee
).	ADJ	).
