après	PRP	après
trois	NUM	trois
heures	NOM	heure
hebdomadaire	ADJ	hebdomadaire
,	PUN	,
et	KON	et
celle	PRO:DEM	celui
d'	PRP	de
un	DET:ART	un
poste	NOM	poste
d'	PRP	de
entretien	NOM	entretien
à	PRP	à
raison	NOM	raison
de	PRP	de
vingt	NUM	vingt
heures	NOM	heure
hebdomadaires	ADJ	hebdomadaire
à	PRP	à
la	DET:ART	le
déchetterie	NOM	déchetterie
centrale	ADJ	central
de	PRP	de
saint-vit	NOM	saint-vit
à	PRP	à
compter	VER:infi	compter
du	PRP:det	du
1	NUM	@card@
e	NOM	e
r	VER:subi	r
février	NOM	février
2003	NUM	@card@
le	DET:ART	le
président	NOM	président
est	VER:pres	être
autorisé	VER:pper	autoriser
à	PRP	à
signer	VER:infi	signer
les	DET:ART	le
marchés	NOM	marché
négociés	VER:pper	négocier
avec	PRP	avec
les	DET:ART	le
sociétés	NOM	société
nicolin	ADJ	nicolin
pour	PRP	pour
le	DET:ART	le
tri	NOM	tri
sélectif	ADJ	sélectif
et	KON	et
la	DET:ART	le
collecte	NOM	collecte
et	KON	et
solover	NOM	solover
pour	PRP	pour
la	DET:ART	le
récupération	NOM	récupération
du	PRP:det	du
verre	NOM	verre
.	SENT	.
l'	DET:ART	le
achat	NOM	achat
de	PRP	de
quatre	NUM	quatre
conteneurs	NOM	conteneur
à	PRP	à
verre	NOM	verre
et	KON	et
pour	PRP	pour
la	DET:ART	le
déchetterie	NOM	déchetterie
centrale	ADJ	central
d'	PRP	de
un	DET:ART	un
tableau	NOM	tableau
d'	PRP	de
affichage	NOM	affichage
et	KON	et
d'	PRP	de
une	DET:ART	un
souffleuse	NOM	souffleur|souffleuse
.	SENT	.
la	DET:ART	le
convention	NOM	convention
liant	VER:ppre	lier
la	DET:ART	le
ccvsv	NOM	ccvsv
et	KON	et
l'	DET:ART	le
association	NOM	association
saint-vit	NOM	saint-vit
informatique	ADJ	informatique
chargée	VER:pper	charger
de	PRP	de
la	DET:ART	le
conception	NOM	conception
semestrielle	ADJ	semestriel
du	PRP:det	du
bulletin	NOM	bulletin
d'	PRP	de
information	NOM	information
de	PRP	de
la	DET:ART	le
ccvs	NOM	ccvs
est	VER:pres	être
signée	VER:pper	signer
.	SENT	.
est	VER:pres	être
lancé	VER:pper	lancer
l'	DET:ART	le
étude	NOM	étude
de	PRP	de
la	DET:ART	le
déchetterie	NOM	déchetterie
relais	NOM	relais
du	PRP:det	du
secteur	NOM	secteur
byans-sur-doubs	ADJ	byans-sur-doubs
,	PUN	,
abbans-dessous	NOM	abbans-dessous
,	PUN	,
abbans-dessus	NOM	abbans-dessus
et	KON	et
villars-saint-georges	NOM	villars-saint-georges
qui	PRO:REL	qui
sera	VER:futu	être
créée	VER:pper	créer
sur	PRP	sur
la	DET:ART	le
commune	NOM	commune
de	PRP	de
byans-sur-doubs	NOM	byans-sur-doubs
,	PUN	,
en	PRP	en
bordure	NOM	bordure
de	PRP	de
la	DET:ART	le
d	NOM	d
105	NUM	@card@
en	PRP	en
direction	NOM	direction
d'	PRP	de
abbans-dessous	NOM	abbans-dessous
sur	PRP	sur
une	DET:ART	un
parcelle	NOM	parcelle
de	PRP	de
42,83	NUM	@card@
a	VER:pres	avoir
et	KON	et
qui	PRO:REL	qui
sera	VER:futu	être
équipée	VER:pper	équiper
de	PRP	de
quatre	NUM	quatre
bennes	NOM	benne
:	PUN	:
déchets	NOM	déchet
verts	ADJ	vert
,	PUN	,
ferraille	NOM	ferraille
,	PUN	,
cartons	NOM	carton
et	KON	et
encombrants	ADJ	encombrant
.	SENT	.
est	VER:pres	être
acceptée	VER:pper	accepter
la	DET:ART	le
convention	NOM	convention
proposée	VER:pper	proposer
par	PRP	par
le	DET:ART	le
sybert	NOM	sybert
,	PUN	,
autorisant	VER:ppre	autoriser
les	DET:ART	le
habitants	NOM	habitant
de	PRP	de
byans-sur-doubs	NOM	byans-sur-doubs
,	PUN	,
abbans-dessous	ADJ	abbans-dessous
et	KON	et
abbans-dessus	ADJ	abbans-dessus
d'	PRP	de
utiliser	VER:infi	utiliser
les	DET:ART	le
déchetteries	NOM	déchetteries
de	PRP	de
thoraise	NOM	thoraise
et	KON	et
lavans-lès-quingey	NOM	lavans-lès-quingey
.	SENT	.
en	PRP	en
fin	NOM	fin
de	PRP	de
réunion	NOM	réunion
,	PUN	,
les	DET:ART	le
responsables	ADJ	responsable
des	PRP:det	du
commissions	NOM	commission
,	PUN	,
cadre	NOM	cadre
de	PRP	de
vie	NOM	vie
,	PUN	,
grands	ADJ	grand
équipements	NOM	équipement
et	KON	et
voirie	NOM	voirie
firent	VER:simp	faire
une	DET:ART	un
présentation	NOM	présentation
des	PRP:det	du
études	NOM	étude
lancées	VER:pper	lancer
sur	PRP	sur
les	DET:ART	le
8	NUM	@card@
rpi	NOM	rpi
de	PRP	de
la	DET:ART	le
ccvsv	NOM	ccvsv
qui	PRO:REL	qui
nécessite	VER:pres	nécessiter
une	DET:ART	un
poursuite	NOM	poursuite
plus	ADV	plus
active	ADJ	actif
pour	PRP	pour
la	DET:ART	le
mise	NOM	mise
en	PRP	en
place	NOM	place
de	PRP	de
nouveaux	ADJ	nouveau
services	NOM	service
aux	PRP:det	au
familles	NOM	famille
,	PUN	,
l'	DET:ART	le
aménagement	NOM	aménagement
des	PRP:det	du
besoins	NOM	besoin
de	PRP	de
54	NUM	@card@
hectares	NOM	hectare
de	PRP	de
la	DET:ART	le
commune	NOM	commune
de	PRP	de
saint-vit	NOM	saint-vit
avec	PRP	avec
ses	DET:POS	son
atouts	NOM	atout
touristiques	ADJ	touristique
,	PUN	,
sportifs	ADJ	sportif
,	PUN	,
ludiques	ADJ	ludique
et	KON	et
éducatifs	ADJ	éducatif
et	KON	et
sur	PRP	sur
l'	DET:ART	le
entretien	NOM	entretien
voirie	NOM	voirie
concernant	VER:ppre	concerner
la	DET:ART	le
prise	NOM	prise
ou	KON	ou
non	ADV	non
de	PRP	de
plusieurs	PRO:IND	plusieurs
compétences	NOM	compétence
d'	PRP	de
entretien	NOM	entretien
par	PRP	par
la	DET:ART	le
ccvsv	NOM	ccvsv
qui	PRO:REL	qui
se	PRO:PER	se
positionnera	VER:futu	positionner
sur	PRP	sur
ce	PRO:DEM	ce
sujet	NOM	sujet
lors	ADV	lors
d'	PRP	de
une	DET:ART	un
prochaine	ADJ	prochain
réunion	NOM	réunion
du	PRP:det	du
bureau	NOM	bureau
.	SENT	.
