vand	ADJ	vand
avant	PRP	avant
18	NUM	@card@
h	ABR	heure
,	PUN	,
une	DET:ART	un
septuagénaire	NOM	septuagénaire
est	VER:pres	être
tombé	VER:pper	tomber
lourdement	ADV	lourdement
dans	PRP	dans
un	DET:ART	un
bus	NOM	bus
de	PRP	de
la	DET:ART	le
connex	NOM	connex
,	PUN	,
suite	NOM	suite
à	PRP	à
un	DET:ART	un
coup	NOM	coup
de	PRP	de
frein	NOM	frein
intempestif	ADJ	intempestif
.	SENT	.
une	DET:ART	un
voiture	NOM	voiture
est	VER:pres	être
à	PRP	à
l'	DET:ART	le
origine	NOM	origine
de	PRP	de
l'	DET:ART	le
incident	NOM	incident
qui	PRO:REL	qui
a	VER:pres	avoir
causé	VER:pper	causer
la	DET:ART	le
chute	NOM	chute
de	PRP	de
plusieurs	PRO:IND	plusieurs
autres	ADJ	autre
personnes	NOM	personne
.	SENT	.
souffrant	VER:ppre	souffrir
de	PRP	de
divers	ADJ	divers
traumatismes	NOM	traumatisme
,	PUN	,
la	DET:ART	le
personne	NOM	personne
a	VER:pres	avoir
été	VER:pper	être
transportée	VER:pper	transporter
à	PRP	à
la	DET:ART	le
clinique	NOM	clinique
de	PRP	de
traumatologie	NOM	traumatologie
.	SENT	.
germonville	NOM	germonville
.	SENT	.
_	NOM	_
légère	ADJ	léger
pollution	NOM	pollution
.	SENT	.
hier	ADV	hier
,	PUN	,
vers	PRP	vers
12	NUM	@card@
h	ABR	heure
15	NUM	@card@
les	DET:ART	le
sapeurs-pompiers	NOM	sapeurs-pompiers
de	PRP	de
vézelise	NOM	vézelise
ont	VER:pres	avoir
été	VER:pper	être
appelés	VER:pper	appeler
,	PUN	,
à	PRP	à
germonville	NOM	germonville
,	PUN	,
pour	PRP	pour
une	DET:ART	un
odeur	NOM	odeur
de	PRP	de
fuel	NOM	fuel
en	PRP	en
provenance	NOM	provenance
du	PRP:det	du
ruisseau	NOM	ruisseau
traversant	VER:ppre	traverser
la	DET:ART	le
commune	NOM	commune
dans	PRP	dans
un	DET:ART	un
conduit	NOM	conduit
,	PUN	,
donc	ADV	donc
non	ADV	non
visible	ADJ	visible
.	SENT	.
les	DET:ART	le
soldats	NOM	soldat
du	PRP:det	du
feu	NOM	feu
ont	VER:pres	avoir
fait	VER:pper	faire
un	DET:ART	un
barrage	NOM	barrage
à	PRP	à
la	DET:ART	le
sortie	NOM	sortie
de	PRP	de
la	DET:ART	le
commune	NOM	commune
afin	KON	afin
d'	PRP	de
éviter	VER:infi	éviter
toute	PRO:IND	tout
pollution	NOM	pollution
en	PRP	en
aval	NOM	aval
.	SENT	.
la	DET:ART	le
pollution	NOM	pollution
étant	VER:ppre	être
légère	ADJ	léger
,	PUN	,
la	DET:ART	le
surveillance	NOM	surveillance
a	VER:pres	avoir
été	VER:pper	être
confiée	VER:pper	confier
au	PRP:det	au
maire	NOM	maire
de	PRP	de
la	DET:ART	le
commune	NOM	commune
.	SENT	.
l'	DET:ART	le
origine	NOM	origine
de	PRP	de
l'	DET:ART	le
odeur	NOM	odeur
suspecte	ADJ	suspect
n'	ADV	ne
a	VER:pres	avoir
pas	ADV	pas
été	VER:pper	être
déterminée	VER:pper	déterminer
.	SENT	.
diarville	NOM	diarville
.	SENT	.
_	NOM	_
feu	ADJ	feu
de	PRP	de
cheminée	NOM	cheminée
.	SENT	.
hier	ADV	hier
,	PUN	,
vers	PRP	vers
12	NUM	@card@
h	ABR	heure
30	NUM	@card@
les	DET:ART	le
sapeurs-pompiers	NOM	sapeurs-pompiers
de	PRP	de
haroué	NOM	haroué
,	PUN	,
rejoints	VER:pper	rejoindre
par	PRP	par
ceux	PRO:DEM	celui
de	PRP	de
vézelise	NOM	vézelise
,	PUN	,
sont	VER:pres	être
intervenus	VER:pper	intervenir
à	PRP	à
diarville	NOM	diarville
,	PUN	,
au	PRP:det	au
3	NUM	@card@
chemin	NOM	chemin
de	PRP	de
la	DET:ART	le
prairie	NOM	prairie
de	PRP	de
vaux	NOM	val|vaux
,	PUN	,
pour	PRP	pour
un	DET:ART	un
feu	NOM	feu
de	PRP	de
cheminée	VER:pper	cheminer
desservant	VER:ppre	desservir
un	DET:ART	un
insert	NOM	insert
.	SENT	.
a	VER:pres	avoir
leur	DET:POS	leur
arrivée	NOM	arrivé|arrivée
sur	PRP	sur
les	DET:ART	le
lieux	NOM	lieu
,	PUN	,
les	DET:ART	le
soldats	NOM	soldat
du	PRP:det	du
feu	NOM	feu
ont	VER:pres	avoir
constaté	VER:pper	constater
que	KON	que
le	DET:ART	le
feu	NOM	feu
s'	PRO:PER	se
était	VER:impf	être
propagé	VER:pper	propager
au	PRP:det	au
plafond	NOM	plafond
séparant	VER:ppre	séparer
le	DET:ART	le
rez-de-chaussée	NOM	rez-de-chaussée
du	PRP:det	du
premier	NUM	premier
étage	NOM	étage
.	SENT	.
ils	PRO:PER	il
ont	VER:pres	avoir
alors	ADV	alors
dû	VER:pper	devoir
procéder	VER:infi	procéder
au	PRP:det	au
dégarnissage	NOM	dégarnissage
du	PRP:det	du
conduit	NOM	conduit
et	KON	et
du	PRP:det	du
plafond	NOM	plafond
pour	PRP	pour
parachever	VER:infi	parachever
l'	DET:ART	le
extinction	NOM	extinction
.	SENT	.
lenoncourt	NOM	lenoncourt
.	SENT	.
_	NOM	_
feu	ADJ	feu
de	PRP	de
cheminée	NOM	cheminée
.	SENT	.
hier	ADV	hier
,	PUN	,
en	PRP	en
milieu	NOM	milieu
de	PRP	de
matinée	NOM	matinée
,	PUN	,
un	DET:ART	un
feu	NOM	feu
de	PRP	de
cheminée	NOM	cheminée
s'	PRO:PER	se
est	VER:pres	être
déclaré	VER:pper	déclarer
au	PRP:det	au
lieu-dit	NOM	lieu-dit
«	PUN:cit	«
le	DET:ART	le
château	NOM	château
»	PUN:cit	»
les	DET:ART	le
sapeurs-pompiers	NOM	sapeurs-pompiers
ont	VER:pres	avoir
dû	VER:pper	devoir
faire	VER:infi	faire
usage	NOM	usage
du	PRP:det	du
matériel	NOM	matériel
spécial	ADJ	spécial
pour	PRP	pour
venir	VER:infi	venir
à	PRP	à
bout	NOM	bout
des	PRP:det	du
flammes	NOM	flamme
.	SENT	.
