succédant	VER:ppre	succéder
possibilité	NOM	possibilité
de	PRP	de
s'	PRO:PER	se
épanouir	VER:infi	épanouir
et	KON	et
de	PRP	de
trouver	VER:infi	trouver
des	PRP:det	du
loisirs	NOM	loisir
qui	PRO:REL	qui
lui	PRO:PER	lui
correspondent	VER:pres	correspondre
le	DET:ART	le
mieux	ADV	mieux
.	SENT	.
le	DET:ART	le
centre	NOM	centre
de	PRP	de
loisirs	NOM	loisir
de	PRP	de
février	NOM	février
fonctionnera	VER:futu	fonctionner
du	PRP:det	du
lundi	NOM	lundi
17	NUM	@card@
au	PRP:det	au
vendredi	NOM	vendredi
28	NUM	@card@
à	PRP	à
l'	DET:ART	le
école	NOM	école
maternelle	ADJ	maternel
des	PRP:det	du
myosotis	NOM	myosotis
.	SENT	.
une	DET:ART	un
permanence	NOM	permanence
pour	PRP	pour
les	DET:ART	le
inscriptions	NOM	inscription
se	PRO:PER	se
tiendra	VER:futu	tenir
à	PRP	à
la	DET:ART	le
salle	NOM	salle
des	PRP:det	du
trophées	NOM	trophée
sous	PRP	sous
la	DET:ART	le
mairie	NOM	mairie
,	PUN	,
ce	PRO:DEM	ce
samedi	NOM	samedi
,	PUN	,
de	PRP	de
11	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h	ABR	heure
,	PUN	,
et	KON	et
mercredi	NOM	mercredi
12	NUM	@card@
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
16	NUM	@card@
h.	ABR	h.
le	DET:ART	le
centre	NOM	centre
sera	VER:futu	être
axé	VER:pper	axer
sur	PRP	sur
le	DET:ART	le
thème	NOM	thème
de	PRP	de
la	DET:ART	le
construction	NOM	construction
du	PRP:det	du
continent	NOM	continent
européen	ADJ	européen
.	SENT	.
dans	PRP	dans
le	DET:ART	le
cadre	NOM	cadre
de	PRP	de
la	DET:ART	le
mise	NOM	mise
en	PRP	en
place	NOM	place
d'	PRP	de
un	DET:ART	un
service	NOM	service
périscolaire	ADJ	périscolaire
dès	PRP	dès
la	DET:ART	le
rentrée	NOM	rentrée
le	DET:ART	le
3	NUM	@card@
mars	NOM	mars
,	PUN	,
les	DET:ART	le
enfants	NOM	enfant
seront	VER:futu	être
accueillis	VER:pper	accueillir
le	DET:ART	le
matin	NOM	matin
de	PRP	de
7	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
8	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
l'	DET:ART	le
école	NOM	école
de	PRP	de
l'	DET:ART	le
ancienne	ADJ	ancien
mairie	NOM	mairie
et	KON	et
à	PRP	à
l'	DET:ART	le
école	NOM	école
des	PRP:det	du
fontaines	NOM	fontaine
,	PUN	,
le	DET:ART	le
soir	NOM	soir
de	PRP	de
16	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
18	NUM	@card@
h	ABR	heure
à	PRP	à
l'	DET:ART	le
école	NOM	école
de	PRP	de
l'	DET:ART	le
ancienne	ADJ	ancien
mairie	NOM	mairie
.	SENT	.
le	DET:ART	le
matin	NOM	matin
sera	VER:futu	être
consacré	VER:pper	consacrer
à	PRP	à
des	PRP:det	du
jeux	NOM	jeu
éducatifs	ADJ	éducatif
et	KON	et
ludiques	ADJ	ludique
.	SENT	.
le	DET:ART	le
soir	NOM	soir
sera	VER:futu	être
proposé	VER:pper	proposer
un	DET:ART	un
atelier	NOM	atelier
thématique	ADJ	thématique
:	PUN	:
informatique	ADJ	informatique
,	PUN	,
arts	NOM	art
plastiques	ADJ	plastique
,	PUN	,
expression	NOM	expression
.	SENT	.
pour	PRP	pour
le	DET:ART	le
périscolaire	ADJ	périscolaire
,	PUN	,
les	DET:ART	le
inscriptions	NOM	inscription
seront	VER:futu	être
enregistrées	VER:pper	enregistrer
jeudi	NOM	jeudi
13	NUM	@card@
février	NOM	février
de	PRP	de
17	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
19	NUM	@card@
h	ABR	heure
à	PRP	à
la	DET:ART	le
salle	NOM	salle
des	PRP:det	du
trophées	NOM	trophée
,	PUN	,
et	KON	et
mercredi	NOM	mercredi
19	NUM	@card@
de	PRP	de
17	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h	ABR	heure
à	PRP	à
l'	DET:ART	le
école	NOM	école
des	PRP:det	du
myosotis	NOM	myosotis
.	SENT	.
