quatre	NUM	quatre
verdun/belleville-saint-mihiel	ADJ	verdun/belleville-saint-mihiel
(	PUN	(
2	NUM	@card@
),	NOM	),
dieue/sommedieue-thierville	NOM	dieue/sommedieue-thierville
.	SENT	.
groupe	NOM	groupe
2	NUM	@card@
(	PUN	(
bar-le-duc	NOM	bar-le-duc
)	PUN	)
equipes	NOM	equipes
engagées	VER:pper	engager
le	DET:ART	le
matin	NOM	matin
:	PUN	:
fains	ADJ	fains
(	PUN	(
2	NUM	@card@
),	NOM	),
ligny	NAM	ligny
,	PUN	,
revigny	NAM	revigny
(	PUN	(
1	NUM	@card@
),	NOM	),
bac	NOM	bac
(	PUN	(
2	NUM	@card@
),	NOM	),
cousances	VER:impf	cousances
(	PUN	(
2	NUM	@card@
)	PUN	)
et	KON	et
haironville	NOM	haironville
(	PUN	(
1	NUM	@card@
).	ABR	).
rencontres	NOM	rencontre
:	PUN	:
(	PUN	(
10	NUM	@card@
h	ABR	heure
)	PUN	)
fains	ADJ	fains
(	PUN	(
2	NUM	@card@
)	PUN	)
-	PUN	-
bac	NOM	bac
(	PUN	(
2	NUM	@card@
),	NOM	),
ligny-cousances	NOM	ligny-cousances
(	PUN	(
2	NUM	@card@
),	NOM	),
revigny	NAM	revigny
(	PUN	(
1	NUM	@card@
)	PUN	)
-	PUN	-
haironville	NOM	haironville
(	PUN	(
1	NUM	@card@
),	NOM	),
fains	ADJ	fains
(	PUN	(
2	NUM	@card@
)	PUN	)
-	PUN	-
ligny	NAM	ligny
,	PUN	,
revigny	NAM	revigny
(	PUN	(
1	NUM	@card@
)	PUN	)
-	PUN	-
bac	NOM	bac
(	PUN	(
2	NUM	@card@
),	NOM	),
cousances	VER:impf	cousances
(	PUN	(
2	NUM	@card@
)	PUN	)
-	PUN	-
haironville	NOM	haironville
(	PUN	(
1	NUM	@card@
),	NOM	),
fains	ADJ	fains
(	PUN	(
2	NUM	@card@
)	PUN	)
-	PUN	-
revigny	NAM	revigny
(	PUN	(
1	NUM	@card@
),	NOM	),
bac	NOM	bac
(	PUN	(
2	NUM	@card@
)	PUN	)
-	PUN	-
cousances	NOM	cousances
(	PUN	(
2	NUM	@card@
),	NOM	),
ligny-haironville	NOM	ligny-haironville
(	PUN	(
1	NUM	@card@
),	NOM	),
fains	ADJ	fains
(	PUN	(
2	NUM	@card@
)	PUN	)
-	PUN	-
cousances	NOM	cousances
(	PUN	(
2	NUM	@card@
),	NOM	),
ligny-revigny	NAM	ligny-revigny
(	PUN	(
1	NUM	@card@
),	NOM	),
bac	NOM	bac
(	PUN	(
2	NUM	@card@
)	PUN	)
-	PUN	-
haironville	NOM	haironville
(	PUN	(
1	NUM	@card@
),	NOM	),
cousances	VER:impf	cousances
(	PUN	(
2	NUM	@card@
)	PUN	)
-	PUN	-
revigny	NAM	revigny
(	PUN	(
1	NUM	@card@
),	NOM	),
fains	ADJ	fains
(	PUN	(
2	NUM	@card@
)	PUN	)
-	PUN	-
haironville	NOM	haironville
(	PUN	(
1	NUM	@card@
),	NOM	),
bac	NOM	bac
(	PUN	(
2	NUM	@card@
)	PUN	)
-	PUN	-
ligny	NAM	ligny
.	SENT	.
equipes	NOM	equipes
engagées	VER:pper	engager
l'	DET:ART	le
après-midi	NOM	après-midi
:	PUN	:
bac	NOM	bac
(	PUN	(
1	NUM	@card@
),	NOM	),
haironville	NOM	haironville
(	PUN	(
2	NUM	@card@
),	NOM	),
revigny	NAM	revigny
(	PUN	(
2	NUM	@card@
),	NOM	),
fains	ADJ	fains
(	PUN	(
1	NUM	@card@
),	NOM	),
behonne	ADJ	behonne
et	KON	et
cousances	VER:ppre	cousances
(	PUN	(
1	NUM	@card@
).	ABR	).
rencontres	NOM	rencontre
:	PUN	:
(	PUN	(
14	NUM	@card@
h	ABR	heure
)	PUN	)
bac	NOM	bac
(	PUN	(
1	NUM	@card@
)	PUN	)
-	PUN	-
fains	ADJ	fains
(	PUN	(
1	NUM	@card@
),	NOM	),
haironville	NOM	haironville
(	PUN	(
2	NUM	@card@
)	PUN	)
-	PUN	-
behonne	NOM	behonne
,	PUN	,
revigny	NAM	revigny
(	PUN	(
2	NUM	@card@
)	PUN	)
-	PUN	-
cousances	NOM	cousances
(	PUN	(
1	NUM	@card@
),	NOM	),
bac	NOM	bac
(	PUN	(
1	NUM	@card@
)	PUN	)
-	PUN	-
haironville	NOM	haironville
(	PUN	(
2	NUM	@card@
),	NOM	),
revigny	NAM	revigny
(	PUN	(
2	NUM	@card@
)	PUN	)
-	PUN	-
fains	ADJ	fains
(	PUN	(
1	NUM	@card@
),	NOM	),
behonne-cousances	NOM	behonne-cousances
(	PUN	(
1	NUM	@card@
),	NOM	),
bac	NOM	bac
(	PUN	(
1	NUM	@card@
)	PUN	)
-	PUN	-
revigny	NAM	revigny
(	PUN	(
2	NUM	@card@
),	NOM	),
fains	ADJ	fains
(	PUN	(
1	NUM	@card@
)	PUN	)
-	PUN	-
behonne	NOM	behonne
,	PUN	,
haironville	NOM	haironville
(	PUN	(
2	NUM	@card@
)	PUN	)
-	PUN	-
cousances	NOM	cousances
(	PUN	(
1	NUM	@card@
),	NOM	),
bac	NOM	bac
(	PUN	(
1	NUM	@card@
)	PUN	)
-	PUN	-
behonne	NOM	behonne
,	PUN	,
haironville	NOM	haironville
(	PUN	(
2	NUM	@card@
)	PUN	)
-	PUN	-
revigny	NAM	revigny
(	PUN	(
2	NUM	@card@
),	NOM	),
fains	ADJ	fains
(	PUN	(
1	NUM	@card@
)	PUN	)
-	PUN	-
cousances	NOM	cousances
(	PUN	(
1	NUM	@card@
),	NOM	),
behonne-revigny	NAM	behonne-revigny
(	PUN	(
2	NUM	@card@
),	NOM	),
bac	NOM	bac
(	PUN	(
1	NUM	@card@
)	PUN	)
-	PUN	-
cousances	NOM	cousances
(	PUN	(
1	NUM	@card@
),	NOM	),
fains	ADJ	fains
(	PUN	(
1	NUM	@card@
)	PUN	)
-	PUN	-
haironville	NOM	haironville
(	PUN	(
2	NUM	@card@
).	ABR	).
groupe	NOM	groupe
3	NUM	@card@
(	PUN	(
vignot	NOM	vignot
)	PUN	)
equipes	NOM	equipes
engagées	VER:pper	engager
le	DET:ART	le
matin	NOM	matin
:	PUN	:
commercy	NOM	commercy
(	PUN	(
1	NUM	@card@
),	NOM	),
contrisson	NOM	contrisson
(	PUN	(
2	NUM	@card@
),	NOM	),
rigny	NAM	rigny
(	PUN	(
2	NUM	@card@
),	NOM	),
vaucouleurs	NOM	vaucouleurs
,	PUN	,
cs	VER:simp	cs
cousances	NOM	cousances
et	KON	et
bac	NOM	bac
(	PUN	(
3	NUM	@card@
).	ABR	).
rencontres	NOM	rencontre
:	PUN	:
(	PUN	(
10	NUM	@card@
h	ABR	heure
)	PUN	)
commercy	NOM	commercy
(	PUN	(
1	NUM	@card@
)	PUN	)
-	PUN	-
vaucouleurs	NOM	vaucouleurs
,	PUN	,
contrisson	NOM	contrisson
(	PUN	(
2	NUM	@card@
)	PUN	)
-	PUN	-
cs	VER:simp	cs
cousances	NOM	cousances
,	PUN	,
rigny	NAM	rigny
(	PUN	(
2	NUM	@card@
)	PUN	)
-	PUN	-
bac	NOM	bac
(	PUN	(
3	NUM	@card@
),	NOM	),
commercy	ADJ	commercy
(	PUN	(
1	NUM	@card@
)	PUN	)
-	PUN	-
contrisson	NOM	contrisson
(	PUN	(
2	NUM	@card@
),	NOM	),
rigny	NAM	rigny
(	PUN	(
2	NUM	@card@
)	PUN	)
-	PUN	-
vaucouleurs	NOM	vaucouleurs
,	PUN	,
cs	VER:simp	cs
cousances-bac	NAM	cousances-bac
(	PUN	(
3	NUM	@card@
),	NOM	),
commercy	ADJ	commercy
(	PUN	(
1	NUM	@card@
)	PUN	)
-	PUN	-
rigny	NAM	rigny
(	PUN	(
2	NUM	@card@
),	NOM	),
vaucouleurs-cs	NOM	vaucouleurs-cs
cousances	VER:impf	cousances
,	PUN	,
contrisson	NOM	contrisson
(	PUN	(
2	NUM	@card@
)	PUN	)
-	PUN	-
bac	NOM	bac
(	PUN	(
3	NUM	@card@
),	NOM	),
commercy	ADJ	commercy
(	PUN	(
1	NUM	@card@
)	PUN	)
-	PUN	-
cs	VER:simp	cs
cousances	NOM	cousances
,	PUN	,
contrisson	NOM	contrisson
(	PUN	(
2	NUM	@card@
)	PUN	)
-	PUN	-
rigny	NAM	rigny
(	PUN	(
2	NUM	@card@
),	NOM	),
vaucouleurs-bac	NOM	vaucouleurs-bac
(	PUN	(
3	NUM	@card@
),	NOM	),
cousances-rigny	NAM	cousances-rigny
(	PUN	(
2	NUM	@card@
),	NOM	),
commercy	ADJ	commercy
(	PUN	(
1	NUM	@card@
)	PUN	)
-	PUN	-
bac	NOM	bac
(	PUN	(
3	NUM	@card@
),	NOM	),
vaucouleurs-contrisson	NOM	vaucouleurs-contrisson
(	PUN	(
2	NUM	@card@
).	ABR	).
equipes	NOM	equipes
engagées	VER:pper	engager
l'	DET:ART	le
après-midi	NOM	après-midi
:	PUN	:
commercy	NOM	commercy
(	PUN	(
2	NUM	@card@
),	NOM	),
contrisson	NOM	contrisson
(	PUN	(
1	NUM	@card@
),	NOM	),
revigny	NAM	revigny
(	PUN	(
3	NUM	@card@
),	NOM	),
rigny	NAM	rigny
(	PUN	(
1	NUM	@card@
),	NOM	),
tronville	NOM	tronville
,	PUN	,
velaines	NOM	velaines
.	SENT	.
rencontres	NOM	rencontre
:	PUN	:
(	PUN	(
14	NUM	@card@
h	ABR	heure
)	PUN	)
:	PUN	:
commercy	NOM	commercy
(	PUN	(
2	NUM	@card@
)	PUN	)
-	PUN	-
rigny	NAM	rigny
(	PUN	(
1	NUM	@card@
),	NOM	),
contrisson	NOM	contrisson
(	PUN	(
1	NUM	@card@
)	PUN	)
-	PUN	-
tronville	NOM	tronville
,	PUN	,
revigny	NAM	revigny
(	PUN	(
3	NUM	@card@
)	PUN	)
-	PUN	-
velaines	NOM	velaines
,	PUN	,
commercy	NOM	commercy
(	PUN	(
2	NUM	@card@
)	PUN	)
-	PUN	-
contrisson	NOM	contrisson
(	PUN	(
1	NUM	@card@
),	NOM	),
revigny	NAM	revigny
(	PUN	(
3	NUM	@card@
)	PUN	)
-	PUN	-
rigny	NAM	rigny
(	PUN	(
1	NUM	@card@
),	NOM	),
tronville-velaines	ADJ	tronville-velaines
,	PUN	,
commercy	NOM	commercy
(	PUN	(
2	NUM	@card@
)	PUN	)
-	PUN	-
revigny	NAM	revigny
(	PUN	(
3	NUM	@card@
),	NOM	),
rigny	NAM	rigny
(	PUN	(
1	NUM	@card@
)	PUN	)
-	PUN	-
tronville	NOM	tronville
,	PUN	,
contrisson	NOM	contrisson
(	PUN	(
1	NUM	@card@
)	PUN	)
-	PUN	-
velaines	NOM	velaines
,	PUN	,
commercy	NOM	commercy
(	PUN	(
2	NUM	@card@
)	PUN	)
-	PUN	-
tronville	NOM	tronville
,	PUN	,
contrisson	NOM	contrisson
(	PUN	(
1	NUM	@card@
)	PUN	)
-	PUN	-
revignt	VER:pper	revignt
(	PUN	(
3	NUM	@card@
),	NOM	),
rigny	NAM	rigny
(	PUN	(
1	NUM	@card@
)	PUN	)
-	PUN	-
velaines	NOM	velaines
,	PUN	,
tronville-revigny	NAM	tronville-revigny
(	PUN	(
3	NUM	@card@
),	NOM	),
commercy	ADJ	commercy
(	PUN	(
2	NUM	@card@
)	PUN	)
-	PUN	-
velaines	NOM	velaines
,	PUN	,
rigny	NAM	rigny
(	PUN	(
1	NUM	@card@
)	PUN	)
-	PUN	-
contrisson	NOM	contrisson
(	PUN	(
1	NUM	@card@
).	ABR	).
groupe	NOM	groupe
4	NUM	@card@
(	PUN	(
vigneulles	NOM	vigneulles
)	PUN	)
equipes	NOM	equipes
engagées	VER:pper	engager
le	DET:ART	le
matin	NOM	matin
:	PUN	:
maizey-lacroix	NOM	maizey-lacroix
(	PUN	(
2	NUM	@card@
),	NOM	),
saint-mihiel	ADJ	saint-mihiel
,	PUN	,
lérouville	NOM	lérouville
et	KON	et
sorcy/void	NOM	sorcy/void
(	PUN	(
1	NUM	@card@
).	ABR	).
rencontres	NOM	rencontre
:	PUN	:
(	PUN	(
10	NUM	@card@
h	ABR	heure
)	PUN	)
maizey/lacroix	NOM	maizey/lacroix
(	PUN	(
2	NUM	@card@
)	PUN	)
-	PUN	-
lérouville	NOM	lérouville
,	PUN	,
saint-mihiel-sorcy/void	NOM	saint-mihiel-sorcy/void
(	PUN	(
1	NUM	@card@
),	NOM	),
maizey/lacroix	ADJ	maizey/lacroix
(	PUN	(
2	NUM	@card@
)	PUN	)
-	PUN	-
saint-mihiel	ADJ	saint-mihiel
,	PUN	,
lérouville-sorcy/void	NOM	lérouville-sorcy/void
(	PUN	(
1	NUM	@card@
),	NOM	),
maizey-	ADJ	maizey-
/	PUN	/
lacroix	NOM	lacroix
(	PUN	(
2	NUM	@card@
)	PUN	)
-	PUN	-
sorcy/void	NOM	sorcy/void
(	PUN	(
1	NUM	@card@
),	NOM	),
lérouville-saint-mihiel	NOM	lérouville-saint-mihiel
.	SENT	.
equipes	NOM	equipes
engagées	VER:pper	engager
l'	DET:ART	le
après-midi	NOM	après-midi
:	PUN	:
vhf	NOM	vhf
,	PUN	,
salmagne	NOM	salmagne
,	PUN	,
sorcy/void	NOM	sorcy/void
(	PUN	(
2	NUM	@card@
),	NOM	),
maizey-lacroix	ADJ	maizey-lacroix
(	PUN	(
1	NUM	@card@
).	ABR	).
rencontres	NOM	rencontre
:	PUN	:
(	PUN	(
14	NUM	@card@
h	ABR	heure
)	PUN	)
vhf-salmagne	NOM	vhf-salmagne
,	PUN	,
sorcy/void	NOM	sorcy/void
(	PUN	(
2	NUM	@card@
)	PUN	)
-	PUN	-
maizey/lacroix	NOM	maizey/lacroix
(	PUN	(
1	NUM	@card@
),	NOM	),
vhf-sorcy/void	ADJ	vhf-sorcy/void
(	PUN	(
2	NUM	@card@
),	NOM	),
salmagne-maizey/lacroix	NOM	salmagne-maizey/lacroix
(	PUN	(
1	NUM	@card@
),	NOM	),
vhf-maizey/lacroix	ADJ	vhf-maizey/lacroix
(	PUN	(
1	NUM	@card@
),	NOM	),
salmagne-sorcy/void	NOM	salmagne-sorcy/void
(	PUN	(
2	NUM	@card@
).	ABR	).
