«	PUN:cit	«
rendre	VER:infi	rendre
un	DET:ART	un
avis	NOM	avis
conforme	VER:pres	conformer
le	DET:ART	le
17	NUM	@card@
janvier	NOM	janvier
et	KON	et
le	PRO:PER	le
transmettre	VER:infi	transmettre
aussitôt	ADV	aussitôt
au	PRP:det	au
maire	NOM	maire
.	SENT	.
la	DET:ART	le
société	NOM	société
remy	ADJ	remy
,	PUN	,
quelques	PRO:IND	quelque
jours	NOM	jour
après	PRP	après
le	DET:ART	le
dépôt	NOM	dépôt
du	PRP:det	du
dossier	NOM	dossier
,	PUN	,
va	VER:pres	aller
pouvoir	VER:infi	pouvoir
procéder	VER:infi	procéder
aujourd'hui	ADV	aujourd'hui
à	PRP	à
la	DET:ART	le
mise	NOM	mise
en	PRP	en
exploitation	NOM	exploitation
du	PRP:det	du
télésiège	NOM	télésiège
de	PRP	de
belle-hutte	NOM	belle-hutte
.	SENT	.
une	DET:ART	un
belle	ADJ	beau
preuve	NOM	preuve
d'	PRP	de
efficacité	NOM	efficacité
,	PUN	,
qui	PRO:REL	qui
fera	VER:futu	faire
autant	ADV	autant
plaisir	NOM	plaisir
aux	PRP:det	au
professionnels	NOM	professionnel
qu'	KON	que
aux	PRP:det	au
visiteurs	NOM	visiteur
.	SENT	.
