pour	PRP	pour
;	PUN	;
mercredi	NOM	mercredi
15	NUM	@card@
octobre	NOM	octobre
,	PUN	,
marbotte	NOM	marbotte
,	PUN	,
«	PUN:cit	«
le	DET:ART	le
fort	NOM	fort
de	PRP	de
liouville	NOM	liouville
»	PUN:cit	»
;	PUN	;
26	NUM	@card@
octobre	NOM	octobre
,	PUN	,
conflans	NOM	conflans
(	PUN	(
54	NUM	@card@
),	NOM	),
marche	NOM	marche
populaire	ADJ	populaire
;	PUN	;
lundi	NOM	lundi
10	NUM	@card@
novembre	NOM	novembre
,	PUN	,
les	DET:ART	le
eparges	NOM	eparges
,	PUN	,
transport	NOM	transport
de	PRP	de
la	DET:ART	le
flamme	NOM	flamme
;	PUN	;
mercredi	NOM	mercredi
19	NUM	@card@
novembre	NOM	novembre
,	PUN	,
lachaussée	VER:pper	lachaussée
,	PUN	,
«	PUN:cit	«
a	VER:pres	avoir
la	DET:ART	le
pêche	NOM	pêche
aux	PRP:det	au
moules	NOM	moule
».	VER:cond	».
contact	NOM	contact
:	PUN	:
le	DET:ART	le
président	NOM	président
,	PUN	,
rené	VER:pper	renaître
bertrand	NOM	bertrand
,	PUN	,
13	NUM	@card@
rue	NOM	rue
poincaré	VER:pper	poincaré
à	PRP	à
vigneulles	NOM	vigneulles
,	PUN	,
tél	ABR	téléphone
.	SENT	.
03.29	NUM	@card@
.	SENT	.
90.09	NUM	@card@
.	SENT	.
27	NUM	@card@
