dernièrement	ADV	dernièrement
des	PRP:det	du
écoles	NOM	école
à	PRP	à
essey-et-maizerais	NOM	essey-et-maizerais
;	PUN	;
8	NUM	@card@
et	KON	et
9	NUM	@card@
cérémonie	NOM	cérémonie
de	PRP	de
jumelage	NOM	jumelage
à	PRP	à
pannes	NOM	panne
,	PUN	,
challenge	NOM	challenge
du	PRP:det	du
souvenir	NOM	souvenir
à	PRP	à
thiaucourt	NOM	thiaucourt
,	PUN	,
exposition	NOM	exposition
artistique	ADJ	artistique
et	KON	et
foire	NOM	foire
de	PRP	de
la	DET:ART	le
pentecôte	NOM	pentecôte
à	PRP	à
thiaucourt	NOM	thiaucourt
;	PUN	;
14	NUM	@card@
concours	NOM	concours
de	PRP	de
tarot	NOM	tarot
avec	PRP	avec
la	DET:ART	le
fnath	NOM	fnath
,	PUN	,
fête	NOM	fête
de	PRP	de
l'	DET:ART	le
école	NOM	école
maternelle	ADJ	maternel
à	PRP	à
thiaucourt	NOM	thiaucourt
,	PUN	,
feux	NOM	feu
de	PRP	de
la	DET:ART	le
saint-jean	NOM	saint-jean
à	PRP	à
pannes	NOM	panne
et	KON	et
à	PRP	à
viéville	NOM	viéville
;	PUN	;
21	NUM	@card@
feux	NOM	feu
de	PRP	de
la	DET:ART	le
saint-jean	NOM	saint-jean
à	PRP	à
rembercourt	NOM	rembercourt
;	PUN	;
22	NUM	@card@
fête	NOM	fête
des	PRP:det	du
écoles	NOM	école
primaires	ADJ	primaire
à	PRP	à
thiaucourt	NOM	thiaucourt
;	PUN	;
28	NUM	@card@
feux	NOM	feu
de	PRP	de
la	DET:ART	le
saint-jean	NOM	saint-jean
à	PRP	à
thiaucourt	NOM	thiaucourt
et	KON	et
à	PRP	à
jaulny	NOM	jaulny
;	PUN	;
29	NUM	@card@
fête	NOM	fête
patronale	ADJ	patronal
à	PRP	à
jaulny	NOM	jaulny
.	SENT	.
juillet	NOM	juillet
:	PUN	:
6	NUM	@card@
fête	NOM	fête
de	PRP	de
l'	DET:ART	le
escargot	NOM	escargot
et	KON	et
bourse	NOM	bourse
aux	PRP:det	au
armes	NOM	arme
à	PRP	à
thiaucourt	NOM	thiaucourt
;	PUN	;
12	NUM	@card@
repas	NOM	repas
champêtre	ADJ	champêtre
à	PRP	à
rembercourt	NOM	rembercourt
;	PUN	;
13	NUM	@card@
festivités	NOM	festivité
à	PRP	à
jaulny	NOM	jaulny
,	PUN	,
b	VER:simp	b
	ADJ	
uf	NOM	uf
à	PRP	à
la	DET:ART	le
broche	NOM	broche
à	PRP	à
essey-et-maizerais	NOM	essey-et-maizerais
;	PUN	;
13	NUM	@card@
et	KON	et
14	NUM	@card@
festivités	NOM	festivité
de	PRP	de
la	DET:ART	le
fête	NOM	fête
nationale	ADJ	national
à	PRP	à
thiaucourt	NOM	thiaucourt
;	PUN	;
14	NUM	@card@
concours	NOM	concours
de	PRP	de
pétanque	NOM	pétanque
à	PRP	à
viéville	NOM	viéville
;	PUN	;
20	NUM	@card@
brocante	NOM	brocante
et	KON	et
feu	NOM	feu
d'	PRP	de
artifice	NOM	artifice
à	PRP	à
pannes	NOM	panne
.	SENT	.
août	NOM	août
:	PUN	:
3	NUM	@card@
fête	NOM	fête
de	PRP	de
la	DET:ART	le
jaunotte	NOM	jaunotte
à	PRP	à
jaulny	NOM	jaulny
;	PUN	;
10	NUM	@card@
méchoui	NOM	méchoui
de	PRP	de
la	DET:ART	le
fnaca	NOM	fnaca
;	PUN	;
15	NUM	@card@
cérémonie	NOM	cérémonie
à	PRP	à
remenauville	NAM	remenauville
;	PUN	;
23	NUM	@card@
repas	NOM	repas
à	PRP	à
thèmes	NOM	thème
à	PRP	à
xammes	NOM	xammes
;	PUN	;
24	NUM	@card@
tournoi	NOM	tournoi
de	PRP	de
foot	NOM	foot
intervillages	NOM	intervillages
et	KON	et
repas	NOM	repas
à	PRP	à
viéville	NOM	viéville
.	SENT	.
septembre	NOM	septembre
:	PUN	:
20	NUM	@card@
repas	NOM	repas
fête	NOM	fête
patronale	ADJ	patronal
à	PRP	à
pannes	NOM	panne
.	SENT	.
octobre	NOM	octobre
:	PUN	:
5	NUM	@card@
fête	NOM	fête
patronale	ADJ	patronal
à	PRP	à
thiaucourt	NOM	thiaucourt
;	PUN	;
11	NUM	@card@
cérémonie	NOM	cérémonie
à	PRP	à
regniéville	NOM	regniéville
et	KON	et
soirée	NOM	soirée
cabaret	NOM	cabaret
des	PRP:det	du
pompiers	NOM	pompier
;	PUN	;
12	NUM	@card@
fête	NOM	fête
de	PRP	de
la	DET:ART	le
paroisse	NOM	paroisse
notre-dame	NOM	notre-dame
du	PRP:det	du
rupt-de-mad	NOM	rupt-de-mad
;	PUN	;
19	NUM	@card@
fête	NOM	fête
patronale	ADJ	patronal
à	PRP	à
bouillonville	NOM	bouillonville
;	PUN	;
25	NUM	@card@
repas	NOM	repas
à	PRP	à
thèmes	NOM	thème
à	PRP	à
rembercourt	NOM	rembercourt
.	SENT	.
novembre	NOM	novembre
:	PUN	:
8	NUM	@card@
concours	NOM	concours
de	PRP	de
belote	NOM	belote
à	PRP	à
viéville	NOM	viéville
,	PUN	,
repas	NOM	repas
gst	NOM	gst
à	PRP	à
thiaucourt	NOM	thiaucourt
;	PUN	;
9	NUM	@card@
fête	NOM	fête
patronale	ADJ	patronal
à	PRP	à
essey-et-maizerais	NOM	essey-et-maizerais
;	PUN	;
11	NUM	@card@
cérémonie	NOM	cérémonie
de	PRP	de
l'	DET:ART	le
armistice	NOM	armistice
à	PRP	à
thiaucourt	NOM	thiaucourt
;	PUN	;
16	NUM	@card@
repas	NOM	repas
des	PRP:det	du
aînés	NOM	aîné
à	PRP	à
thiaucourt	NOM	thiaucourt
;	PUN	;
22	NUM	@card@
repas	NOM	repas
et	KON	et
fête	NOM	fête
patronale	ADJ	patronal
à	PRP	à
xammes	NOM	xammes
;	PUN	;
29	NUM	@card@
soirée	NOM	soirée
beaujolais	NOM	beaujolais
à	PRP	à
rembercourt	NOM	rembercourt
.	SENT	.
décembre	NOM	décembre
:	PUN	:
6	NUM	@card@
saint-nicolas	NOM	saint-nicolas
à	PRP	à
xammes	NOM	xammes
,	PUN	,
saint-nicolas	NOM	saint-nicolas
et	KON	et
marché	NOM	marché
de	PRP	de
noël	NOM	noël
à	PRP	à
thiaucourt	NOM	thiaucourt
;	PUN	;
7	NUM	@card@
fête	NOM	fête
de	PRP	de
la	DET:ART	le
sainte-barbe	NOM	sainte-barbe
à	PRP	à
thiaucourt	NOM	thiaucourt
;	PUN	;
13	NUM	@card@
marché	NOM	marché
de	PRP	de
noël	NOM	noël
à	PRP	à
la	DET:ART	le
maison	NOM	maison
de	PRP	de
retraite	ADJ	retrait
sainte-sophie	NOM	sainte-sophie
,	PUN	,
saint-nicolas	NOM	saint-nicolas
à	PRP	à
viéville	NOM	viéville
,	PUN	,
à	PRP	à
jaulny	NOM	jaulny
et	KON	et
rembercourt	NOM	rembercourt
;	PUN	;
29	NUM	@card@
et	KON	et
30	NUM	@card@
tournoi	NOM	tournoi
de	PRP	de
foot	NOM	foot
en	PRP	en
salle	NOM	salle
à	PRP	à
thiaucourt	NOM	thiaucourt
;	PUN	;
31	NUM	@card@
réveillon	NOM	réveillon
de	PRP	de
la	DET:ART	le
saint-sylvestre	NOM	saint-sylvestre
à	PRP	à
jaulny	NOM	jaulny
.	SENT	.
