{	NOM	{
d'	PRP	de
amende	NOM	amende
.	SENT	.
-	PUN	-
squat	NOM	squat
:	PUN	:
la	DET:ART	le
commission	NOM	commission
des	PRP:det	du
lois	NOM	loi
propose	VER:pres	proposer
de	PRP	de
punir	VER:infi	punir
d'	PRP	de
un	DET:ART	un
an	NOM	an
de	PRP	de
prison	NOM	prison
et	KON	et
15.000	NUM	@card@
euros	NOM	euro
d'	PRP	de
amende	NOM	amende
«	PUN:cit	«
ceux	PRO:DEM	celui
qui	PRO:REL	qui
mettent	VER:pres	mettre
à	PRP	à
la	DET:ART	le
disposition	NOM	disposition
d'	PRP	de
un	DET:ART	un
tiers	NOM	tiers
,	PUN	,
moyennant	PRP	moyennant
rémunération	NOM	rémunération
ou	KON	ou
avantage	NOM	avantage
en	PRP	en
nature	NOM	nature
,	PUN	,
des	PRP:det	du
logements	NOM	logement
qui	PRO:REL	qui
ne	ADV	ne
leur	PRO:PER	lui
appartiennent	VER:pres	appartenir
pas	ADV	pas
».	VER:pper	».
-	PUN	-
mendicité	NOM	mendicité
«	PUN:cit	«
agressive	ADJ	agressif
»	PUN:cit	»
:	PUN	:
le	DET:ART	le
fait	NOM	fait
de	PRP	de
mendier	VER:infi	mendier
«	PUN:cit	«
en	PRP	en
réunion	NOM	réunion
et	KON	et
de	PRP	de
manière	NOM	manière
agressive	ADJ	agressif
,	PUN	,
ou	KON	ou
sous	PRP	sous
la	DET:ART	le
menace	NOM	menace
d'	PRP	de
un	DET:ART	un
animal	ADJ	animal
dangereux	ADJ	dangereux
»,	NOM	»,
est	VER:pres	être
sanctionné	VER:pper	sanctionner
de	PRP	de
six	NUM	six
mois	NOM	moi|mois
de	PRP	de
prison	NOM	prison
et	KON	et
3.750	NUM	@card@
euros	NOM	euro
d'	PRP	de
amende	NOM	amende
.	SENT	.
l'	DET:ART	le
exploitation	NOM	exploitation
de	PRP	de
la	DET:ART	le
mendicité	NOM	mendicité
est	VER:pres	être
passible	ADJ	passible
de	PRP	de
cinq	NUM	cinq
ans	NOM	an
de	PRP	de
prison	NOM	prison
et	KON	et
75.000	NUM	@card@
euros	NOM	euro
d'	PRP	de
amende	NOM	amende
,	PUN	,
lorsqu'il	ADJ	lorsqu'il
s'	PRO:PER	se
agit	VER:pres	agir
de	PRP	de
personnes	NOM	personne
mineures	ADJ	mineur
ou	KON	ou
vulnérables	ADJ	vulnérable
.	SENT	.
-	PUN	-
menaces	NOM	menace
:	PUN	:
les	DET:ART	le
policiers	NOM	policier
,	PUN	,
gendarmes	NOM	gendarme
,	PUN	,
magistrats	NOM	magistrat
,	PUN	,
avocats	NOM	avocat
,	PUN	,
douaniers	ADJ	douanier
,	PUN	,
conducteurs	ADJ	conducteur
de	PRP	de
bus	NOM	bus
et	KON	et
gardiens	NOM	gardien
d'	PRP	de
immeubles	NOM	immeuble
,	PUN	,
ainsi	KON	ainsi
que	KON	que
leurs	DET:POS	leur
proches	NOM	proche
,	PUN	,
sont	VER:pres	être
davantage	ADV	davantage
protégés	VER:pper	protéger
.	SENT	.
toute	PRO:IND	tout
menace	VER:pres	menacer
proférée	VER:pper	proférer
contre	PRP	contre
eux	PRO:PER	eux
sera	VER:futu	être
punie	VER:pper	punir
de	PRP	de
deux	NUM	deux
ans	NOM	an
d'	PRP	de
emprisonnement	NOM	emprisonnement
et	KON	et
de	PRP	de
30.000	NUM	@card@
euros	NOM	euro
d'	PRP	de
amende	NOM	amende
.	SENT	.
une	DET:ART	un
peine	NOM	peine
portée	VER:pper	porter
à	PRP	à
cinq	NUM	cinq
ans	NOM	an
et	KON	et
75.000	NUM	@card@
euros	NOM	euro
en	PRP	en
cas	NOM	cas
de	PRP	de
menace	NOM	menace
de	PRP	de
mort	NOM	mort
.	SENT	.
-	PUN	-
armes	NOM	arme
:	PUN	:
les	DET:ART	le
armuriers	NOM	armurier
doivent	VER:pres	devoir
déclarer	VER:infi	déclarer
en	PRP	en
préfecture	NOM	préfecture
la	DET:ART	le
vente	NOM	vente
d'	PRP	de
armes	NOM	arme
de	PRP	de
catégorie	NOM	catégorie
5	NUM	@card@
(	PUN	(
fusils	NOM	fusil
,	PUN	,
carabines	NOM	carabine
)	PUN	)
et	KON	et
7	NUM	@card@
(	PUN	(
armes	NOM	arme
de	PRP	de
tir	NOM	tir
)	PUN	)
dans	PRP	dans
un	DET:ART	un
délai	NOM	délai
de	PRP	de
48	NUM	@card@
heures	NOM	heure
.	SENT	.
l'	DET:ART	le
acheteur	NOM	acheteur
devra	VER:futu	devoir
produire	VER:infi	produire
un	DET:ART	un
certificat	NOM	certificat
attestant	VER:ppre	attester
de	PRP	de
son	DET:POS	son
état	NOM	état
de	PRP	de
santé	NOM	santé
physique	ADJ	physique
et	KON	et
psychique	ADJ	psychique
.	SENT	.
-	PUN	-
cartes	NOM	carte
de	PRP	de
séjour	NOM	séjour
:	PUN	:
un	DET:ART	un
étranger	ADJ	étranger
non	ADV	non
communautaire	ADJ	communautaire
pourra	VER:futu	pouvoir
se	PRO:PER	se
voir	VER:infi	voir
retirer	VER:infi	retirer
sa	DET:POS	son
carte	NOM	carte
de	PRP	de
séjour	NOM	séjour
temporaire	ADJ	temporaire
s'	PRO:PER	se
il	PRO:PER	il
«	PUN:cit	«
a	VER:pres	avoir
commis	VER:pper	commettre
des	PRP:det	du
faits	NOM	fait
justiciables	ADJ	justiciable
de	PRP	de
poursuites	NOM	poursuite
pénales	ADJ	pénal
»	PUN:cit	»
ou	KON	ou
si	KON	si
«	PUN:cit	«
son	DET:POS	son
comportement	NOM	comportement
a	VER:pres	avoir
constitué	VER:pper	constituer
une	DET:ART	un
menace	NOM	menace
pour	PRP	pour
l'	DET:ART	le
ordre	NOM	ordre
public	ADJ	public
».	VER:simp	».
la	DET:ART	le
commission	NOM	commission
des	PRP:det	du
lois	NOM	loi
souhaite	VER:pres	souhaiter
ainsi	ADV	ainsi
que	KON	que
le	DET:ART	le
titre	NOM	titre
de	PRP	de
séjour	NOM	séjour
soit	VER:subp	être
retiré	VER:pper	retirer
aux	PRP:det	au
auteurs	NOM	auteur
de	PRP	de
vols	NOM	vol
à	PRP	à
la	DET:ART	le
tire	NOM	tire
dans	PRP	dans
les	DET:ART	le
transports	NOM	transport
en	PRP	en
commun	NOM	commun
ou	KON	ou
personnes	NOM	personne
coupables	ADJ	coupable
de	PRP	de
traite	NOM	traite
d'	PRP	de
êtres	NOM	être|êtres
humains	ADJ	humain
.	SENT	.
-	PUN	-
kebabs	NOM	kebab
:	PUN	:
les	DET:ART	le
établissements	NOM	établissement
de	PRP	de
vente	NOM	vente
à	PRP	à
emporter	VER:infi	emporter
pourront	VER:futu	pouvoir
faire	VER:infi	faire
l'	DET:ART	le
objet	NOM	objet
d'	PRP	de
un	DET:ART	un
arrêté	NOM	arrêté
de	PRP	de
fermeture	NOM	fermeture
administrative	ADJ	administratif
de	PRP	de
trois	NUM	trois
mois	NOM	moi|mois
en	PRP	en
cas	NOM	cas
de	PRP	de
trouble	NOM	trouble
à	PRP	à
l'	DET:ART	le
ordre	NOM	ordre
public	ADJ	public
.	SENT	.
-	PUN	-
téléphones	NOM	téléphone
portables	ADJ	portable
:	PUN	:
les	DET:ART	le
opérateurs	NOM	opérateur
de	PRP	de
téléphonie	NOM	téléphonie
mobile	ADJ	mobile
ont	VER:pres	avoir
jusqu'au	NOM	jusqu'au
1	NUM	@card@
e	NOM	e
r	VER:subi	r
janvier	NOM	janvier
2004	NUM	@card@
pour	PRP	pour
mettre	VER:infi	mettre
en	PRP	en
place	NOM	place
un	DET:ART	un
procédé	NOM	procédé
de	PRP	de
désactivation	NOM	désactivation
des	PRP:det	du
appareils	NOM	appareil
volés	VER:pper	voler
.	SENT	.
-	PUN	-
drapeau	NOM	drapeau
:	PUN	:
l'	DET:ART	le
outrage	NOM	outrage
au	PRP:det	au
drapeau	NOM	drapeau
national	NOM	national
pourrait	VER:cond	pouvoir
être	VER:infi	être
puni	VER:pper	punir
de	PRP	de
7.500	NUM	@card@
euros	NOM	euro
d'	PRP	de
amende	NOM	amende
,	PUN	,
plus	ADV	plus
six	NUM	six
mois	NOM	moi|mois
de	PRP	de
prison	NOM	prison
s'	PRO:PER	se
il	PRO:PER	il
est	VER:pres	être
commis	VER:pper	commettre
en	PRP	en
réunion	NOM	réunion
.	SENT	.
