dernièrement	ADV	dernièrement
;	PUN	;
6	NUM	@card@
décembre	NOM	décembre
,	PUN	,
saint-nicolas	NOM	saint-nicolas
.	SENT	.
champougny	NAM	champougny
:	PUN	:
13	NUM	@card@
avril	NOM	avril
,	PUN	,
sortie	NOM	sortie
vtt	ADJ	vtt
et	KON	et
pédestre	ADJ	pédestre
;	PUN	;
1	NUM	@card@
e	NOM	e
r	VER:subi	r
juin	NOM	juin
,	PUN	,
fête	NOM	fête
du	PRP:det	du
cheval	NOM	cheval
.	SENT	.
epiez-sur-meuse	NOM	epiez-sur-meuse
:	PUN	:
27	NUM	@card@
juillet	NOM	juillet
,	PUN	,
pélerinage	NOM	pélerinage
à	PRP	à
sainte-anne	NOM	sainte-anne
.	SENT	.
maxey-sur-vaise	NOM	maxey-sur-vaise
:	PUN	:
28	NUM	@card@
juin	NOM	juin
,	PUN	,
fête	NOM	fête
patronale	ADJ	patronal
.	SENT	.
montigny-les-vaucouleurs	NOM	montigny-les-vaucouleurs
:	PUN	:
28	NUM	@card@
juin	NOM	juin
,	PUN	,
feux	NOM	feu
de	PRP	de
la	DET:ART	le
saint-jean	NOM	saint-jean
;	PUN	;
14	NUM	@card@
juillet	NOM	juillet
,	PUN	,
repas	NOM	repas
champêtre	ADJ	champêtre
et	KON	et
jeux	NOM	jeu
;	PUN	;
30	NUM	@card@
novembre	NOM	novembre
,	PUN	,
fête	NOM	fête
patronale	ADJ	patronal
.	SENT	.
neuville-les-vaucouleurs	NOM	neuville-les-vaucouleurs
:	PUN	:
9	NUM	@card@
février	NOM	février
,	PUN	,
loto	NOM	loto
;	PUN	;
22	NUM	@card@
mars	NOM	mars
,	PUN	,
repas	NOM	repas
du	PRP:det	du
comité	NOM	comité
;	PUN	;
19	NUM	@card@
juillet	NOM	juillet
,	PUN	,
feux	NOM	feu
de	PRP	de
la	DET:ART	le
saint-jean	NOM	saint-jean
et	KON	et
repas	NOM	repas
champêtre	ADJ	champêtre
;	PUN	;
7	NUM	@card@
septembre	NOM	septembre
,	PUN	,
loto	NOM	loto
;	PUN	;
25	NUM	@card@
octobre	NOM	octobre
,	PUN	,
concours	NOM	concours
de	PRP	de
belote	NOM	belote
;	PUN	;
2	NUM	@card@
novembre	NOM	novembre
,	PUN	,
fête	NOM	fête
patronale	ADJ	patronal
;	PUN	;
13	NUM	@card@
décembre	NOM	décembre
,	PUN	,
saint-nicolas	NOM	saint-nicolas
;	PUN	;
14	NUM	@card@
décembre	NOM	décembre
,	PUN	,
saint-nicolas	NOM	saint-nicolas
pour	PRP	pour
les	DET:ART	le
anciens	NOM	ancien
.	SENT	.
pagny-la-blanche-côte	NOM	pagny-la-blanche-côte
:	PUN	:
4	NUM	@card@
mai	NOM	mai
,	PUN	,
fête	NOM	fête
patronale	ADJ	patronal
;	PUN	;
25	NUM	@card@
mai	NOM	mai
,	PUN	,
vide-greniers	NOM	vide-greniers
;	PUN	;
21	NUM	@card@
juin	NOM	juin
,	PUN	,
feux	NOM	feu
de	PRP	de
la	DET:ART	le
saint-jean	NOM	saint-jean
.	SENT	.
rigny-la-salle	NOM	rigny-la-salle
:	PUN	:
8	NUM	@card@
mars	NOM	mars
,	PUN	,
carnaval	NOM	carnaval
;	PUN	;
5	NUM	@card@
juillet	NOM	juillet
,	PUN	,
feux	NOM	feu
de	PRP	de
la	DET:ART	le
saint-jean	NOM	saint-jean
;	PUN	;
14	NUM	@card@
septembre	NOM	septembre
,	PUN	,
fête	NOM	fête
patronale	ADJ	patronal
;	PUN	;
1	NUM	@card@
e	NOM	e
r	VER:subi	r
novembre	NOM	novembre
,	PUN	,
bal	NOM	bal
halloween	NOM	halloween
;	PUN	;
7	NUM	@card@
décembre	NOM	décembre
,	PUN	,
saint-nicolas	NOM	saint-nicolas
.	SENT	.
sauvigny	NAM	sauvigny
:	PUN	:
15	NUM	@card@
février	NOM	février
,	PUN	,
repas	NOM	repas
de	PRP	de
la	DET:ART	le
saint-valentin	NOM	saint-valentin
;	PUN	;
2	NUM	@card@
mars	NOM	mars
,	PUN	,
choucroute	NOM	choucroute
;	PUN	;
8	NUM	@card@
mars	NOM	mars
,	PUN	,
carnaval	NOM	carnaval
;	PUN	;
12	NUM	@card@
avril	NOM	avril
,	PUN	,
karaoké	NOM	karaoké
;	PUN	;
4	NUM	@card@
mai	NOM	mai
,	PUN	,
brocante	NOM	brocante
;	PUN	;
6	NUM	@card@
juillet	NOM	juillet
,	PUN	,
concours	NOM	concours
de	PRP	de
pêche	NOM	pêche
;	PUN	;
14	NUM	@card@
juillet	NOM	juillet
,	PUN	,
fête	NOM	fête
des	PRP:det	du
loupiots	NOM	loupiot
;	PUN	;
2	NUM	@card@
août	NOM	août
,	PUN	,
fête	NOM	fête
patronale	ADJ	patronal
;	PUN	;
10	NUM	@card@
août	NOM	août
,	PUN	,
jeux	NOM	jeu
intervillages	NOM	intervillages
;	PUN	;
31	NUM	@card@
octobre	NOM	octobre
,	PUN	,
halloween	NOM	halloween
.	SENT	.
sepvigny	NAM	sepvigny
:	PUN	:
21	NUM	@card@
septembre	NOM	septembre
,	PUN	,
fête	NOM	fête
patronale	ADJ	patronal
.	SENT	.
taillancourt	NOM	taillancourt
:	PUN	:
1	NUM	@card@
e	NOM	e
r	VER:subi	r
mars	NOM	mars
,	PUN	,
concours	NOM	concours
de	PRP	de
tarot	NOM	tarot
;	PUN	;
11	NUM	@card@
mai	NOM	mai
,	PUN	,
fête	NOM	fête
patronale	ADJ	patronal
;	PUN	;
15	NUM	@card@
juin	NOM	juin
,	PUN	,
concours	NOM	concours
de	PRP	de
pêche	NOM	pêche
;	PUN	;
27	NUM	@card@
juillet	NOM	juillet
,	PUN	,
concours	NOM	concours
de	PRP	de
pêche	NOM	pêche
;	PUN	;
6	NUM	@card@
septembre	NOM	septembre
,	PUN	,
concours	NOM	concours
de	PRP	de
belote	NOM	belote
;	PUN	;
7	NUM	@card@
décembre	NOM	décembre
,	PUN	,
marché	NOM	marché
de	PRP	de
noël	NOM	noël
.	SENT	.
ugny-sur-meuse	NOM	ugny-sur-meuse
:	PUN	:
20	NUM	@card@
juillet	NOM	juillet
,	PUN	,
fête	NOM	fête
de	PRP	de
saint-loup	NOM	saint-loup
;	PUN	;
16	NUM	@card@
août	NOM	août
,	PUN	,
fête	NOM	fête
de	PRP	de
la	DET:ART	le
moisson	NOM	moisson
et	KON	et
brocante	NOM	brocante
;	PUN	;
31	NUM	@card@
octobre	NOM	octobre
,	PUN	,
soirée	NOM	soirée
halloween	NOM	halloween
et	KON	et
jeux	NOM	jeu
;	PUN	;
29	NUM	@card@
novembre	NOM	novembre
,	PUN	,
couscous	NOM	couscous
.	SENT	.
vaucouleurs	NOM	vaucouleurs
:	PUN	:
16	NUM	@card@
février	NOM	février
,	PUN	,
journée	NOM	journée
casino	NOM	casino
école	NOM	école
tiercelins	NOM	tiercelin
;	PUN	;
23	NUM	@card@
février	NOM	février
,	PUN	,
championnat	NOM	championnat
de	PRP	de
lorraine	NOM	lorrain
de	PRP	de
scrabble	NOM	scrabble
;	PUN	;
8	NUM	@card@
mars	NOM	mars
,	PUN	,
loto	NOM	loto
du	PRP:det	du
football	NOM	football
;	PUN	;
15	NUM	@card@
mars	NOM	mars
,	PUN	,
bal	NOM	bal
de	PRP	de
la	DET:ART	le
danse	NOM	danse
;	PUN	;
29	NUM	@card@
mars	NOM	mars
,	PUN	,
soirée	NOM	soirée
africaine	ADJ	africain
de	PRP	de
l'	DET:ART	le
école	NOM	école
des	PRP:det	du
tiercelins	NOM	tiercelin
;	PUN	;
6	NUM	@card@
avril	NOM	avril
,	PUN	,
bold'air	NOM	bold'air
;	PUN	;
19	NUM	@card@
avril	NOM	avril
,	PUN	,
gala	NOM	gala
de	PRP	de
judo	NOM	judo
;	PUN	;
1	NUM	@card@
e	NOM	e
r	VER:subi	r
mai	NOM	mai
,	PUN	,
repas	NOM	repas
des	PRP:det	du
anciens	NOM	ancien
;	PUN	;
16	NUM	@card@
17	ABR	@card@
18	NUM	@card@
et	KON	et
19	NUM	@card@
mai	NOM	mai
,	PUN	,
festival	NOM	festival
du	PRP:det	du
cirque	NOM	cirque
;	PUN	;
31	NUM	@card@
mai	NOM	mai
,	PUN	,
expo	NOM	expo
codeco	ADJ	codeco
,	PUN	,
tri	NOM	tri
et	KON	et
concours	NOM	concours
d'	PRP	de
affiches	NOM	affiche
;	PUN	;
14	NUM	@card@
juin	NOM	juin
,	PUN	,
concert	NOM	concert
de	PRP	de
la	DET:ART	le
chorale	NOM	chorale
des	PRP:det	du
tiercelins	NOM	tiercelin
;	PUN	;
15	NUM	@card@
juin	NOM	juin
,	PUN	,
braderie	NOM	braderie
;	PUN	;
21	NUM	@card@
juin	NOM	juin
,	PUN	,
gala	NOM	gala
de	PRP	de
danse	NOM	danse
;	PUN	;
22	NUM	@card@
juin	NOM	juin
,	PUN	,
fête	NOM	fête
de	PRP	de
la	DET:ART	le
musique	NOM	musique
;	PUN	;
28	NUM	@card@
et	KON	et
29	NUM	@card@
juin	NOM	juin
,	PUN	,
jumelage	NOM	jumelage
football	NOM	football
;	PUN	;
6	NUM	@card@
juillet	NOM	juillet
,	PUN	,
kermesse	NOM	kermesse
paroissiale	ADJ	paroissial
;	PUN	;
13	NUM	@card@
juillet	NOM	juillet
,	PUN	,
animation	NOM	animation
sportive	ADJ	sportif
et	KON	et
feux	NOM	feu
d'	PRP	de
artifices	NOM	artifice
;	PUN	;
14	NUM	@card@
juillet	NOM	juillet
,	PUN	,
tournoi	NOM	tournoi
de	PRP	de
sixte	NOM	sixte
;	PUN	;
27	NUM	@card@
juillet	NOM	juillet
,	PUN	,
concert	NOM	concert
à	PRP	à
gombervaux	NOM	gombervaux
;	PUN	;
10	NUM	@card@
et	KON	et
15	NUM	@card@
août	NOM	août
,	PUN	,
fête	NOM	fête
patronale	ADJ	patronal
;	PUN	;
24	NUM	@card@
août	NOM	août
,	PUN	,
concert	NOM	concert
de	PRP	de
trompettes	VER:pres	trompeter
et	KON	et
cors	NOM	cor|cors
de	PRP	de
chasse	NOM	chasse
;	PUN	;
14	NUM	@card@
septembre	NOM	septembre
,	PUN	,
projet	NOM	projet
commercial	ADJ	commercial
;	PUN	;
4	NUM	@card@
octobre	NOM	octobre
,	PUN	,
loto	NOM	loto
de	PRP	de
la	DET:ART	le
danse	NOM	danse
;	PUN	;
12	NUM	@card@
octobre	NOM	octobre
,	PUN	,
concours	NOM	concours
de	PRP	de
scrabble	NOM	scrabble
;	PUN	;
18	NUM	@card@
octobre	NOM	octobre
,	PUN	,
soirée	NOM	soirée
football	NOM	football
;	PUN	;
9	NUM	@card@
novembre	NOM	novembre
,	PUN	,
sainte-cécile	NOM	sainte-cécile
;	PUN	;
29	NUM	@card@
novembre	NOM	novembre
,	PUN	,
sainte-barbe	NOM	sainte-barbe
et	KON	et
sainte-cécile	NOM	sainte-cécile
;	PUN	;
5	NUM	@card@
décembre	NOM	décembre
,	PUN	,
saint-nicolas	NOM	saint-nicolas
.	SENT	.
la	DET:ART	le
prochaine	ADJ	prochain
réunion	NOM	réunion
d'	PRP	de
élaboration	NOM	élaboration
du	PRP:det	du
calendrier	NOM	calendrier
des	PRP:det	du
fêtes	NOM	fête
du	PRP:det	du
canton	NOM	canton
aura	VER:futu	avoir
lieu	NOM	lieu
dimanche	NOM	dimanche
30	NUM	@card@
novembre	NOM	novembre
,	PUN	,
à	PRP	à
rigny-la-salle	NOM	rigny-la-salle
.	SENT	.
