villey-st-etienne	ADJ	villey-st-etienne
d'	PRP	de
une	DET:ART	un
habitation	NOM	habitation
.	SENT	.
deux	NUM	deux
blessés	NOM	blessé
légers	ADJ	léger
ont	VER:pres	avoir
été	VER:pper	être
pris	VER:pper	prendre
en	PRP	en
charge	NOM	charge
par	PRP	par
lespompiers	NOM	lespompiers
et	KON	et
dirigés	VER:pper	diriger
vers	PRP	vers
le	DET:ART	le
centre	NOM	centre
hospitalier	ADJ	hospitalier
.	SENT	.
laneuveville	NOM	laneuveville
devant-nancy	NOM	devant-nancy
-	PUN	-
fuite	NOM	fuite
de	PRP	de
gaz	NOM	gaz
vendredi	NOM	vendredi
,	PUN	,
vers	PRP	vers
10	NUM	@card@
h	ABR	heure
,	PUN	,
un	DET:ART	un
témoin	NOM	témoin
a	VER:pres	avoir
alerté	VER:pper	alerter
les	DET:ART	le
secours	NOM	secours
pour	PRP	pour
une	DET:ART	un
odeur	NOM	odeur
de	PRP	de
gaz	NOM	gaz
dans	PRP	dans
une	DET:ART	un
habitation	NOM	habitation
du	PRP:det	du
20	NUM	@card@
rue	NOM	rue
général	ADJ	général
patton	NOM	patton
.	SENT	.
l'	DET:ART	le
intervention	NOM	intervention
combinée	VER:pper	combiner
des	PRP:det	du
sapeurs-pompiers	NOM	sapeurs-pompiers
et	KON	et
des	PRP:det	du
services	NOM	service
de	PRP	de
gdf	NOM	gdf
a	VER:pres	avoir
permis	VER:pper	permettre
de	PRP	de
résoudre	VER:infi	résoudre
rapidement	ADV	rapidement
le	DET:ART	le
problème	NOM	problème
.	SENT	.
frouard	NAM	frouard
-	PUN	-
voiture	NOM	voiture
en	PRP	en
flammes	NOM	flamme
dans	PRP	dans
la	DET:ART	le
nuit	NOM	nuit
de	PRP	de
jeudi	NOM	jeudi
à	PRP	à
vendredi	NOM	vendredi
,	PUN	,
vers	PRP	vers
1	NUM	@card@
h	ABR	heure
,	PUN	,
une	DET:ART	un
voiture	NOM	voiture
a	VER:pres	avoir
été	VER:pper	être
entièrement	ADV	entièrement
détruite	VER:pper	détruire
par	PRP	par
les	DET:ART	le
flammes	NOM	flamme
au	PRP:det	au
2	NUM	@card@
clos	NOM	clos
de	PRP	de
l'	DET:ART	le
embanie	NOM	embanie
.	SENT	.
les	DET:ART	le
sapeurs-pompiers	NOM	sapeurs-pompiers
ont	VER:pres	avoir
éteint	VER:pper	éteindre
l'	DET:ART	le
incendie	NOM	incendie
au	PRP:det	au
moyen	NOM	moyen
d'	PRP	de
une	DET:ART	un
petite	ADJ	petit
lance	NOM	lance
.	SENT	.
peu	ADV	peu
de	PRP	de
temps	NOM	temps
après	KON	après
,	PUN	,
vers	PRP	vers
1	NUM	@card@
h	ABR	heure
20	NUM	@card@
c'	PRO:DEM	ce
est	VER:pres	être
un	DET:ART	un
deux-roues	NOM	deux-roues
qui	PRO:REL	qui
a	VER:pres	avoir
été	VER:pper	être
endommagé	VER:pper	endommager
par	PRP	par
le	DET:ART	le
feu	NOM	feu
devant	PRP	devant
le	DET:ART	le
local	NOM	local
de	PRP	de
la	DET:ART	le
police	NOM	police
municipale	ADJ	municipal
,	PUN	,
rue	NOM	rue
anatole-france	NOM	anatole-france
.	SENT	.
là	ADV	là
aussi	ADV	aussi
,	PUN	,
une	DET:ART	un
petite	ADJ	petit
lance	NOM	lance
a	VER:pres	avoir
été	VER:pper	être
utilisée	VER:pper	utiliser
par	PRP	par
les	DET:ART	le
soldats	NOM	soldat
du	PRP:det	du
feu	NOM	feu
pour	PRP	pour
procéder	VER:infi	procéder
à	PRP	à
l'	DET:ART	le
extinction	NOM	extinction
du	PRP:det	du
sinistre	NOM	sinistre
.	SENT	.
blenod-les-pam	NOM	blenod-les-pam
-	PUN	-
collision	NOM	collision
:	PUN	:
un	DET:ART	un
blessé	ADJ	blessé
hier	NOM	hier
,	PUN	,
peu	ADV	peu
après	PRP	après
18	NUM	@card@
h	ABR	heure
,	PUN	,
un	DET:ART	un
automobiliste	NOM	automobiliste
a	VER:pres	avoir
effectué	VER:pper	effectuer
un	DET:ART	un
demi-tour	NOM	demi-tour
sur	PRP	sur
l'	DET:ART	le
avenue	NOM	avenue
victor-claude	ADJ	victor-claude
à	PRP	à
blénod	NOM	blénod
.	SENT	.
au	PRP:det	au
même	ADJ	même
moment	NOM	moment
passait	VER:impf	passer
un	DET:ART	un
autre	ADJ	autre
véhicule	NOM	véhicule
,	PUN	,
et	KON	et
le	DET:ART	le
choc	NOM	choc
a	VER:pres	avoir
été	VER:pper	être
inévitable	ADJ	inévitable
.	SENT	.
une	DET:ART	un
femme	NOM	femme
a	VER:pres	avoir
été	VER:pper	être
blessée	VER:pper	blesser
dans	PRP	dans
la	DET:ART	le
collision	NOM	collision
et	KON	et
a	VER:pres	avoir
été	VER:pper	être
transportée	VER:pper	transporter
à	PRP	à
l'	DET:ART	le
hôpital	NOM	hôpital
de	PRP	de
pont-à-mousson	NOM	pont-à-mousson
par	PRP	par
les	DET:ART	le
sapeurs-pompiers	NOM	sapeurs-pompiers
.	SENT	.
thuilley-aux-groseilles	NOM	thuilley-aux-groseilles
-	PUN	-
collision	NOM	collision
jeudi	NOM	jeudi
soir	NOM	soir
,	PUN	,
peu	ADV	peu
avant	PRP	avant
20	NUM	@card@
h	ABR	heure
,	PUN	,
un	DET:ART	un
accident	NOM	accident
entre	PRP	entre
deux	NUM	deux
véhicules	NOM	véhicule
a	VER:pres	avoir
eu	VER:pper	avoir
lieu	NOM	lieu
sur	PRP	sur
la	DET:ART	le
rd	NOM	rd
974	NUM	@card@
en	PRP	en
direction	NOM	direction
d'	PRP	de
allain	NOM	allain
.	SENT	.
rapidement	ADV	rapidement
sur	PRP	sur
place	NOM	place
,	PUN	,
les	DET:ART	le
sapeurs-pompiers	NOM	sapeurs-pompiers
ont	VER:pres	avoir
pris	VER:pper	prendre
en	PRP	en
charge	NOM	charge
un	DET:ART	un
blessé	NOM	blessé
et	KON	et
l'	PRO:PER	la|le
ont	VER:pres	avoir
dirigé	VER:pper	diriger
vers	PRP	vers
le	DET:ART	le
centre	NOM	centre
hospitalier	ADJ	hospitalier
.	SENT	.
la	DET:ART	le
gendarmerie	NOM	gendarmerie
était	VER:impf	être
sur	PRP	sur
les	DET:ART	le
lieux	NOM	lieu
pour	PRP	pour
déterminer	VER:infi	déterminer
les	DET:ART	le
causes	NOM	cause
de	PRP	de
cet	PRO:DEM	ce
accident	NOM	accident
.	SENT	.
pont-a-mousson	NOM	pont-a-mousson
-	PUN	-
perte	NOM	perte
de	PRP	de
contrôle	NOM	contrôle
jeudi	NOM	jeudi
soir	NOM	soir
,	PUN	,
peu	ADV	peu
avant	PRP	avant
21	NUM	@card@
h	ABR	heure
,	PUN	,
un	DET:ART	un
automobiliste	NOM	automobiliste
a	VER:pres	avoir
perdu	VER:pper	perdre
le	DET:ART	le
contrôle	NOM	contrôle
de	PRP	de
son	DET:POS	son
véhicule	NOM	véhicule
alors	ADV	alors
qu'	KON	que
il	PRO:PER	il
circulait	VER:impf	circuler
route	NOM	route
de	PRP	de
champey	NOM	champey
,	PUN	,
juste	ADJ	juste
en	PRP	en
face	NOM	face
de	PRP	de
la	DET:ART	le
caserne	NOM	caserne
des	PRP:det	du
pompiers	NOM	pompier
.	SENT	.
ces	PRO:DEM	ce
derniers	NOM	dernier
ont	VER:pres	avoir
eu	VER:pper	avoir
à	PRP	à
déplorer	VER:infi	déplorer
deux	NUM	deux
blessés	NOM	blessé
légers	ADJ	léger
qui	PRO:REL	qui
ont	VER:pres	avoir
été	VER:pper	être
transportés	VER:pper	transporter
à	PRP	à
l'	DET:ART	le
hôpital	NOM	hôpital
.	SENT	.
nomeny	NOM	nomeny
-	PUN	-
vol	NOM	vol
de	PRP	de
camionnette	NOM	camionnette
dans	PRP	dans
la	DET:ART	le
nuit	NOM	nuit
de	PRP	de
jeudi	NOM	jeudi
à	PRP	à
vendredi	NOM	vendredi
,	PUN	,
un	NUM	un
ou	KON	ou
des	PRP:det	du
individus	NOM	individu
se	PRO:PER	se
sont	VER:pres	être
introduits	VER:pper	introduire
par	PRP	par
effraction	NOM	effraction
dans	PRP	dans
un	DET:ART	un
hangar	NOM	hangar
de	PRP	de
la	DET:ART	le
coopérative	NOM	coopérative
agricole	ADJ	agricole
.	SENT	.
une	DET:ART	un
camionnette	NOM	camionnette
de	PRP	de
type	NOM	type
plateau	NOM	plateau
,	PUN	,
de	PRP	de
couleur	NOM	couleur
bleue	ADJ	bleu
,	PUN	,
a	VER:pres	avoir
été	VER:pper	être
volée	VER:pper	voler
.	SENT	.
plainte	NOM	plainte
a	VER:pres	avoir
été	VER:pper	être
déposée	VER:pper	déposer
à	PRP	à
la	DET:ART	le
gendarmerie	NOM	gendarmerie
de	PRP	de
nomeny	NOM	nomeny
.	SENT	.
nancy	NOM	nancy
-	PUN	-
un	DET:ART	un
désespéré	ADJ	désespéré
se	PRO:PER	se
jette	VER:pres	jeter
à	PRP	à
l'	DET:ART	le
eau	NOM	eau
jeudi	NOM	jeudi
en	PRP	en
fin	NOM	fin
d'	PRP	de
après-midi	NOM	après-midi
,	PUN	,
un	DET:ART	un
homme	NOM	homme
d'	PRP	de
une	DET:ART	un
quarantaine	NOM	quarantaine
d'	PRP	de
années	NOM	année
a	VER:pres	avoir
tenté	VER:pper	tenter
de	PRP	de
mettre	VER:infi	mettre
fin	NOM	fin
à	PRP	à
ses	DET:POS	son
jours	NOM	jour
en	PRP	en
se	PRO:PER	se
jetant	VER:ppre	jeter
dans	PRP	dans
le	DET:ART	le
canal	NOM	canal
,	PUN	,
à	PRP	à
hauteur	NOM	hauteur
de	PRP	de
l'	DET:ART	le
usine	NOM	usine
alstom	NOM	alstom
,	PUN	,
rue	NOM	rue
oberlin	ADJ	oberlin
.	SENT	.
fort	ADV	fort
heureusement	ADV	heureusement
,	PUN	,
un	DET:ART	un
témoin	NOM	témoin
de	PRP	de
la	DET:ART	le
scène	NOM	scène
a	VER:pres	avoir
alerté	VER:pper	alerter
les	DET:ART	le
secours	NOM	secours
qui	PRO:REL	qui
ont	VER:pres	avoir
réussi	VER:pper	réussir
à	PRP	à
ramener	VER:infi	ramener
le	DET:ART	le
malheureux	NOM	malheureux
sur	PRP	sur
la	DET:ART	le
berge	NOM	berge
.	SENT	.
conscient	ADJ	conscient
et	KON	et
transi	VER:pper	transir
de	PRP	de
froid	NOM	froid
,	PUN	,
il	PRO:PER	il
a	VER:pres	avoir
été	VER:pper	être
acheminé	VER:pper	acheminer
vers	PRP	vers
le	DET:ART	le
centre	NOM	centre
hospitalier	ADJ	hospitalier
.	SENT	.
luneville	NOM	luneville
-	PUN	-
piéton	ADJ	piéton
renversé	VER:pper	renverser
jeudi	NOM	jeudi
soir	NOM	soir
sur	PRP	sur
les	DET:ART	le
coups	NOM	coup
de	PRP	de
18	NUM	@card@
h	ABR	heure
30	NUM	@card@
un	DET:ART	un
piéton	NOM	piéton
a	VER:pres	avoir
été	VER:pper	être
renversé	VER:pper	renverser
par	PRP	par
une	DET:ART	un
voiture	NOM	voiture
dans	PRP	dans
la	DET:ART	le
rue	NOM	rue
des	PRP:det	du
bénédictins	NOM	bénédictin
.	SENT	.
légèrement	ADV	légèrement
blessé	VER:pper	blesser
,	PUN	,
il	PRO:PER	il
a	VER:pres	avoir
été	VER:pper	être
pris	VER:pper	prendre
en	PRP	en
charge	NOM	charge
par	PRP	par
les	DET:ART	le
sapeurs-pompiers	NOM	sapeurs-pompiers
et	KON	et
dirigé	VER:pper	diriger
vers	PRP	vers
le	DET:ART	le
centre	NOM	centre
hospitalier	ADJ	hospitalier
.	SENT	.
