vittel	NAM	Vittel
à	PRP	à
epinal	NOM	epinal
,	PUN	,
ce	PRO:DEM	ce
qui	PRO:REL	qui
l'	PRO:PER	la|le
oblige	VER:pres	obliger
chaque	PRO:IND	chaque
jour	NOM	jour
à	PRP	à
des	PRP:det	du
allers	NOM	aller
et	KON	et
retours	NOM	retour
entre	PRP	entre
nancy	NOM	nancy
et	KON	et
les	DET:ART	le
vosges	ADJ	vosges
.	SENT	.
en	PRP	en
route	NOM	route
des	PRP:det	du
6	NUM	@card@
h	ABR	heure
du	PRP:det	du
matin	NOM	matin
,	PUN	,
il	PRO:PER	il
ne	ADV	ne
quitte	VER:pres	quitter
son	DET:POS	son
emploi	NOM	emploi
que	KON	que
vers	PRP	vers
17	NUM	@card@
h	ABR	heure
pour	PRP	pour
rallier	VER:infi	rallier
le	DET:ART	le
creps	NOM	creps
d'	PRP	de
essey	NOM	essey
où	PRO:REL	où
il	PRO:PER	il
s'	PRO:PER	se
astreint	VER:pres	astreindre
à	PRP	à
3	NUM	@card@
heures	NOM	heure
intensives	ADJ	intensif
de	PRP	de
travail	NOM	travail
sous	PRP	sous
la	DET:ART	le
direction	NOM	direction
de	PRP	de
son	DET:POS	son
entraîneur	NOM	entraîneur
.	SENT	.
avant	PRP	avant
de	PRP	de
regagner	VER:infi	regagner
la	DET:ART	le
cité	NOM	cité
des	PRP:det	du
images	NOM	image
sur	PRP	sur
les	DET:ART	le
coups	NOM	coup
de	PRP	de
22	NUM	@card@
h	ABR	heure
:	PUN	:
«	PUN:cit	«
quelques	PRO:IND	quelque
fois	NOM	foi|fois
,	PUN	,
je	PRO:PER	je
suis	VER:pres	suivre|être
saturé	VER:pper	saturer
.	SENT	.
au	PRP:det	au
point	NOM	point
que	PRO:REL	que
j'	PRO:PER	je
apprécie	VER:pres	apprécier
de	PRP	de
faire	VER:infi	faire
la	DET:ART	le
grasse	ADJ	gras
matinée	NOM	matinée
comme	KON	comme
ce	PRO:DEM	ce
fut	VER:simp	être
le	DET:ART	le
cas	NOM	cas
ce	PRO:DEM	ce
samedi	NOM	samedi
.	SENT	.
mais	KON	mais
c'	PRO:DEM	ce
est	VER:pres	être
la	DET:ART	le
condition	NOM	condition
pour	PRP	pour
continuer	VER:infi	continuer
à	PRP	à
progresser	VER:infi	progresser
.	SENT	.
heureusement	ADV	heureusement
,	PUN	,
fabienne	NOM	fabienne
est	VER:pres	être
là	ADV	là
pour	PRP	pour
me	PRO:PER	me
motiver	VER:infi	motiver
.	SENT	.
elle	PRO:PER	elle
a	VER:pres	avoir
une	DET:ART	un
très	ADV	très
grande	ADJ	grand
expérience	NOM	expérience
de	PRP	de
la	DET:ART	le
compétition	NOM	compétition
et	KON	et
son	DET:POS	son
vécu	NOM	vécu
technique	ADJ	technique
est	VER:pres	être
important	ADJ	important
.	SENT	.
j'	PRO:PER	je
ai	VER:pres	avoir
une	DET:ART	un
énorme	ADJ	énorme
confiance	NOM	confiance
en	PRP	en
elle	PRO:PER	elle
et	KON	et
depuis	PRP	depuis
trois	NUM	trois
ans	NOM	an
,	PUN	,
elle	PRO:PER	elle
m'	PRO:PER	me
apporte	VER:pres	apporter
beaucoup	ADV	beaucoup
.	SENT	.
aujourd'hui	ADV	aujourd'hui
,	PUN	,
je	PRO:PER	je
suis	VER:pres	suivre|être
régulier	ADJ	régulier
à	PRP	à
17,50	NUM	@card@
m	NOM	m
et	KON	et
plus	ADV	plus
.	SENT	.
c'	PRO:DEM	ce
est	VER:pres	être
la	DET:ART	le
preuve	NOM	preuve
que	PRO:REL	que
je	PRO:PER	je
viens	VER:pres	venir
de	PRP	de
franchir	VER:infi	franchir
un	DET:ART	un
nouveau	ADJ	nouveau
palier	NOM	palier
.	SENT	.
et	KON	et
j'	PRO:PER	je
irai	VER:futu	aller
encore	ADV	encore
plus	ADV	plus
loin	ADV	loin
lorsque	KON	lorsque
j'	PRO:PER	je
aurai	VER:futu	avoir
amélioré	VER:pper	améliorer
ma	DET:POS	mon
technique	NOM	technique
».	VER:futu	».
pour	PRP	pour
autant	ADV	autant
le	DET:ART	le
recordman	NOM	recordman
de	PRP	de
lorraine	NOM	lorrain
ne	ADV	ne
se	PRO:PER	se
fixe	VER:pres	fixer
pas	ADV	pas
d'	PRP	de
objectif	ADJ	objectif
précis	NOM	précis
:	PUN	:
«	PUN:cit	«
ce	PRO:DEM	ce
que	PRO:REL	que
je	PRO:PER	je
veux	VER:pres	vouloir
,	PUN	,
c'	PRO:DEM	ce
est	VER:pres	être
me	PRO:PER	me
rapprocher	VER:infi	rapprocher
encore	ADV	encore
de	PRP	de
ceux	PRO:DEM	celui
qui	PRO:REL	qui
sont	VER:pres	être
devant	PRP	devant
moi	PRO:PER	moi
.	SENT	.
ils	PRO:PER	il
sont	VER:pres	être
trois	NUM	trois
en	PRP	en
france	NOM	france
à	PRP	à
19	NUM	@card@
m.	ABR	m.
et	KON	et
je	PRO:PER	je
préférerais	VER:cond	préférer
terminer	VER:infi	terminer
quatrième	NUM	quatrième
à	PRP	à
clermont-ferrand	NOM	clermont-ferrand
à	PRP	à
plus	ADV	plus
de	PRP	de
18	NUM	@card@
m	NOM	m
que	KON	que
premier	NOM	premier
à	PRP	à
17,50	NUM	@card@
m.	ABR	m.
car	KON	car
à	PRP	à
29	NUM	@card@
ans	NOM	an
(	PUN	(
je	PRO:PER	je
les	PRO:PER	la|le
ai	VER:pres	avoir
depuis	PRP	depuis
le	DET:ART	le
4	NUM	@card@
février	NOM	février
),	ADJ	),
je	PRO:PER	je
voudrais	VER:cond	vouloir
laisser	VER:infi	laisser
une	DET:ART	un
trace	NOM	trace
dans	PRP	dans
le	DET:ART	le
monde	NOM	monde
des	PRP:det	du
lanceurs	NOM	lanceur
».	VER:cond	».
fabienne	NOM	fabienne
locuty	ADJ	locuty
a	VER:pres	avoir
quant	PRP	quant
à	PRP	à
elle	PRO:PER	elle
hâte	VER:pres	hâter
de	PRP	de
voir	VER:infi	voir
stéphane	ADJ	stéphane
à	PRP	à
la	DET:ART	le
lutte	NOM	lutte
avec	PRP	avec
ses	DET:POS	son
concurrents	NOM	concurrent
directs	ADJ	direct
:	PUN	:
«	PUN:cit	«
sa	DET:POS	son
progression	NOM	progression
est	VER:pres	être
telle	PRO:DEM	tel
qu'	PRO:REL	que
il	PRO:PER	il
peut	VER:pres	pouvoir
prétendre	VER:infi	prétendre
aujourd'hui	ADV	aujourd'hui
se	PRO:PER	se
faire	VER:infi	faire
une	DET:ART	un
belle	ADJ	beau
place	NOM	place
au	PRP:det	au
soleil	NOM	soleil
.	SENT	.
d'	PRP	de
autant	ADV	autant
que	KON	que
sa	DET:POS	son
motivation	NOM	motivation
est	VER:pres	être
grande	ADJ	grand
et	KON	et
qu'	PRO:REL	que
il	PRO:PER	il
est	VER:pres	être
désormais	ADV	désormais
beaucoup	ADV	beaucoup
plus	ADV	plus
mature	ADJ	mature
dans	PRP	dans
sa	DET:POS	son
manière	NOM	manière
d'	PRP	de
aborder	VER:infi	aborder
les	DET:ART	le
rendez-vous	NOM	rendez-vous
importants	ADJ	important
».	ADJ	».
