m.	ABR	m.
creutzfeldt-jakob	NOM	creutzfeldt-jakob
.	SENT	.
en	PRO:PER	en
fait	VER:pres	faire
,	PUN	,
selon	PRP	selon
un	DET:ART	un
rite	NOM	rite
,	PUN	,
les	DET:ART	le
papous	NOM	papou
mangeaient	VER:impf	manger
leurs	DET:POS	leur
morts	NOM	mort
.	SENT	.
les	DET:ART	le
femmes	NOM	femme
et	KON	et
les	DET:ART	le
enfants	NOM	enfant
avaient	VER:impf	avoir
droit	NOM	droit
à	PRP	à
la	DET:ART	le
cervelle	NOM	cervelle
et	KON	et
aux	PRP:det	au
viscères	NOM	viscère
,	PUN	,
les	DET:ART	le
muscles	NOM	muscle
,	PUN	,
symbole	NOM	symbole
de	PRP	de
force	NOM	force
,	PUN	,
revenaient	VER:impf	revenir
aux	PRP:det	au
hommes	NOM	homme
.	SENT	.
c'	PRO:DEM	ce
est	VER:pres	être
la	DET:ART	le
raison	NOM	raison
pour	PRP	pour
laquelle	PRO:REL	lequel
les	DET:ART	le
femmes	NOM	femme
et	KON	et
les	DET:ART	le
enfants	NOM	enfant
étaient	VER:impf	être
plus	ADV	plus
touchés	VER:pper	toucher
que	KON	que
les	DET:ART	le
hommes	NOM	homme
par	PRP	par
une	DET:ART	un
variante	NOM	variante
de	PRP	de
la	DET:ART	le
maladie	NOM	maladie
de	PRP	de
creutzfeldt-jakob	NOM	creutzfeldt-jakob
.	SENT	.
temps	NOM	temps
d'	PRP	de
incubation	NOM	incubation
:	PUN	:
environ	PRP	environ
douze	NUM	douze
ans	NOM	an
;	PUN	;
si	KON	si
les	DET:ART	le
premiers	NOM	premier
mouraient	VER:impf	mourir
déjà	ADV	déjà
après	PRP	après
cinq	NUM	cinq
ans	NOM	an
d'	PRP	de
incubation	NOM	incubation
,	PUN	,
d'	PRP	de
autres	ADJ	autre
développent	VER:pres	développer
encore	ADV	encore
la	DET:ART	le
maladie	NOM	maladie
alors	ADV	alors
qu'	KON	que
ils	PRO:PER	il
ont	VER:pres	avoir
arrêté	VER:pper	arrêter
de	PRP	de
pratiquer	VER:infi	pratiquer
le	DET:ART	le
cannibalisme	NOM	cannibalisme
en	PRP	en
1959	NUM	@card@
cette	PRO:DEM	ce
tribu	NOM	tribu
,	PUN	,
découverte	VER:pper	découvrir
par	PRP	par
gajdisek	NOM	gajdisek
et	KON	et
zigas	NOM	zigas
en	PRP	en
1957	NUM	@card@
présente	NOM	présent
une	DET:ART	un
forte	ADJ	fort
consanguinité	NOM	consanguinité
,	PUN	,
et	KON	et
200	NUM	@card@
personnes	NOM	personne
mouraient	VER:impf	mourir
par	PRP	par
an	NOM	an
de	PRP	de
cette	PRO:DEM	ce
maladie	NOM	maladie
.	SENT	.
ainsi	KON	ainsi
en	PRP	en
europe	NOM	europe
,	PUN	,
avec	PRP	avec
la	DET:ART	le
farine	NOM	farine
de	PRP	de
viande	NOM	viande
infectée	VER:pper	infecter
,	PUN	,
les	DET:ART	le
rois	NOM	roi
de	PRP	de
l'	DET:ART	le
industrie	NOM	industrie
agroalimentaire	ADJ	agroalimentaire
ont	VER:pres	avoir
reproduit	VER:pper	reproduire
via	PRP	via
le	DET:ART	le
règne	NOM	règne
animal	ADJ	animal
,	PUN	,
l'	DET:ART	le
esb	NOM	esb
,	PUN	,
l'	DET:ART	le
équivalent	NOM	équivalent
de	PRP	de
l'	DET:ART	le
épidémie	NOM	épidémie
observée	VER:pper	observer
chez	PRP	chez
les	DET:ART	le
papous	NOM	papou
.	SENT	.
(...)	NOM	(...)
pour	PRP	pour
l'	DET:ART	le
histoire	NOM	histoire
,	PUN	,
l'	DET:ART	le
américain	ADJ	américain
stanley	NOM	stanley
prusnier	ADJ	prusnier
a	VER:pres	avoir
reçu	VER:pper	recevoir
le	DET:ART	le
prix	NOM	prix
nobel	NOM	nobel
1997	NUM	@card@
de	PRP	de
physiologie	NOM	physiologie
et	KON	et
médecine	NOM	médecine
pour	PRP	pour
avoir	VER:infi	avoir
ajouté	VER:pper	ajouter
les	PRO:PER	la|le
prions	VER:pres	prier
à	PRP	à
la	DET:ART	le
liste	NOM	liste
des	PRP:det	du
agents	NOM	agent
infectieux	ADJ	infectieux
bien	ADV	bien
connus	VER:pper	connaître
.	SENT	.
la	DET:ART	le
maladie	NOM	maladie
de	PRP	de
creutzfeldt-jakob	NOM	creutzfeldt-jakob
est	VER:pres	être
liée	VER:pper	lier
à	PRP	à
un	DET:ART	un
type	NOM	type
anormal	ADJ	anormal
de	PRP	de
particule	NOM	particule
protéique	ADJ	protéique
normalement	ADV	normalement
présente	ADJ	présent
dans	PRP	dans
les	DET:ART	le
cellules	NOM	cellule
.	SENT	.
devant	PRP	devant
cette	PRO:DEM	ce
épidémie	NOM	épidémie
de	PRP	de
l'	DET:ART	le
esb	NOM	esb
en	PRP	en
europe	NOM	europe
,	PUN	,
qui	PRO:REL	qui
oserait	VER:cond	oser
encore	ADV	encore
prétendre	VER:infi	prétendre
que	KON	que
les	DET:ART	le
papous	NOM	papou
étaient	VER:impf	être
des	PRP:det	du
primitifs	NOM	primitif
?	SENT	?
hormis	PRP	hormis
la	DET:ART	le
viande	NOM	viande
de	PRP	de
b	ADJ	b
	NOM	
uf	ADJ	uf
,	PUN	,
bien	ADV	bien
que	KON	que
l'	DET:ART	le
épidémie	NOM	épidémie
soit	KON	soit
en	PRP	en
phase	NOM	phase
de	PRP	de
régression	NOM	régression
,	PUN	,
il	PRO:PER	il
faut	VER:pres	falloir
s'	PRO:PER	se
assurer	VER:infi	assurer
aussi	ADV	aussi
du	PRP:det	du
sérieux	NOM	sérieux
de	PRP	de
la	DET:ART	le
fabrication	NOM	fabrication
de	PRP	de
certains	PRO:IND	certain
aliments	NOM	aliment
,	PUN	,
notamment	ADV	notamment
ceux	PRO:DEM	celui
dont	PRO:REL	dont
la	DET:ART	le
composition	NOM	composition
de	PRP	de
base	NOM	base
est	VER:pres	être
fabriquée	VER:pper	fabriquer
avec	PRP	avec
de	PRP	de
la	DET:ART	le
gélatine	NOM	gélatine
(...)	ADJ	(...)
désormais	ADV	désormais
,	PUN	,
il	PRO:PER	il
faudra	VER:futu	falloir
compter	VER:infi	compter
avec	PRP	avec
une	DET:ART	un
nouvelle	ADJ	nouveau
dégradation	NOM	dégradation
de	PRP	de
la	DET:ART	le
qualité	NOM	qualité
de	PRP	de
la	DET:ART	le
vie	NOM	vie
et	KON	et
rester	VER:infi	rester
encore	ADV	encore
plus	ADV	plus
vigilant	ADJ	vigilant
.	SENT	.
a	VER:pres	avoir
quoi	PRO:REL	quoi
devrons-nous	VER:cond	devrons-nous
faire	VER:infi	faire
face	NOM	face
dans	PRP	dans
l'	DET:ART	le
immédiat	NOM	immédiat
?	SENT	?
toutes	PRO:IND	tout
les	DET:ART	le
étables	NOM	étable
et	KON	et
les	DET:ART	le
outils	NOM	outil
qui	PRO:REL	qui
ont	VER:pres	avoir
eu	VER:pper	avoir
un	DET:ART	un
contact	NOM	contact
avec	PRP	avec
cette	PRO:DEM	ce
farine	NOM	farine
de	PRP	de
viande	NOM	viande
ont	VER:pres	avoir
été	VER:pper	être
infectés	VER:pper	infecter
.	SENT	.
par	PRP	par
ailleurs	ADV	ailleurs
,	PUN	,
toutes	PRO:IND	tout
les	DET:ART	le
bêtes	NOM	bête
qui	PRO:REL	qui
ont	VER:pres	avoir
vécu	VER:pper	vivre
dans	PRP	dans
ce	PRO:DEM	ce
milieu	NOM	milieu
sont	VER:pres	être
impropres	ADJ	impropre
à	PRP	à
la	DET:ART	le
consommation	NOM	consommation
.	SENT	.
les	DET:ART	le
farines	NOM	farine
de	PRP	de
viande	NOM	viande
infectées	VER:pper	infecter
ont	VER:pres	avoir
aussi	ADV	aussi
été	VER:pper	être
transformées	VER:pper	transformer
en	PRP	en
engrais	NOM	engrais
,	PUN	,
si	KON	si
bien	ADV	bien
que	KON	que
la	DET:ART	le
nature	NOM	nature
est	VER:pres	être
souillée	VER:pper	souiller
et	KON	et
peut-être	ADV	peut-être
contaminante	ADJ	contaminante
.	SENT	.
il	PRO:PER	il
est	VER:pres	être
nécessaire	ADJ	nécessaire
de	PRP	de
chauffer	VER:infi	chauffer
les	PRO:PER	la|le
prions	VER:pres	prier
à	PRP	à
130	NUM	@card@
degrés	NOM	degré
c	VER:subi	c
au	PRP:det	au
moins	ADV	moins
pour	PRP	pour
les	PRO:PER	la|le
détruire	VER:infi	détruire
.	SENT	.
(...)	NOM	(...)
pourquoi	ADV	pourquoi
pas	ADV	pas
commencer	VER:infi	commencer
par	PRP	par
se	PRO:PER	se
donner	VER:infi	donner
les	DET:ART	le
moyens	NOM	moyen
par	PRP	par
des	PRP:det	du
accords	NOM	accord
internationaux	ADJ	international
de	PRP	de
punir	VER:infi	punir
sévèrement	ADV	sévèrement
les	DET:ART	le
responsables	ADJ	responsable
,	PUN	,
puis	ADV	puis
de	PRP	de
les	PRO:PER	la|le
obliger	VER:infi	obliger
à	PRP	à
indemniser	VER:infi	indemniser
intégralement	ADV	intégralement
les	DET:ART	le
victimes	NOM	victime
,	PUN	,
notamment	ADV	notamment
dans	PRP	dans
les	DET:ART	le
plus	ADV	plus
brefs	ADJ	bref
délais	NOM	délai
?	SENT	?
«	PUN:cit	«
quand	KON	quand
le	DET:ART	le
dernier	ADJ	dernier
arbre	NOM	arbre
sera	VER:futu	être
abattu	VER:pper	abattre
,	PUN	,
la	DET:ART	le
dernière	ADJ	dernier
rivière	NOM	rivière
asséchée	VER:pper	assécher
,	PUN	,
le	DET:ART	le
dernier	ADJ	dernier
poisson	NOM	poisson
pêché	VER:pper	pêcher
,	PUN	,
l'	DET:ART	le
homme	NOM	homme
se	PRO:PER	se
rendra	VER:futu	rendre
compte	NOM	compte
que	KON	que
l'	DET:ART	le
argent	NOM	argent
n'	ADV	ne
est	VER:pres	être
pas	ADV	pas
comestible	ADJ	comestible
.	SENT	.
»	PUN:cit	»
bon	ADJ	bon
appétit	NOM	appétit
!	SENT	!
