récemment	ADV	récemment
adultes	ADJ	adulte
,	PUN	,
avec	PRP	avec
ou	KON	ou
sans	PRP	sans
prêtre	NOM	prêtre
,	PUN	,
des	PRP:det	du
groupes	NOM	groupe
liturgiques	ADJ	liturgique
,	PUN	,
les	DET:ART	le
chorales	NOM	chorale
et	KON	et
les	DET:ART	le
équipes	NOM	équipe
de	PRP	de
funérailles	NOM	funérailles
seront	VER:futu	être
aussi	ADV	aussi
présentes	ADJ	présent
au	PRP:det	au
rendez-vous	NOM	rendez-vous
.	SENT	.
de	PRP	de
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
22	NUM	@card@
h	ABR	heure
30	NUM	@card@
dans	PRP	dans
la	DET:ART	le
salle	NOM	salle
de	PRP	de
chenicourt	NOM	chenicourt
,	PUN	,
présence	NOM	présence
des	PRP:det	du
bénévoles	NOM	bénévole
des	PRP:det	du
conseils	NOM	conseil
économiques	ADJ	économique
,	PUN	,
de	PRP	de
toutes	PRO:IND	tout
les	DET:ART	le
personnes	NOM	personne
participants	ADJ	participant
à	PRP	à
la	DET:ART	le
vie	NOM	vie
matérielle	ADJ	matériel
de	PRP	de
l'	DET:ART	le
église	NOM	église
(	PUN	(
sacristie	NOM	sacristie
,	PUN	,
linge	NOM	linge
d'	PRP	de
église	NOM	église
,	PUN	,
denier	NOM	denier
du	PRP:det	du
culte	NOM	culte
,	PUN	,
calendriers	NOM	calendrier
,	PUN	,
	ADJ	
uf	NOM	uf
de	PRP	de
pâques	NOM	pâque|pâques
..).	VER:subi	..).
les	DET:ART	le
élus	NOM	élu
qui	PRO:REL	qui
ont	VER:pres	avoir
le	DET:ART	le
souci	NOM	souci
du	PRP:det	du
devenir	NOM	devenir
des	PRP:det	du
bâtiments	NOM	bâtiment
publics	ADJ	public
affectés	VER:pper	affecter
aux	PRP:det	au
paroisses	NOM	paroisse
seront	VER:futu	être
également	ADV	également
sur	PRP	sur
place	NOM	place
.	SENT	.
mercredi	NOM	mercredi
5	NUM	@card@
février	NOM	février
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
11	NUM	@card@
h	ABR	heure
30	NUM	@card@
au	PRP:det	au
presbytère	NOM	presbytère
de	PRP	de
bouxières-aux-chênes	NOM	bouxières-aux-chênes
,	PUN	,
trois	NUM	trois
thèmes	NOM	thème
de	PRP	de
discussion	NOM	discussion
ont	VER:pres	avoir
été	VER:pper	être
retenus	VER:pper	retenir
:	PUN	:
«	PUN:cit	«
l'	DET:ART	le
importance	NOM	importance
de	PRP	de
rencontrer	VER:infi	rencontrer
les	DET:ART	le
parents	NOM	parent|parents
et	KON	et
comment	ADV	comment
les	PRO:PER	la|le
intéresser	VER:infi	intéresser
à	PRP	à
la	DET:ART	le
catéchèse	NOM	catéchèse
de	PRP	de
leurs	DET:POS	leur
enfants	NOM	enfant
?	SENT	?
»	PUN:cit	»
;	PUN	;
«	PUN:cit	«
comment	ADV	comment
proposer	VER:infi	proposer
la	DET:ART	le
foi	NOM	foi
?	SENT	?
»	PUN:cit	»
;	PUN	;
«	PUN:cit	«
l'	DET:ART	le
importance	NOM	importance
des	PRP:det	du
fêtes	NOM	fête
et	KON	et
temps	NOM	temps
forts	ADJ	fort
pour	PRP	pour
permettre	VER:infi	permettre
un	DET:ART	un
lien	NOM	lien
avec	PRP	avec
la	DET:ART	le
communauté	NOM	communauté
paroissiale	ADJ	paroissial
».	VER:pper	».
de	PRP	de
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
22	NUM	@card@
h	ABR	heure
30	NUM	@card@
on	PRO:PER	on
discutera	VER:futu	discuter
du	PRP:det	du
rôle	NOM	rôle
que	PRO:REL	que
doivent	VER:pres	devoir
jouer	VER:infi	jouer
les	DET:ART	le
catéchistes	NOM	catéchiste
,	PUN	,
les	DET:ART	le
équipes	NOM	équipe
de	PRP	de
funérailles	NOM	funérailles
,	PUN	,
celles	PRO:DEM	celui
de	PRP	de
préparation	NOM	préparation
aux	PRP:det	au
mariages	NOM	mariage
et	KON	et
aux	PRP:det	au
baptêmes	NOM	baptême
,	PUN	,
dans	PRP	dans
les	DET:ART	le
relations	NOM	relation
avec	PRP	avec
les	DET:ART	le
personnes	NOM	personne
loin	ADV	loin
de	PRP	de
l'	DET:ART	le
église	NOM	église
jeudi	NOM	jeudi
6	NUM	@card@
février	NOM	février
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
17	NUM	@card@
h	ABR	heure
à	PRP	à
faulx	NOM	faulx
:	PUN	:
contacts	NOM	contact
avec	PRP	avec
les	DET:ART	le
personnes	NOM	personne
âgées	ADJ	âgé
de	PRP	de
la	DET:ART	le
vie	NOM	vie
montante	ADJ	montant
,	PUN	,
des	PRP:det	du
maisons	NOM	maison
de	PRP	de
retraite	NOM	retraite
,	PUN	,
les	DET:ART	le
visiteurs	NOM	visiteur
de	PRP	de
malades	NOM	malade
..	VER:pper	..
de	PRP	de
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
22	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
faulx	NOM	faulx
,	PUN	,
un	DET:ART	un
atelier	NOM	atelier
de	PRP	de
dialogue	NOM	dialogue
sera	VER:futu	être
tenu	VER:pper	tenir
,	PUN	,
en	PRP	en
respectant	VER:ppre	respecter
les	DET:ART	le
différences	NOM	différence
de	PRP	de
chacun	PRO:IND	chacun
,	PUN	,
avec	PRP	avec
les	DET:ART	le
personnes	NOM	personne
du	PRP:det	du
eap	NOM	eap
,	PUN	,
du	PRP:det	du
conseil	NOM	conseil
paroissial	ADJ	paroissial
et	KON	et
des	PRP:det	du
personnes	NOM	personne
relais	NOM	relais
..	VER:subi	..
vendredi	NOM	vendredi
7	NUM	@card@
février	NOM	février
de	PRP	de
20	NUM	@card@
h	ABR	heure
à	PRP	à
22	NUM	@card@
h	ABR	heure
,	PUN	,
l'	DET:ART	le
église	NOM	église
de	PRP	de
champenoux	NOM	champenoux
sera	VER:futu	être
le	DET:ART	le
théâtre	NOM	théâtre
d'	PRP	de
un	DET:ART	un
jeu	NOM	jeu
scénique	ADJ	scénique
,	PUN	,
où	PRO:REL	où
des	PRP:det	du
acteurs	NOM	acteur
jeunes	ADJ	jeune
et	KON	et
adultes	ADJ	adulte
,	PUN	,
feront	VER:futu	faire
passer	VER:infi	passer
un	DET:ART	un
message	NOM	message
en	PRO:PER	en
dialoguant	VER:ppre	dialoguer
,	PUN	,
en	PRO:PER	en
chantant	VER:ppre	chanter
et	KON	et
en	PRP	en
dansant	VER:ppre	danser
.	SENT	.
samedi	NOM	samedi
8	NUM	@card@
février	NOM	février
de	PRP	de
14	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
17	NUM	@card@
h	ABR	heure
,	PUN	,
dans	PRP	dans
la	DET:ART	le
salle	NOM	salle
de	PRP	de
bouxières-aux-chênes	NOM	bouxières-aux-chênes
,	PUN	,
rendez-vous	NOM	rendez-vous
avec	PRP	avec
les	DET:ART	le
jeunes	NOM	jeune
«	PUN:cit	«
en	PRP	en
mouvement	NOM	mouvement
»,	ADJ	»,
en	PRP	en
association	NOM	association
ou	KON	ou
non	ADV	non
avec	PRP	avec
les	DET:ART	le
responsables	ADJ	responsable
de	PRP	de
groupes	NOM	groupe
de	PRP	de
jeunes	NOM	jeune
et	KON	et
des	PRP:det	du
élus	NOM	élu
.	SENT	.
ce	PRO:DEM	ce
sera	VER:futu	être
l'	DET:ART	le
occasion	NOM	occasion
d'	PRP	de
un	DET:ART	un
débat	NOM	débat
basé	VER:pper	baser
sur	PRP	sur
l'	DET:ART	le
expression	NOM	expression
et	KON	et
l'	DET:ART	le
écoute	NOM	écoute
.	SENT	.
de	PRP	de
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
22	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
la	DET:ART	le
salle	NOM	salle
de	PRP	de
bouxières-aux-chênes	NOM	bouxières-aux-chênes
:	PUN	:
présentation	NOM	présentation
du	PRP:det	du
doyenné	NOM	doyenné
et	KON	et
regard	NOM	regard
sur	PRP	sur
le	DET:ART	le
dynamisme	NOM	dynamisme
avec	PRP	avec
les	DET:ART	le
élus	NOM	élu
,	PUN	,
les	DET:ART	le
actions	NOM	action
catholiques	ADJ	catholique
,	PUN	,
les	DET:ART	le
groupes	NOM	groupe
de	PRP	de
solidarité	NOM	solidarité
(	PUN	(
ccfd	VER:pper	ccfd
,	PUN	,
secours	NOM	secours
catholique	ADJ	catholique
,	PUN	,
epab	NOM	epab
,	PUN	,
ccas	NOM	ccas
,	PUN	,
pax	NOM	pax
christi	VER:pper	christi
et	KON	et
l'	DET:ART	le
admr	NOM	admr
).	ABR	).
dimanche	NOM	dimanche
9	NUM	@card@
février	NOM	février
,	PUN	,
à	PRP	à
10	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
,	PUN	,
l'	DET:ART	le
église	NOM	église
de	PRP	de
leyr	NOM	leyr
,	PUN	,
célébration	NOM	célébration
eucharistique	ADJ	eucharistique
.	SENT	.
