mardi	NOM	mardi
conseillées	VER:pper	conseiller
.	SENT	.
10	NUM	@card@
km	ABR	kilomètre
,	PUN	,
durée	VER:pper	durer
2	NUM	@card@
h	ABR	heure
45	NUM	@card@
départ	NOM	départ
à	PRP	à
13	NUM	@card@
h	ABR	heure
15	NUM	@card@
animateur	NOM	animateur
:	PUN	:
dominique	ADJ	dominique
,	PUN	,
03.83	NUM	@card@
.	SENT	.
44.37	NUM	@card@
.	SENT	.
25	NUM	@card@
a	VER:pres	avoir
16	NUM	@card@
h	ABR	heure
,	PUN	,
en	PRP	en
l'	DET:ART	le
église	NOM	église
saint-livier	ADJ	saint-livier
,	PUN	,
concert	NOM	concert
du	PRP:det	du
nouvel	ADJ	nouveau
an	NOM	an
avec	PRP	avec
l'	DET:ART	le
orchestre	NOM	orchestre
instrumental	ADJ	instrumental
de	PRP	de
lorraine-saint-max	NOM	lorraine-saint-max
,	PUN	,
proposé	VER:pper	proposer
par	PRP	par
la	DET:ART	le
municipalité	NOM	municipalité
et	KON	et
l'	DET:ART	le
association	NOM	association
des	PRP:det	du
amis	NOM	ami
de	PRP	de
l'	DET:ART	le
orgue	NOM	orgue
.	SENT	.
entrée	NOM	entrée
libre	ADJ	libre
.	SENT	.
