germiny	NOM	germiny
.	SENT	.
pris	VER:pper	prendre
en	PRP	en
charge	NOM	charge
par	PRP	par
les	DET:ART	le
sapeurs-pompiers	NOM	sapeurs-pompiers
,	PUN	,
il	PRO:PER	il
a	VER:pres	avoir
été	VER:pper	être
dirigé	VER:pper	diriger
vers	PRP	vers
le	DET:ART	le
centre	NOM	centre
hospitalier	ADJ	hospitalier
.	SENT	.
la	DET:ART	le
police	NOM	police
était	VER:impf	être
sur	PRP	sur
les	DET:ART	le
lieux	NOM	lieu
pour	PRP	pour
effectuer	VER:infi	effectuer
le	DET:ART	le
constat	NOM	constat
d'	PRP	de
usage	NOM	usage
.	SENT	.
incendie	NOM	incendie
dans	PRP	dans
une	DET:ART	un
cave	ADJ	cave
mercredi	NOM	mercredi
en	PRP	en
fin	NOM	fin
d'	PRP	de
après-midi	NOM	après-midi
,	PUN	,
peu	ADV	peu
avant	PRP	avant
17	NUM	@card@
h	ABR	heure
,	PUN	,
un	DET:ART	un
incendie	NOM	incendie
a	VER:pres	avoir
pris	VER:pper	prendre
naissance	NOM	naissance
dans	PRP	dans
une	DET:ART	un
cave	NOM	cave
,	PUN	,
dans	PRP	dans
un	DET:ART	un
immeuble	NOM	immeuble
du	PRP:det	du
115	NUM	@card@
rue	NOM	rue
jeanne-d'arc	NOM	jeanne-d'arc
.	SENT	.
sur	PRP	sur
place	NOM	place
,	PUN	,
les	DET:ART	le
sapeurs-pompiers	NOM	sapeurs-pompiers
,	PUN	,
équipés	VER:pper	équiper
d'	PRP	de
appareils	NOM	appareil
respiratoires	ADJ	respiratoire
,	PUN	,
ont	VER:pres	avoir
mis	VER:pper	mettre
une	DET:ART	un
petite	ADJ	petit
lance	NOM	lance
en	PRP	en
man	NOM	man
	ADJ	
uvre	NOM	uvre
afin	KON	afin
de	PRP	de
maîtriser	VER:infi	maîtriser
le	DET:ART	le
sinistre	NOM	sinistre
dont	PRO:REL	dont
l'	DET:ART	le
origine	NOM	origine
reste	VER:pres	rester
indéterminée	VER:pper	indéterminer
.	SENT	.
tout	ADV	tout
est	VER:pres	être
ensuite	ADV	ensuite
rentré	VER:pper	rentrer
dans	PRP	dans
l'	DET:ART	le
ordre	NOM	ordre
après	PRP	après
une	DET:ART	un
ventilation	NOM	ventilation
des	PRP:det	du
locaux	NOM	local
.	SENT	.
vand	ADJ	vand
	NOM	
uvre	NOM	uvre
début	NOM	début
d'	PRP	de
incendie	NOM	incendie
dans	PRP	dans
un	DET:ART	un
appartement	NOM	appartement
mercredi	NOM	mercredi
après-midi	NOM	après-midi
,	PUN	,
vers	PRP	vers
14	NUM	@card@
h	ABR	heure
30	NUM	@card@
les	DET:ART	le
sapeurs-pompiers	NOM	sapeurs-pompiers
se	PRO:PER	se
sont	VER:pres	être
rendus	VER:pper	rendre
au	PRP:det	au
125	NUM	@card@
avenue	NOM	avenue
du	PRP:det	du
général-leclerc	NOM	général-leclerc
pour	PRP	pour
un	DET:ART	un
début	NOM	début
d'	PRP	de
incendie	NOM	incendie
dans	PRP	dans
un	DET:ART	un
appartement	NOM	appartement
.	SENT	.
a	VER:pres	avoir
leur	DET:POS	leur
arrivée	NOM	arrivé|arrivée
,	PUN	,
le	DET:ART	le
sinistre	NOM	sinistre
avait	VER:impf	avoir
été	VER:pper	être
maîtrisé	VER:pper	maîtriser
par	PRP	par
le	DET:ART	le
propriétaire	NOM	propriétaire
des	PRP:det	du
lieux	NOM	lieu
.	SENT	.
les	DET:ART	le
soldats	NOM	soldat
du	PRP:det	du
feu	NOM	feu
ont	VER:pres	avoir
néanmoins	ADV	néanmoins
parachevé	VER:pper	parachever
l'	DET:ART	le
extinction	NOM	extinction
et	KON	et
ventilé	VER:pper	ventiler
les	DET:ART	le
locaux	NOM	local
.	SENT	.
maron	NOM	maron
chaussée	VER:pper	chausser
glissante	ADJ	glissant
mercredi	NOM	mercredi
,	PUN	,
en	PRP	en
milieu	NOM	milieu
de	PRP	de
matinée	NOM	matinée
,	PUN	,
sur	PRP	sur
les	DET:ART	le
coups	NOM	coup
de	PRP	de
10	NUM	@card@
h	ABR	heure
30	NUM	@card@
deux	NUM	deux
automobilistes	NOM	automobiliste
ont	VER:pres	avoir
été	VER:pper	être
victimes	NOM	victime
de	PRP	de
la	DET:ART	le
chaussée	NOM	chaussée
glissante	ADJ	glissant
sur	PRP	sur
la	DET:ART	le
rd	NOM	rd
92	NUM	@card@
alors	KON	alors
qu'	KON	que
ils	PRO:PER	il
se	PRO:PER	se
dirigeaient	VER:impf	diriger
vers	PRP	vers
villers-lès-nancy	NOM	villers-lès-nancy
.	SENT	.
fort	ADV	fort
heureusement	ADV	heureusement
,	PUN	,
tous	PRO:IND	tout
deux	NUM	deux
s'	KON	si
en	PRO:PER	en
tirent	VER:pres	tirer
sans	PRP	sans
égratignures	NOM	égratignure
,	PUN	,
seuls	ADJ	seul
des	PRP:det	du
dégâts	NOM	dégât
matériels	ADJ	matériel
ont	VER:pres	avoir
été	VER:pper	être
constatés	VER:pper	constater
par	PRP	par
les	DET:ART	le
sapeurs-pompiers	NOM	sapeurs-pompiers
appelés	VER:pper	appeler
à	PRP	à
la	DET:ART	le
rescousse	NOM	rescousse
.	SENT	.
laxou	NOM	laxou
piéton	ADJ	piéton
renversé	VER:pper	renverser
mercredi	NOM	mercredi
après-midi	NOM	après-midi
,	PUN	,
vers	PRP	vers
14	NUM	@card@
h	ABR	heure
30	NUM	@card@
un	DET:ART	un
piéton	NOM	piéton
a	VER:pres	avoir
été	VER:pper	être
renversé	VER:pper	renverser
par	PRP	par
une	DET:ART	un
voiture	NOM	voiture
à	PRP	à
l'	DET:ART	le
angle	NOM	angle
des	PRP:det	du
rues	NOM	rue
paul-déroulède	ADJ	paul-déroulède
et	KON	et
paul-choné	ADJ	paul-choné
.	SENT	.
légèrement	ADV	légèrement
blessé	VER:pper	blesser
,	PUN	,
il	PRO:PER	il
a	VER:pres	avoir
été	VER:pper	être
pris	VER:pper	prendre
en	PRP	en
charge	NOM	charge
par	PRP	par
les	DET:ART	le
sapeurs-pompiers	NOM	sapeurs-pompiers
et	KON	et
dirigé	VER:pper	diriger
vers	PRP	vers
le	DET:ART	le
centre	NOM	centre
hospitalier	ADJ	hospitalier
.	SENT	.
