chaque	PRO:IND	chaque
de	PRP	de
savoir	VER:infi	savoir
comment	ADV	comment
la	DET:ART	le
bière	NOM	bière
se	PRO:PER	se
fabrique	VER:pres	fabriquer
».	VER:pper	».
il	PRO:PER	il
n'	ADV	ne
y	PRO:PER	y
a	VER:pres	avoir
pas	ADV	pas
meilleure	ADJ	meilleur
école	NOM	école
que	KON	que
le	DET:ART	le
musée	NOM	musée
pour	KON	pour
en	PRP	en
savoir	VER:infi	savoir
plus	ADV	plus
sur	PRP	sur
l'	DET:ART	le
élaboration	NOM	élaboration
de	PRP	de
ce	PRO:DEM	ce
breuvage	NOM	breuvage
.	SENT	.
attentive	ADJ	attentif
également	ADV	également
à	PRP	à
cette	PRO:DEM	ce
«	PUN:cit	«
séance	NOM	séance
»,	ADJ	»,
mélanie	NOM	mélanie
roux	ADJ	roux
,	PUN	,
la	DET:ART	le
nouvelle	ADJ	nouveau
emploi-jeune	NOM	emploi-jeune
.	SENT	.
stéphane	ADJ	stéphane
herment	NOM	herment
a	VER:pres	avoir
expliqué	VER:pper	expliquer
les	DET:ART	le
différentes	ADJ	différent
étapes	NOM	étape
de	PRP	de
la	DET:ART	le
fabrication	NOM	fabrication
qui	PRO:REL	qui
nécessite	VER:pres	nécessiter
une	DET:ART	un
attention	NOM	attention
soutenue	VER:pper	soutenir
et	KON	et
dont	PRO:REL	dont
le	DET:ART	le
compte-rendu	NOM	compte-rendu
est	VER:pres	être
scrupuleusement	ADV	scrupuleusement
détaillé	VER:pper	détailler
sur	PRP	sur
une	DET:ART	un
fiche	NOM	fiche
spéciale	ADJ	spécial
.	SENT	.
les	DET:ART	le
élèves	NOM	élève
de	PRP	de
1	NUM	@card@
è	NOM	è
re	VER:subi	re
s	VER:pper	s
de	PRP	de
loritz	NAM	loritz
n'	ADV	ne
ont	VER:pres	avoir
pas	ADV	pas
perdu	VER:pper	perdre
leur	DET:POS	leur
dimanche	NOM	dimanche
matin	NOM	matin
car	KON	car
ils	PRO:PER	il
ont	VER:pres	avoir
pu	VER:pper	pouvoir
se	PRO:PER	se
documenter	VER:infi	documenter
sur	PRP	sur
la	DET:ART	le
fabrication	NOM	fabrication
de	PRP	de
la	DET:ART	le
bière	NOM	bière
et	KON	et
prendre	VER:infi	prendre
des	PRP:det	du
photos	NOM	photo
pour	PRP	pour
illustrer	VER:infi	illustrer
leur	DET:POS	leur
devoir	NOM	devoir
pratique	ADJ	pratique
.	SENT	.
a	VER:pres	avoir
noter	VER:infi	noter
que	KON	que
le	DET:ART	le
musée	NOM	musée
français	ADJ	français
de	PRP	de
la	DET:ART	le
brasserie	NOM	brasserie
organise	VER:pres	organiser
les	DET:ART	le
22	NUM	@card@
et	KON	et
23	NUM	@card@
février	NOM	février
au	PRP:det	au
complexe	NOM	complexe
sportif	ADJ	sportif
de	PRP	de
saint-nicolas-de-port	NOM	saint-nicolas-de-port
,	PUN	,
son	DET:POS	son
cinquième	ADJ	cinquième
salon	NOM	salon
du	PRP:det	du
brasseur	NOM	brasseur
artisan	ADJ	artisan
et	KON	et
amateur	NOM	amateur
.	SENT	.
présentation	NOM	présentation
de	PRP	de
matériel	NOM	matériel
,	PUN	,
démonstrations	NOM	démonstration
,	PUN	,
rencontres	NOM	rencontre
et	KON	et
conférences	NOM	conférence
constitueront	VER:futu	constituer
les	DET:ART	le
points	NOM	point
forts	ADJ	fort
de	PRP	de
cette	PRO:DEM	ce
manifestation	NOM	manifestation
qui	PRO:REL	qui
réunit	VER:pres	réunir
les	DET:ART	le
personnes	NOM	personne
qui	PRO:REL	qui
s'	PRO:PER	se
intéressent	VER:pres	intéresser
au	PRP:det	au
brassage	NOM	brassage
en	PRP	en
petite	ADJ	petit
quantité	NOM	quantité
.	SENT	.
entrée	NOM	entrée
:	PUN	:
5	NUM	@card@
euros	NOM	euro
.	SENT	.
