metz	ABR	metz
avril	NOM	avril
2001	NUM	@card@
en	PRP	en
raison	NOM	raison
d'	PRP	de
informations	NOM	information
faisant	VER:ppre	faire
état	NOM	état
de	PRP	de
la	DET:ART	le
présence	NOM	présence
du	PRP:det	du
tueur	NOM	tueur
en	PRP	en
série	NOM	série
francis	VER:simp	francis
heaulme	NOM	heaulme
à	PRP	à
montigny-les-metz	NAM	montigny-les-metz
,	PUN	,
le	DET:ART	le
jour	NOM	jour
du	PRP:det	du
double	ADJ	double
meurtre	NOM	meurtre
.	SENT	.
patrick	NOM	patrick
dils	NOM	dils
a	VER:pres	avoir
ensuite	ADV	ensuite
été	VER:pper	être
à	PRP	à
nouveau	ADJ	nouveau
condamné	VER:pper	condamner
pour	PRP	pour
ces	PRO:DEM	ce
même	ADJ	même
faits	NOM	fait
à	PRP	à
25	NUM	@card@
ans	NOM	an
de	PRP	de
réclusion	NOM	réclusion
en	PRP	en
2001	NUM	@card@
puis	ADV	puis
acquitté	VER:pper	acquitter
le	DET:ART	le
24	NUM	@card@
avril	NOM	avril
dernier	ADJ	dernier
à	PRP	à
l'	DET:ART	le
issue	NOM	issue
d'	PRP	de
un	DET:ART	un
troisième	NUM	troisième
procès	NOM	procès
.	SENT	.
