lors	ADV	lors
les	DET:ART	le
dépenses	NOM	dépense
et	KON	et
les	DET:ART	le
recettes	NOM	recette
.	SENT	.
c'	PRO:DEM	ce
est	VER:pres	être
une	DET:ART	un
opération	NOM	opération
blanche	ADJ	blanc
pour	PRP	pour
la	DET:ART	le
ccrd	NOM	ccrd
.	SENT	.
les	DET:ART	le
dépenses	NOM	dépense
sont	VER:pres	être
composées	VER:pper	composer
des	PRP:det	du
factures	NOM	facture
de	PRP	de
la	DET:ART	le
société	NOM	société
qui	PRO:REL	qui
collecte	VER:pres	collecter
les	DET:ART	le
déchets	NOM	déchet
.	SENT	.
dans	PRP	dans
les	DET:ART	le
recettes	NOM	recette
on	PRO:PER	on
retrouve	VER:pres	retrouver
les	DET:ART	le
subventions	NOM	subvention
pour	PRP	pour
les	DET:ART	le
matières	NOM	matière
triées	ADJ	trié
et	KON	et
valorisées	VER:pper	valoriser
,	PUN	,
le	DET:ART	le
produit	NOM	produit
de	PRP	de
la	DET:ART	le
vente	NOM	vente
des	PRP:det	du
matières	NOM	matière
triées	VER:pper	trier
et	KON	et
le	DET:ART	le
produit	NOM	produit
de	PRP	de
la	DET:ART	le
redevance	NOM	redevance
ordures	NOM	ordure
ménagères	ADJ	ménager
.	SENT	.
afin	KON	afin
d'	PRP	de
équilibrer	VER:infi	équilibrer
le	DET:ART	le
budget	NOM	budget
,	PUN	,
les	DET:ART	le
élus	NOM	élu
de	PRP	de
la	DET:ART	le
ccrd	NOM	ccrd
ont	VER:pres	avoir
réévalué	VER:pper	réévaluer
le	DET:ART	le
montant	NOM	montant
de	PRP	de
la	DET:ART	le
redevance	NOM	redevance
ordures	NOM	ordure
ménagères	ADJ	ménager
.	SENT	.
ainsi	ADV	ainsi
,	PUN	,
l'	DET:ART	le
augmentation	NOM	augmentation
en	PRP	en
2003	NUM	@card@
de	PRP	de
la	DET:ART	le
facture	NOM	facture
sera	VER:futu	être
d'	PRP	de
environ	ADV	environ
50	NUM	@card@
%.	ABR	%.
l'	DET:ART	le
augmentation	NOM	augmentation
de	PRP	de
cette	PRO:DEM	ce
facture	NOM	facture
résulte	VER:pres	résulter
avant	PRP	avant
tout	PRO:IND	tout
de	PRP	de
l'	DET:ART	le
augmentation	NOM	augmentation
de	PRP	de
la	DET:ART	le
production	NOM	production
d'	PRP	de
ordures	NOM	ordure
ménagères	ADJ	ménager
et	KON	et
de	PRP	de
leur	DET:POS	leur
coût	NOM	coût
de	PRP	de
traitement	NOM	traitement
en	PRP	en
décharge	NOM	décharge
.	SENT	.
il	PRO:PER	il
ne	ADV	ne
provient	VER:pres	provenir
en	PRP	en
aucun	PRO:IND	aucun
cas	NOM	cas
de	PRP	de
la	DET:ART	le
collecte	NOM	collecte
sélective	ADJ	sélectif
.	SENT	.
il	PRO:PER	il
faut	VER:pres	falloir
noter	VER:infi	noter
que	KON	que
les	DET:ART	le
prix	NOM	prix
pratiqués	VER:pper	pratiquer
par	PRP	par
les	DET:ART	le
entreprises	NOM	entreprise
pour	PRP	pour
la	DET:ART	le
collecte	NOM	collecte
et	KON	et
le	DET:ART	le
traitement	NOM	traitement
des	PRP:det	du
déchets	NOM	déchet
ménagers	ADJ	ménager
sont	VER:pres	être
dans	PRP	dans
la	DET:ART	le
moyenne	NOM	moyenne
des	PRP:det	du
tarifs	NOM	tarif
pratiqués	VER:pper	pratiquer
sur	PRP	sur
le	DET:ART	le
département	NOM	département
de	PRP	de
la	DET:ART	le
meuse	NOM	meuse
;	PUN	;
il	PRO:PER	il
en	PRO:PER	en
est	VER:pres	être
de	PRP	de
même	ADV	même
pour	PRP	pour
le	DET:ART	le
montant	NOM	montant
de	PRP	de
la	DET:ART	le
redevance	NOM	redevance
des	PRP:det	du
ordures	NOM	ordure
ménagères	ADJ	ménager
2003	NUM	@card@
il	PRO:PER	il
est	VER:pres	être
très	ADV	très
important	ADJ	important
de	PRP	de
continuer	VER:infi	continuer
le	DET:ART	le
tri	NOM	tri
des	PRP:det	du
emballages	NOM	emballage
ménagers	ADJ	ménager
,	PUN	,
afin	KON	afin
de	PRP	de
diminuer	VER:infi	diminuer
le	DET:ART	le
volume	NOM	volume
de	PRP	de
la	DET:ART	le
poubelle	NOM	poubelle
et	KON	et
donc	ADV	donc
de	PRP	de
limiter	VER:infi	limiter
le	DET:ART	le
coût	NOM	coût
de	PRP	de
traitement	NOM	traitement
.	SENT	.
