mardi	NOM	mardi
30	NUM	@card@
club	NOM	club
des	PRP:det	du
loisirs	NOM	loisir
créatifs	ADJ	créatif
:	PUN	:
de	PRP	de
13	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
16	NUM	@card@
h	ABR	heure
30	NUM	@card@
salle	NOM	salle
des	PRP:det	du
anciens	NOM	ancien
.	SENT	.
permanence	NOM	permanence
du	PRP:det	du
maire	NOM	maire
et	KON	et
des	PRP:det	du
adjoints	NOM	adjoint
:	PUN	:
de	PRP	de
18	NUM	@card@
h	ABR	heure
à	PRP	à
19	NUM	@card@
h	ABR	heure
,	PUN	,
en	PRP	en
mairie	NOM	mairie
.	SENT	.
samedi	NOM	samedi
8	NUM	@card@
:	PUN	:
section	NOM	section
cyclosportive	ADJ	cyclosportive
:	PUN	:
réunion	NOM	réunion
du	PRP:det	du
début	NOM	début
de	PRP	de
saison	NOM	saison
,	PUN	,
à	PRP	à
16	NUM	@card@
h	ABR	heure
30	NUM	@card@
salle	NOM	salle
marcel	ADJ	marcel
richard	NOM	richard
.	SENT	.
loto	NOM	loto
des	PRP:det	du
coopératives	NOM	coopérative
scolaires	ADJ	scolaire
de	PRP	de
brû	NOM	brû
,	PUN	,
saint-benoit	NOM	saint-benoit
:	PUN	:
à	PRP	à
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
salle	NOM	salle
polyvalente	ADJ	polyvalent
de	PRP	de
brû	NOM	brû
.	SENT	.
vente	NOM	vente
des	PRP:det	du
cartons	NOM	carton
dès	PRP	dès
20	NUM	@card@
h.	ABR	h.
dimanche	NOM	dimanche
9	NUM	@card@
:	PUN	:
messe	NOM	messe
à	PRP	à
10	NUM	@card@
h	ABR	heure
30	NUM	@card@
en	PRP	en
l'	DET:ART	le
église	NOM	église
de	PRP	de
saint-benoit-la-chipotte	NOM	saint-benoit-la-chipotte
.	SENT	.
