vendredi	NOM	vendredi
«	PUN:cit	«
fenêtres	NOM	fenêtre
ou	KON	ou
murs	NOM	mur
»	PUN:cit	»
:	PUN	:
1	NUM	@card@
e	NOM	e
r	VER:subi	r
prix	NOM	prix
:	PUN	:
m.	ABR	m.
et	KON	et
mme	VER:subi	mme
eddy	NOM	eddy
pouget	ADJ	pouget
;	PUN	;
2	NUM	@card@
è	NOM	è
me	PRO:PER	me
prix	NOM	prix
:	PUN	:
m.	ABR	m.
et	KON	et
mme	VER:subi	mme
roger	VER:infi	roger
pilati	NOM	pilati
.	SENT	.
catégorie	NOM	catégorie
«	PUN:cit	«
maisons	NOM	maison
et	KON	et
jardins	NOM	jardin
»	PUN:cit	»
:	PUN	:
1	NUM	@card@
e	NOM	e
r	VER:subi	r
prix	NOM	prix
:	PUN	:
m.	ABR	m.
et	KON	et
mme	VER:subi	mme
daniel	ADJ	daniel
woehrlé	NOM	woehrlé
;	PUN	;
2	NUM	@card@
è	NOM	è
me	PRO:PER	me
prix	NOM	prix
:	PUN	:
mme	VER:simp	mme
danielle	ADJ	danielle
bagard	NOM	bagard
.	SENT	.
catégorie	NOM	catégorie
«	PUN:cit	«
balcons	NOM	balcon
et	KON	et
terrasses	NOM	terrasse
»	PUN:cit	»
:	PUN	:
1	NUM	@card@
e	NOM	e
r	VER:subi	r
pris	VER:pper	prendre
:	PUN	:
m.	ABR	m.
et	KON	et
mme	VER:subi	mme
roland	ADJ	roland
heidet	NOM	heidet
;	PUN	;
2	NUM	@card@
è	NOM	è
me	PRO:PER	me
prix	NOM	prix
:	PUN	:
m.	ABR	m.
et	KON	et
mme	VER:subi	mme
vincent	NOM	vincent
caccamo	ADJ	caccamo
.	SENT	.
décors	NOM	décor
de	PRP	de
noël	NOM	noël
.	SENT	.
catégorie	NOM	catégorie
«	PUN:cit	«
appartements	NOM	appartement
»	PUN:cit	»
:	PUN	:
1	NUM	@card@
e	NOM	e
r	VER:subi	r
prix	NOM	prix
:	PUN	:
m.	ABR	m.
et	KON	et
mme	VER:subi	mme
eddy	NOM	eddy
pouget	ADJ	pouget
;	PUN	;
2	NUM	@card@
è	NOM	è
me	PRO:PER	me
prix	NOM	prix
:	PUN	:
m.	ABR	m.
et	KON	et
mme	VER:subi	mme
jean-pierre	NOM	jean-pierre
thomas	NOM	thomas
.	SENT	.
catégorie	NOM	catégorie
«	PUN:cit	«
maisons	NOM	maison
»	PUN:cit	»
:	PUN	:
1	NUM	@card@
e	NOM	e
r	VER:subi	r
prix	NOM	prix
:	PUN	:
m.	ABR	m.
et	KON	et
mme	VER:subi	mme
roger	VER:infi	roger
pilati	NOM	pilati
;	PUN	;
2	NUM	@card@
è	NOM	è
me	PRO:PER	me
prix	NOM	prix
:	PUN	:
m.	ABR	m.
et	KON	et
mme	VER:subi	mme
bernard	NOM	bernard
joss	NOM	joss
.	SENT	.
catégorie	NOM	catégorie
«	PUN:cit	«
commerces	NOM	commerce
»	PUN:cit	»
:	PUN	:
1	NUM	@card@
e	NOM	e
r	VER:subi	r
prix	NOM	prix
:	PUN	:
m.	ABR	m.
et	KON	et
mme	VER:subi	mme
olivier	NOM	olivier
peureux	ADJ	peureux
,	PUN	,
salon	NOM	salon
de	PRP	de
coiffure	NOM	coiffure
nouvellement	ADV	nouvellement
installé	VER:pper	installer
à	PRP	à
cravanche	NOM	cravanche
;	PUN	;
2	NUM	@card@
è	NOM	è
me	PRO:PER	me
prix	NOM	prix
:	PUN	:
mme	VER:simp	mme
roselyne	ADJ	roselyne
lejeune	NOM	lejeune
pour	PRP	pour
l'	DET:ART	le
agence	NOM	agence
postale	ADJ	postal
.	SENT	.
le	DET:ART	le
jury	NOM	jury
,	PUN	,
était	VER:impf	être
composé	VER:pper	composer
de	PRP	de
michèle	NOM	michèle
gustin	ADJ	gustin
,	PUN	,
bernadette	NOM	bernadette
gay	ADJ	gay
,	PUN	,
sylvaine	ADJ	sylvaine
girardey	NOM	girardey
,	PUN	,
christiane	NOM	christiane
huttges	ADJ	huttges
,	PUN	,
claudine	NOM	claudine
magni	ADJ	magni
,	PUN	,
michèle	NOM	michèle
pilet	NOM	pilet
et	KON	et
sylviane	NOM	sylviane
ruer	VER:infi	ruer
.	SENT	.
