m.	ABR	m.
société	NOM	société
moderne	ADJ	moderne
...	PUN	...
et	KON	et
cette	PRO:DEM	ce
production	NOM	production
familiale	ADJ	familial
d'	PRP	de
alcool	NOM	alcool
blanc	ADJ	blanc
ne	ADV	ne
concerne	VER:pres	concerner
que	ADV	que
0,14 %	NUM	@card@
de	PRP	de
la	DET:ART	le
consommation	NOM	consommation
nationale	ADJ	national
qui	PRO:REL	qui
,	PUN	,
par	PRP	par
ailleurs	ADV	ailleurs
,	PUN	,
consomme	VER:pres	consommer
154	NUM	@card@
millions	NOM	million
de	PRP	de
bouteilles	NOM	bouteille
de	PRP	de
whisky	NOM	whisky
tous	PRO:IND	tout
les	DET:ART	le
ans	NOM	an
...	PUN	...
il	PRO:PER	il
est	VER:pres	être
donc	ADV	donc
particulièrement	ADV	particulièrement
risible	ADJ	risible
d'	PRP	de
entendre	VER:infi	entendre
des	PRP:det	du
médecins	NOM	médecin
et	KON	et
des	PRP:det	du
journalistes	NOM	journaliste
déclarer	VER:infi	déclarer
que	KON	que
l'	DET:ART	le
abaissement	NOM	abaissement
des	PRP:det	du
taxes	NOM	taxe
sur	PRP	sur
la	DET:ART	le
production	NOM	production
d'	PRP	de
alcool	NOM	alcool
blanc	ADJ	blanc
est	VER:pres	être
une	DET:ART	un
incitation	NOM	incitation
à	PRP	à
l'	DET:ART	le
alcoolisme	NOM	alcoolisme
...	PUN	...
leurs	DET:POS	leur
discours	NOM	discours
rejoignent	VER:pres	rejoindre
bizarrement	ADV	bizarrement
ceux	PRO:DEM	celui
des	PRP:det	du
distillateurs	NOM	distillateur
industriels	ADJ	industriel
qui	PRO:REL	qui
ont	VER:pres	avoir
continuellement	ADV	continuellement
fait	VER:pper	faire
pression	NOM	pression
sur	PRP	sur
les	DET:ART	le
différents	ADJ	différent
gouvernements	NOM	gouvernement
français	ADJ	français
pour	PRP	pour
faire	VER:infi	faire
disparaître	VER:infi	disparaître
la	DET:ART	le
production	NOM	production
familiale	ADJ	familial
afin	KON	afin
d'	PRP	de
écraser	VER:infi	écraser
les	DET:ART	le
consommateurs	NOM	consommateur
par	PRP	par
leurs	DET:POS	leur
monopoles	NOM	monopole
.	SENT	.
si	KON	si
quelqu'un	PRO:IND	quelqu'un
désire	VER:pres	désirer
se	PRO:PER	se
procurer	VER:infi	procurer
de	PRP	de
l'	DET:ART	le
alcool	NOM	alcool
en	PRP	en
grande	ADJ	grand
quantité	NOM	quantité
et	KON	et
pour	PRP	pour
des	PRP:det	du
sommes	NOM	somme
parfois	ADV	parfois
modiques	ADJ	modique
,	PUN	,
il	PRO:PER	il
lui	PRO:PER	lui
suffit	VER:pres	suffire
de	PRP	de
se	PRO:PER	se
rendre	VER:infi	rendre
dans	PRP	dans
un	DET:ART	un
supermarché	NOM	supermarché
ou	KON	ou
un	DET:ART	un
commerce	NOM	commerce
de	PRP	de
proximité	NOM	proximité
où	PRO:REL	où
il	PRO:PER	il
trouvera	VER:futu	trouver
des	PRP:det	du
alcools	NOM	alcool
de	PRP	de
tout	PRO:IND	tout
pays	NOM	pays
à	PRP	à
tous	PRO:IND	tout
les	DET:ART	le
degrés	NOM	degré
.	SENT	.
c'	PRO:DEM	ce
est	VER:pres	être
pourquoi	ADV	pourquoi
il	PRO:PER	il
ne	ADV	ne
faut	VER:pres	falloir
pas	ADV	pas
se	PRO:PER	se
tromper	VER:infi	tromper
de	PRP	de
combat	NOM	combat
et	KON	et
cesser	VER:infi	cesser
d'	PRP	de
être	VER:infi	être
hypocrite	ADJ	hypocrite
devant	PRP	devant
une	DET:ART	un
réforme	NOM	réforme
qui	PRO:REL	qui
permettra	VER:futu	permettre
également	ADV	également
de	PRP	de
limiter	VER:infi	limiter
considérablement	ADV	considérablement
la	DET:ART	le
fraude	NOM	fraude
et	KON	et
la	DET:ART	le
distillation	NOM	distillation
clandestine	ADJ	clandestin
qui	PRO:REL	qui
s'	PRO:PER	se
étaient	VER:impf	être
considérablement	ADV	considérablement
développées	VER:pper	développer
ces	PRO:DEM	ce
dernières	ADJ	dernier
années	NOM	année
.	SENT	.
