arraye-et-han	NOM	arraye-et-han
les	DET:ART	le
treize	NUM	treize
16	NUM	@card@
.	ABR	.
sur	PRP	sur
place	NOM	place
buvette	NOM	buvette
,	PUN	,
sandwichs	NOM	sandwich
et	KON	et
pâtisseries	NOM	pâtisserie
.	SENT	.
martincourt	NOM	martincourt
:	PUN	:
-	PUN	-
repas	NOM	repas
d'	PRP	de
antan	NOM	antan
à	PRP	à
la	DET:ART	le
ferme-auberge	NOM	ferme-auberge
de	PRP	de
la	DET:ART	le
petite-suisse	NOM	petite-suisse
,	PUN	,
chez	PRP	chez
marie-christine	NOM	marie-christine
et	KON	et
bernard	NOM	bernard
george	ADJ	george
,	PUN	,
dimanche	NOM	dimanche
à	PRP	à
midi	NOM	midi
.	SENT	.
au	PRP:det	au
menu	NOM	menu
:	PUN	:
navarin	NOM	navarin
d'	PRP	de
agneau	NOM	agneau
.	SENT	.
réservation	NOM	réservation
indispensable	ADJ	indispensable
au	PRP:det	au
03.83	NUM	@card@
.	SENT	.
23.10	NUM	@card@
.	SENT	.
70	NUM	@card@
pont-a-mousson	NOM	pont-a-mousson
:	PUN	:
-	PUN	-
heure	NOM	heure
du	PRP:det	du
conte	NOM	conte
à	PRP	à
la	DET:ART	le
médiathèque	NOM	médiathèque
samedi	NOM	samedi
de	PRP	de
10	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
11	NUM	@card@
h	ABR	heure
pour	PRP	pour
les	DET:ART	le
3	NUM	@card@
-	PUN	-
4	NUM	@card@
ans	NOM	an
et	KON	et
de	PRP	de
11	NUM	@card@
h	ABR	heure
à	PRP	à
11	NUM	@card@
h	ABR	heure
30	NUM	@card@
pour	PRP	pour
les	DET:ART	le
5	NUM	@card@
-	PUN	-
8	NUM	@card@
ans	NOM	an
.	SENT	.
-	PUN	-
«	PUN:cit	«
plaidoyer	NOM	plaidoyer
en	PRP	en
faveur	NOM	faveur
des	PRP:det	du
loups	NOM	loup
»,	ADJ	»,
photographies	NOM	photographie
de	PRP	de
bruno-gilles	NOM	bruno-gilles
liebgott	ADJ	liebgott
,	PUN	,
au	PRP:det	au
bar	NOM	bar
la	DET:ART	le
véranda	NOM	véranda
.	SENT	.
-	PUN	-
«	PUN:cit	«
regard	NOM	regard
intimiste	ADJ	intimiste
sur	PRP	sur
les	DET:ART	le
lynx	NOM	lynx
»,	ADJ	»,
photographies	NOM	photographie
de	PRP	de
bruno-gilles	NOM	bruno-gilles
liebgott	ADJ	liebgott
,	PUN	,
à	PRP	à
la	DET:ART	le
snvb	NOM	snvb
.	SENT	.
sainte-genevieve	NOM	sainte-genevieve
:	PUN	:
-	PUN	-
repas	NOM	repas
d'	PRP	de
antan	NOM	antan
à	PRP	à
la	DET:ART	le
ferme-auberge	NOM	ferme-auberge
de	PRP	de
sainte-geneviève	NAM	sainte-geneviève
,	PUN	,
chez	PRP	chez
véronique	NOM	véronique
et	KON	et
marc	NOM	marc
gigleux	ADJ	gigleux
,	PUN	,
dimanche	NOM	dimanche
à	PRP	à
midi	NOM	midi
.	SENT	.
au	PRP:det	au
menu	NOM	menu
:	PUN	:
feuilleté	VER:pper	feuilleter
de	PRP	de
poireaux	NOM	poireau
et	KON	et
soupe	NOM	soupe
au	PRP:det	au
lard	NOM	lard
.	SENT	.
réservation	NOM	réservation
indispensable	ADJ	indispensable
au	PRP:det	au
03.83	NUM	@card@
.	SENT	.
82.25	NUM	@card@
.	SENT	.
55	NUM	@card@
thezey-saint-martin	NOM	thezey-saint-martin
:	PUN	:
-	PUN	-
concert	NOM	concert
de	PRP	de
rock	NOM	rock
avec	PRP	avec
«	PUN:cit	«
os	NOM	os
»	PUN:cit	»
(	PUN	(
punk	ADJ	punk
hardcore	NOM	hardcore
),	ADJ	),
«	PUN:cit	«
hybrid	VER:impf	hybrid
system	NOM	system
»	PUN:cit	»
(	PUN	(
metal	NOM	metal
hybride	ADJ	hybride
)	PUN	)
et	KON	et
«	PUN:cit	«
a	VER:pres	avoir
very	ADJ	very
sad	NOM	sad
story	NOM	story
»	PUN:cit	»
(	PUN	(
heavy	NOM	heavy
metal	ADJ	metal
),	ADJ	),
samedi	NOM	samedi
à	PRP	à
20	NUM	@card@
h	ABR	heure
45	NUM	@card@
à	PRP	à
la	DET:ART	le
salle	NOM	salle
des	PRP:det	du
fêtes	NOM	fête
.	SENT	.
entrée	NOM	entrée
:	PUN	:
4	NUM	@card@
.	ABR	.
thiaucourt	NOM	thiaucourt
:	PUN	:
-	PUN	-
thé	NOM	thé
dansant	VER:ppre	danser
des	PRP:det	du
aînés	NOM	aîné
ruraux	ADJ	rural
,	PUN	,
dimanche	NOM	dimanche
à	PRP	à
partir	VER:infi	partir
de	PRP	de
15	NUM	@card@
h	ABR	heure
,	PUN	,
à	PRP	à
l'	DET:ART	le
espace	NOM	espace
yves-duteil	ADJ	yves-duteil
.	SENT	.
