arnaud	NAM	Arnaud
entendu	VER:pper	entendre
continuer	VER:infi	continuer
à	PRP	à
jouer	VER:infi	jouer
.	SENT	.
les	DET:ART	le
projets	NOM	projet
2003	NUM	@card@
ne	ADV	ne
manquent	VER:pres	manquer
pas	ADV	pas
:	PUN	:
la	DET:ART	le
classe	NOM	classe
d'	PRP	de
orchestre	NOM	orchestre
va	VER:pres	aller
participer	VER:infi	participer
à	PRP	à
un	DET:ART	un
opéra	NOM	opéra
pour	PRP	pour
enfants	NOM	enfant
en	PRP	en
partenariat	NOM	partenariat
avec	PRP	avec
le	DET:ART	le
collège	NOM	collège
le	DET:ART	le
13	NUM	@card@
juin	NOM	juin
au	PRP:det	au
centre	NOM	centre
culturel	ADJ	culturel
(	PUN	(
après	KON	après
«	PUN:cit	«
on	PRO:PER	on
a	VER:pres	avoir
volé	VER:pper	voler
la	DET:ART	le
lumière	NOM	lumière
»	PUN:cit	»
l'	DET:ART	le
an	NOM	an
passé	VER:pper	passer
,	PUN	,
ce	PRO:DEM	ce
sera	VER:futu	être
cette	PRO:DEM	ce
année	NOM	année
un	DET:ART	un
siècle	NOM	siècle
de	PRP	de
chansons	NOM	chanson
françaises	ADJ	français
)	PUN	)
et	KON	et
les	DET:ART	le
écoles	NOM	école
élémentaires	ADJ	élémentaire
seront	VER:futu	être
invitées	VER:pper	inviter
à	PRP	à
venir	VER:infi	venir
découvrir	VER:infi	découvrir
les	DET:ART	le
samedis	NOM	samedi
matins	NOM	matin
les	DET:ART	le
instruments	NOM	instrument
dans	PRP	dans
la	DET:ART	le
salle	NOM	salle
de	PRP	de
répétitions	NOM	répétition
.	SENT	.
il	PRO:PER	il
n'	ADV	ne
y	PRO:PER	y
aura	VER:futu	avoir
toutefois	ADV	toutefois
pas	ADV	pas
de	PRP	de
concert	NOM	concert
de	PRP	de
printemps	NOM	printemps
.	SENT	.
une	DET:ART	un
voix	NOM	voix
s'	PRO:PER	se
est	VER:pres	être
élevée	VER:pper	élever
dans	PRP	dans
la	DET:ART	le
salle	NOM	salle
pour	PRP	pour
regretter	VER:infi	regretter
que	KON	que
la	DET:ART	le
société	NOM	société
des	PRP:det	du
fêtes	NOM	fête
de	PRP	de
golbey	NOM	golbey
soit	KON	soit
la	DET:ART	le
seule	ADJ	seul
à	PRP	à
ne	ADV	ne
pas	ADV	pas
remercier	VER:infi	remercier
l'	DET:ART	le
harmonie	NOM	harmonie
de	PRP	de
sa	DET:POS	son
participation	NOM	participation
.	SENT	.
«	PUN:cit	«
partout	ADV	partout
ailleurs	ADV	ailleurs
dans	PRP	dans
la	DET:ART	le
semaine	NOM	semaine
qui	PRO:REL	qui
suit	VER:pres	suivre
,	PUN	,
nous	PRO:PER	nous
avons	VER:pres	avoir
un	DET:ART	un
mot	NOM	mot
»,	ADJ	»,
a	VER:pres	avoir
plaidé	VER:pper	plaider
l'	DET:ART	le
intervenant	NOM	intervenant
.	SENT	.
roland	ADJ	roland
davide	NOM	davide
a	VER:pres	avoir
promis	VER:pper	promettre
de	PRP	de
faire	VER:infi	faire
passer	VER:infi	passer
le	DET:ART	le
message	NOM	message
à	PRP	à
jean	NOM	jean
brunias	VER:simp	brunias
,	PUN	,
le	DET:ART	le
président	NOM	président
de	PRP	de
la	DET:ART	le
sdf	NOM	sdf
.	SENT	.
facile	ADJ	facile
puisqu'ils	NOM	puisqu'ils
sont	VER:pres	être
tous	PRO:IND	tout
les	DET:ART	le
deux	NUM	deux
adjoints	NOM	adjoint
à	PRP	à
la	DET:ART	le
municipalité	NOM	municipalité
.	SENT	.
d'	PRP	de
autres	ADJ	autre
voix	NOM	voix
ont	VER:pres	avoir
plaidé	VER:pper	plaider
pour	PRP	pour
la	DET:ART	le
pose	NOM	pose
d'	PRP	de
un	DET:ART	un
panneau	NOM	panneau
au	PRP:det	au
-	PUN	-
dessus	ADV	dessus
de	PRP	de
la	DET:ART	le
porte	NOM	porte
d'	PRP	de
entrée	NOM	entrée
indiquant	VER:ppre	indiquer
la	DET:ART	le
présence	NOM	présence
d'	PRP	de
une	DET:ART	un
école	NOM	école
de	PRP	de
musique	NOM	musique
,	PUN	,
et	KON	et
pour	PRP	pour
une	DET:ART	un
plus	ADV	plus
grande	ADJ	grand
sécurité	NOM	sécurité
des	PRP:det	du
salles	NOM	salle
.	SENT	.
roland	ADJ	roland
davide	NOM	davide
a	VER:pres	avoir
répondu	VER:pper	répondre
qu'	KON	que
il	PRO:PER	il
allait	VER:impf	aller
transmettre	VER:infi	transmettre
à	PRP	à
son	DET:POS	son
collègue	NOM	collègue
chargé	VER:pper	charger
des	PRP:det	du
travaux	NOM	travail
,	PUN	,
jean	NOM	jean
brunias	NOM	brunias
,	PUN	,
et	KON	et
à	PRP	à
celui	PRO:DEM	celui
chargé	VER:pper	charger
de	PRP	de
la	DET:ART	le
sécurité	NOM	sécurité
,	PUN	,
jacques	NOM	jacque|jacques
massou	ADJ	massou
.	SENT	.
la	DET:ART	le
réunion	NOM	réunion
des	PRP:det	du
adjoints	NOM	adjoint
demain	ADV	demain
soir	NOM	soir
va	VER:pres	aller
être	VER:infi	être
chargée	VER:pper	charger
...	PUN	...
l'	DET:ART	le
école	NOM	école
de	PRP	de
musique	NOM	musique
compte	VER:pres	compter
48	NUM	@card@
élèves	NOM	élève
dont	PRO:REL	dont
13	NUM	@card@
adultes	NOM	adulte
.	SENT	.
les	DET:ART	le
8	NUM	@card@
professeurs	NOM	professeur
ont	VER:pres	avoir
donné	VER:pper	donner
en	PRP	en
2002	NUM	@card@
966	NUM	@card@
heures	NOM	heure
de	PRP	de
cours	NOM	cour|cours
.	SENT	.
la	DET:ART	le
participation	NOM	participation
des	PRP:det	du
élèves	NOM	élève
,	PUN	,
35	NUM	@card@
	NOM	
par	PRP	par
trimestre	NOM	trimestre
(	PUN	(
3.108	NUM	@card@
	NOM	
au	PRP:det	au
total	NOM	total
)	PUN	)
représente	VER:pres	représenter
15	NUM	@card@
%	SYM	%
de	PRP	de
la	DET:ART	le
somme	NOM	somme
engagée	VER:pper	engager
(	PUN	(
ou	KON	ou
l'	DET:ART	le
équivalent	NOM	équivalent
de	PRP	de
5	NUM	@card@
heures	NOM	heure
de	PRP	de
cours	NOM	cour|cours
)	PUN	)
pour	PRP	pour
l'	DET:ART	le
année	NOM	année
.	SENT	.
la	DET:ART	le
preuve	NOM	preuve
d'	PRP	de
une	DET:ART	un
réelle	ADJ	réel
volonté	NOM	volonté
de	PRP	de
démocratiser	VER:infi	démocratiser
la	DET:ART	le
musique	NOM	musique
et	KON	et
d'	PRP	de
en	PRP	en
faciliter	VER:infi	faciliter
son	DET:POS	son
accès	NOM	accès
.	SENT	.
seulement	ADV	seulement
et	KON	et
comme	KON	comme
cela	PRO:DEM	cela
a	VER:pres	avoir
été	VER:pper	être
signalé	VER:pper	signaler
à	PRP	à
propos	NOM	propos
de	PRP	de
la	DET:ART	le
signalétique	NOM	signalétique
,	PUN	,
le	DET:ART	le
grand	ADJ	grand
public	NOM	public
ignore	VER:pres	ignorer
parfois	ADV	parfois
qu'	KON	que
une	DET:ART	un
école	NOM	école
de	PRP	de
musique	NOM	musique
de	PRP	de
qualité	NOM	qualité
existe	VER:pres	exister
à	PRP	à
golbey	NOM	golbey
.	SENT	.
