chaque	PRO:IND	chaque
autres	ADJ	autre
mois	NOM	moi|mois
varient	VER:pres	varier
de	PRP	de
trois	NUM	trois
à	PRP	à
huit	NUM	huit
.	SENT	.
quant	PRP	quant
aux	PRP:det	au
choix	NOM	choix
des	PRP:det	du
prénoms	NOM	prénom
,	PUN	,
ils	PRO:PER	il
sont	VER:pres	être
très	ADV	très
diversifiés	VER:pper	diversifier
cette	PRO:DEM	ce
année	NOM	année
.	SENT	.
l'	PRO:PER	la|le
on	PRO:PER	on
trouve	VER:pres	trouver
chez	PRP	chez
les	DET:ART	le
garçons	NOM	garçon
alexis	NOM	alexis
,	PUN	,
anthony	NOM	anthony
,	PUN	,
noa	NOM	noa
,	PUN	,
théo	NOM	théo
,	PUN	,
et	KON	et
le	DET:ART	le
plus	ADV	plus
donné	VER:pper	donner
a	VER:pres	avoir
été	VER:pper	être
quentin	NOM	quentin
(	PUN	(
trois	NUM	trois
fois	NOM	foi|fois
).	VER:subi	).
il	PRO:PER	il
faut	VER:pres	falloir
aussi	ADV	aussi
signaler	VER:infi	signaler
un	DET:ART	un
seul	ADJ	seul
zinédine	NOM	zinédine
,	PUN	,
certainement	ADV	certainement
en	PRP	en
l'	DET:ART	le
honneur	NOM	honneur
du	PRP:det	du
footballeur	NOM	footballeur
bien	ADV	bien
connu	VER:pper	connaître
.	SENT	.
les	DET:ART	le
prénoms	NOM	prénom
des	PRP:det	du
filles	NOM	fille
sont	VER:pres	être
aussi	ADV	aussi
très	ADV	très
variés	VER:pper	varier
.	SENT	.
celui	PRO:DEM	celui
qui	PRO:REL	qui
arrive	VER:pres	arriver
en	PRP	en
tête	NOM	tête
est	VER:pres	être
léa	VER:simp	léa
,	PUN	,
puis	ADV	puis
camille	NOM	camille
et	KON	et
manon	NOM	manon
.	SENT	.
l'	DET:ART	le
étude	NOM	étude
des	PRP:det	du
prénoms	NOM	prénom
est	VER:pres	être
aussi	ADV	aussi
très	ADV	très
significative	ADJ	significatif
et	KON	et
fait	VER:pres	faire
apparaître	VER:infi	apparaître
que	KON	que
les	DET:ART	le
parents	NOM	parent|parents
ont	VER:pres	avoir
laissé	VER:pper	laisser
tomber	VER:infi	tomber
les	DET:ART	le
prénoms	NOM	prénom
tels	PRO:DEM	tel
que	PRO:REL	que
michel	NOM	michel
,	PUN	,
andré	ADJ	andré
,	PUN	,
jean	NOM	jean
,	PUN	,
paul	ADJ	paul
ou	KON	ou
bien	ADV	bien
françoise	ADJ	françoise
,	PUN	,
chantal	ADJ	chantal
et	KON	et
bien	ADV	bien
d'	PRP	de
autres	ADJ	autre
que	KON	que
l'	PRO:PER	la|le
on	PRO:PER	on
retrouvait	VER:impf	retrouver
dans	PRP	dans
le	DET:ART	le
passé	NOM	passé
.	SENT	.
au	PRP:det	au
registre	NOM	registre
des	PRP:det	du
décès	NOM	décès
:	PUN	:
54	NUM	@card@
personnes	NOM	personne
ont	VER:pres	avoir
été	VER:pper	être
enregistrées	VER:pper	enregistrer
(	PUN	(
26	NUM	@card@
hommes	NOM	homme
et	KON	et
28	NUM	@card@
femmes	NOM	femme
).	VER:pper	).
en	PRP	en
2001	NUM	@card@
l'	DET:ART	le
on	PRO:PER	on
en	PRO:PER	en
avait	VER:impf	avoir
dénombré	VER:pper	dénombrer
53	NUM	@card@
c'	PRO:DEM	ce
est-à-dire	ADV	est-à-dire
à	PRP	à
une	DET:ART	un
personne	NOM	personne
près	ADV	près
,	PUN	,
le	DET:ART	le
même	ADJ	même
nombre	NOM	nombre
que	KON	que
l'	DET:ART	le
an	NOM	an
passé	VER:pper	passer
.	SENT	.
enfin	ADV	enfin
,	PUN	,
cette	PRO:DEM	ce
étude	NOM	étude
ne	ADV	ne
saurait	VER:cond	savoir
être	VER:infi	être
complète	ADJ	complet
sans	PRP	sans
les	DET:ART	le
mariages	NOM	mariage
:	PUN	:
35	NUM	@card@
couples	NOM	couple
ont	VER:pres	avoir
échangé	VER:pper	échanger
leurs	DET:POS	leur
consentements	NOM	consentement
en	PRP	en
2002	NUM	@card@
et	KON	et
,	PUN	,
nous	PRO:PER	nous
ne	ADV	ne
pouvons	VER:pres	pouvoir
que	KON	que
souhaiter	VER:infi	souhaiter
à	PRP	à
ces	PRO:DEM	ce
jeunes	ADJ	jeune
époux	NOM	époux
qu'	PRO:REL	que
ils	PRO:PER	il
fassent	VER:subp	faire
encore	ADV	encore
pencher	VER:infi	pencher
la	DET:ART	le
balance	NOM	balance
du	PRP:det	du
côté	NOM	côté
de	PRP	de
la	DET:ART	le
natalité	NOM	natalité
en	PRP	en
l'	DET:ART	le
an	NOM	an
2003	NUM	@card@
!	SENT	!
