divers	ADJ	divers
17	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h	ABR	heure
;	PUN	;
collecte	NOM	collecte
des	PRP:det	du
ordures	NOM	ordure
ménagères	ADJ	ménager
,	PUN	,
sortir	VER:infi	sortir
les	DET:ART	le
poubelles	NOM	poubelle
en	PRP	en
soirée	NOM	soirée
.	SENT	.
sauville	NOM	sauville
:	PUN	:
gymnastique	NOM	gymnastique
d'	PRP	de
entretien	NOM	entretien
de	PRP	de
7	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h	ABR	heure
,	PUN	,
salle	NOM	salle
des	PRP:det	du
fêtes	NOM	fête
.	SENT	.
