ah	INT	ah
?	SENT	?
le	DET:ART	le
ticket	NOM	ticket
payé	VER:pper	payer|payer
35	NUM	@card@
minutes	NOM	minute
plus	ADV	plus
tôt	ADV	tôt
n'	ADV	ne
était	VER:impf	être
plus	ADV	plus
valide	ADJ	valide
.	SENT	.
il	PRO:PER	il
semble	VER:pres	sembler
que	KON	que
l'	DET:ART	le
agacement	NOM	agacement
du	PRP:det	du
conducteur	NOM	conducteur
était	VER:impf	être
perceptible	ADJ	perceptible
:	PUN	:
le	DET:ART	le
gardien	NOM	gardien
contacté	VER:pper	contacter
par	PRP	par
interphone	NOM	interphone
n'	ADV	ne
a	VER:pres	avoir
pas	ADV	pas
fait	VER:pper	faire
d'	PRP	de
histoire	NOM	histoire
pour	PRP	pour
débloquer	VER:infi	débloquer
le	DET:ART	le
portillon	NOM	portillon
.	SENT	.
mais	KON	mais
d'	PRP	de
aucuns	PRO:IND	aucun
n'	ADV	ne
ont	VER:pres	avoir
pas	ADV	pas
eu	VER:pper	avoir
cette	PRO:DEM	ce
chance	NOM	chance
:	PUN	:
ils	PRO:PER	il
ont	VER:pres	avoir
dû	VER:pper	devoir
payer	VER:infi	payer|payer
un	DET:ART	un
euro	NAM	euro
de	PRP	de
plus	ADV	plus
pour	PRP	pour
sortir	VER:infi	sortir
.	SENT	.
un	DET:ART	un
euro	NAM	euro
pour	PRP	pour
couronner	VER:infi	couronner
35	NUM	@card@
minutes	NOM	minute
à	PRP	à
ronger	VER:infi	ronger
son	DET:POS	son
frein	NOM	frein
dans	PRP	dans
la	DET:ART	le
bagnole	NOM	bagnole
,	PUN	,
l'	DET:ART	le
ulcère	NOM	ulcère
est	VER:pres	être
assuré	VER:pper	assurer
!	SENT	!
faudrait	VER:cond	falloir
vérifier	VER:infi	vérifier
:	PUN	:
c'	PRO:DEM	ce
est	VER:pres	être
peut-être	ADV	peut-être
le	DET:ART	le
fabriquant	VER:ppre	fabriquer
de	PRP	de
phosphalugel	NOM	phosphalugel
qui	PRO:REL	qui
l'	PRO:PER	la|le
a	VER:pres	avoir
inventé	VER:pper	inventer
ce	PRO:DEM	ce
maudit	VER:pres	maudire
parking	NOM	parking
,	PUN	,
mais	KON	mais
sans	PRP	sans
doute	NOM	doute
pas	ADV	pas
un	DET:ART	un
architecte	NOM	architecte
,	PUN	,
ou	KON	ou
alors	ADV	alors
un	NOM	un
qui	PRO:REL	qui
se	PRO:PER	se
déplace	VER:pres	déplacer
en	PRP	en
avion	NOM	avion
?	SENT	?
va	VER:pres	aller
savoir	VER:infi	savoir
,	PUN	,
tout	ADV	tout
va	VER:pres	aller
si	ADV	si
vite	ADV	vite
!	SENT	!
