israël	NAM	Israël
et	KON	et
33	NUM	@card@
scrutins	NOM	scrutin
,	PUN	,
les	DET:ART	le
18	NUM	@card@
juges	NOM	juge
de	PRP	de
la	DET:ART	le
cour	NOM	cour
pénale	ADJ	pénal
internationale	ADJ	international
(	PUN	(
cpi	VER:pper	cpi
)	PUN	)
ont	VER:pres	avoir
été	VER:pper	être
désignés	VER:pper	désigner
par	PRP	par
les	DET:ART	le
85	NUM	@card@
pays	NOM	pays
ayant	VER:ppre	avoir
ratifié	VER:pper	ratifier
le	DET:ART	le
traité	NOM	traité
.	SENT	.
plus	ADV	plus
d'	PRP	de
un	DET:ART	un
tiers	NOM	tiers
sont	VER:pres	être
des	PRP:det	du
femmes	NOM	femme
,	PUN	,
une	DET:ART	un
proportion	NOM	proportion
sans	PRP	sans
précédent	NOM	précédent
au	PRP:det	au
sein	NOM	sein
d'	PRP	de
un	DET:ART	un
tribunal	NOM	tribunal
international	ADJ	international
.	SENT	.
le	DET:ART	le
français	ADJ	français
claude	NOM	claude
jorda	ADJ	jorda
,	PUN	,
qui	PRO:REL	qui
préside	VER:pres	présider
le	DET:ART	le
tpi	NOM	tpi
pour	PRP	pour
l'	DET:ART	le
ex-yougoslavie	NOM	ex-yougoslavie
,	PUN	,
a	VER:pres	avoir
été	VER:pper	être
le	DET:ART	le
18	NUM	@card@
e	NOM	e
juge	VER:pres	juger
à	PRP	à
être	VER:infi	être
élu	VER:pper	élire
tard	ADV	tard
vendredi	NOM	vendredi
soir	NOM	soir
.	SENT	.
la	DET:ART	le
cpi	NOM	cpi
-	PUN	-
à	PRP	à
laquelle	PRO:REL	lequel
sont	VER:pres	être
violemment	ADV	violemment
opposés	VER:pper	opposer
les	DET:ART	le
etats-unis	NOM	etats-unis
pourra	VER:futu	pouvoir
juger	VER:infi	juger
les	DET:ART	le
crimes	NOM	crime
commis	VER:pper	commettre
par	PRP	par
des	PRP:det	du
individus	NOM	individu
après	PRP	après
le	DET:ART	le
1	NUM	@card@
e	NOM	e
r	VER:subi	r
juillet	NOM	juillet
2002	NUM	@card@
mais	KON	mais
ne	ADV	ne
pourra	VER:futu	pouvoir
procéder	VER:infi	procéder
que	KON	que
si	KON	si
les	DET:ART	le
etats	NOM	etats
ne	ADV	ne
peuvent	VER:pres	pouvoir
ou	KON	ou
ne	ADV	ne
veulent	VER:pres	vouloir
rendre	VER:infi	rendre
justice	NOM	justice
eux-mêmes	PRO:PER	lui-même
.	SENT	.
des	PRP:det	du
laboratoires	NOM	laboratoire
produisant	VER:ppre	produire
de	PRP	de
la	DET:ART	le
ricine	NOM	ricine
,	PUN	,
un	DET:ART	un
poison	NOM	poison
chimique	ADJ	chimique
mortel	ADJ	mortel
,	PUN	,
ont	VER:pres	avoir
été	VER:pper	être
trouvés	VER:pper	trouver
en	PRP	en
géorgie	NOM	géorgie
,	PUN	,
dans	PRP	dans
la	DET:ART	le
vallée	NOM	vallée
de	PRP	de
pankissi	NOM	pankissi
,	PUN	,
a	VER:pres	avoir
affirmé	VER:pper	affirmer
le	DET:ART	le
ministre	NOM	ministre
russe	ADJ	russe
de	PRP	de
la	DET:ART	le
défense	NOM	défense
sergueï	NOM	sergueï
ivanov	NOM	ivanov
hier	ADV	hier
lors	ADV	lors
de	PRP	de
la	DET:ART	le
conférence	NOM	conférence
internationale	ADJ	international
sur	PRP	sur
la	DET:ART	le
sécurité	NOM	sécurité
de	PRP	de
munich	NOM	munich
en	PRP	en
allemagne	NOM	allemagne
.	SENT	.
«	PUN:cit	«
les	DET:ART	le
terroristes	NOM	terroriste
récemment	ADV	récemment
arrêtés	VER:pper	arrêter
en	PRP	en
france	NOM	france
et	KON	et
en	PRP	en
grande-bretagne	NOM	grande-bretagne
ont	VER:pres	avoir
été	VER:pper	être
entraînés	VER:pper	entraîner
là-bas	ADV	là-bas
»,	NOM	»,
a-t-il	ADJ	a-t-il
par	PRP	par
ailleurs	ADV	ailleurs
affirmé	VER:pper	affirmer
.	SENT	.
«	PUN:cit	«
les	DET:ART	le
traces	NOM	trace
de	PRP	de
ricine	NOM	ricine
remontent	VER:pres	remonter
aussi	ADV	aussi
juqu'en	ADJ	juqu'en
tchétchénie	NOM	tchétchénie
»,	ADJ	»,
a	VER:pres	avoir
ajouté	VER:pper	ajouter
le	DET:ART	le
ministre	NOM	ministre
dont	PRO:REL	dont
le	DET:ART	le
pays	NOM	pays
soupçonne	VER:pres	soupçonner
les	DET:ART	le
gorges	NOM	gorge
de	PRP	de
pankissi	NOM	pankissi
,	PUN	,
la	DET:ART	le
région	NOM	région
frontalière	ADJ	frontalier
orientale	ADJ	oriental
entre	PRP	entre
la	DET:ART	le
géorgie	NOM	géorgie
et	KON	et
la	DET:ART	le
russie	NOM	russie
,	PUN	,
de	PRP	de
servir	VER:infi	servir
de	PRP	de
base-arrière	NOM	base-arrière
aux	PRP:det	au
rebelles	NOM	rebelle
tchétchènes	ADJ	tchétchène
,	PUN	,
avec	PRP	avec
l'	DET:ART	le
aval	NOM	aval
tacite	ADJ	tacite
de	PRP	de
tbilissi	NOM	tbilissi
.	SENT	.
a	VER:pres	avoir
bamako	NOM	bamako
,	PUN	,
la	DET:ART	le
question	NOM	question
de	PRP	de
l'	DET:ART	le
immigration	NOM	immigration
n'	ADV	ne
a	VER:pres	avoir
pas	ADV	pas
été	VER:pper	être
abordée	VER:pper	aborder
lors	ADV	lors
de	PRP	de
l'	DET:ART	le
entretien	NOM	entretien
,	PUN	,
hier	ADV	hier
,	PUN	,
entre	PRP	entre
le	DET:ART	le
ministre	NOM	ministre
français	ADJ	français
de	PRP	de
l'	DET:ART	le
intérieur	NOM	intérieur
nicolas	VER:simp	nicolas
sarkozy	NOM	sarkozy
,	PUN	,
en	PRP	en
visite	NOM	visite
officielle	ADJ	officiel
au	PRP:det	au
mali	NOM	mali
,	PUN	,
et	KON	et
son	DET:POS	son
homologue	NOM	homologue
malien	ADJ	malien
.	SENT	.
selon	PRP	selon
les	DET:ART	le
deux	NUM	deux
ministres	NOM	ministre
,	PUN	,
l'	DET:ART	le
entretien	NOM	entretien
a	VER:pres	avoir
porté	VER:pper	porter
sur	PRP	sur
l'	DET:ART	le
aide	NOM	aide
proposée	VER:pper	proposer
par	PRP	par
la	DET:ART	le
france	NOM	france
en	PRP	en
matière	NOM	matière
de	PRP	de
sécurité	NOM	sécurité
.	SENT	.
a	VER:pres	avoir
l'	DET:ART	le
issue	NOM	issue
d'	PRP	de
un	DET:ART	un
second	NUM	second
entretien	NOM	entretien
avec	PRP	avec
le	DET:ART	le
ministre	NOM	ministre
malien	ADJ	malien
de	PRP	de
l'	DET:ART	le
administration	NOM	administration
territoriale	ADJ	territorial
,	PUN	,
nicolas	VER:simp	nicolas
sarkozy	NOM	sarkozy
a	VER:pres	avoir
annoncé	VER:pper	annoncer
qu'	KON	que
il	PRO:PER	il
entendait	VER:impf	entendre
«	PUN:cit	«
doubler	VER:infi	doubler
»	PUN:cit	»
le	DET:ART	le
financement	NOM	financement
des	PRP:det	du
projets	NOM	projet
de	PRP	de
co-développement	NOM	co-développement
pour	KON	pour
«	PUN:cit	«
chaque	PRO:IND	chaque
malien	ADJ	malien
qui	PRO:REL	qui
voudra	VER:futu	vouloir
revenir	VER:infi	revenir
au	PRP:det	au
mali	NOM	mali
»,	ADJ	»,
soit	KON	soit
7.000	NUM	@card@
euros	NOM	euro
.	SENT	.
l'	DET:ART	le
aide	NOM	aide
au	PRP:det	au
retour	NOM	retour
et	KON	et
à	PRP	à
la	DET:ART	le
réinsertion	NOM	réinsertion
,	PUN	,
qui	PRO:REL	qui
est	VER:pres	être
actuellement	ADV	actuellement
de	PRP	de
3.600	NUM	@card@
euros	NOM	euro
,	PUN	,
a	VER:pres	avoir
été	VER:pper	être
sollicitée	VER:pper	solliciter
par	PRP	par
46	NUM	@card@
maliens	ADJ	malien
en	PRP	en
2002	NUM	@card@
selon	PRP	selon
l'	DET:ART	le
office	NOM	office
des	PRP:det	du
migrations	NOM	migration
internationales	ADJ	international
(	PUN	(
omi	NOM	omi
).	VER:ppre	).
un	DET:ART	un
policier	NOM	policier
municipal	ADJ	municipal
espagnol	ADJ	espagnol
a	VER:pres	avoir
été	VER:pper	être
grièvement	ADV	grièvement
blessé	VER:pper	blesser
hier	ADV	hier
matin	NOM	matin
à	PRP	à
andoain	NOM	andoain
(	PUN	(
pays	NOM	pays
basque	ADJ	basque
)	PUN	)
dans	PRP	dans
un	DET:ART	un
attentat	NOM	attentat
attribué	VER:pper	attribuer
par	PRP	par
la	DET:ART	le
classe	NOM	classe
politique	ADJ	politique
à	PRP	à
l'	DET:ART	le
organisation	NOM	organisation
indépendantiste	ADJ	indépendantiste
basque	ADJ	basque
eta	VER:simp	eta
,	PUN	,
à	PRP	à
trois	NUM	trois
mois	NOM	moi|mois
et	KON	et
demi	NOM	demi
des	PRP:det	du
élections	NOM	élection
municipales	ADJ	municipal
du	PRP:det	du
25	NUM	@card@
mai	NOM	mai
.	SENT	.
cette	PRO:DEM	ce
action	NOM	action
terroriste	ADJ	terroriste
est	VER:pres	être
le	DET:ART	le
premier	NUM	premier
attentat	NOM	attentat
attribué	VER:pper	attribuer
à	PRP	à
l'	DET:ART	le
organisation	NOM	organisation
basque	ADJ	basque
armée	VER:pper	armer
en	PRP	en
2003	NUM	@card@
la	DET:ART	le
victime	NOM	victime
,	PUN	,
déclarée	VER:pper	déclarer
cliniquement	ADV	cliniquement
mort	VER:pper	mourir
,	PUN	,
était	VER:impf	être
chef	NOM	chef
de	PRP	de
la	DET:ART	le
police	NOM	police
municipale	ADJ	municipal
d'	PRP	de
andoain	NOM	andoain
mais	KON	mais
aussi	ADV	aussi
un	DET:ART	un
militant	ADJ	militant
socialiste	NOM	socialiste
basque	ADJ	basque
.	SENT	.
plus	ADV	plus
de	PRP	de
deux	NUM	deux
millions	NOM	million
de	PRP	de
fidèles	NOM	fidèle
musulmans	ADJ	musulman
entament	VER:pres	entamer
aujourd'hui	ADV	aujourd'hui
à	PRP	à
la	DET:ART	le
mecque	NOM	mecque
les	DET:ART	le
rites	NOM	rite
du	PRP:det	du
hadj	NOM	hadj
,	PUN	,
le	DET:ART	le
pèlerinage	NOM	pèlerinage
annuel	ADJ	annuel
,	PUN	,
placé	VER:pper	placer
sous	PRP	sous
haute	ADJ	haut
surveillance	NOM	surveillance
en	PRP	en
raison	NOM	raison
du	PRP:det	du
risque	NOM	risque
d'	PRP	de
un	DET:ART	un
conflit	NOM	conflit
armé	VER:pper	armer
en	PRP	en
irak	NOM	irak
,	PUN	,
voisin	ADJ	voisin
de	PRP	de
l'	DET:ART	le
arabie	NOM	arabie
.	SENT	.
les	DET:ART	le
fidèles	NOM	fidèle
,	PUN	,
rassemblés	VER:pper	rassembler
pour	PRP	pour
la	DET:ART	le
plupart	NOM	plupart
à	PRP	à
la	DET:ART	le
mecque	NOM	mecque
,	PUN	,
dans	PRP	dans
l'	DET:ART	le
ouest	NOM	ouest
du	PRP:det	du
royaume	NOM	royaume
saoudien	ADJ	saoudien
,	PUN	,
vont	VER:pres	aller
déferler	VER:infi	déferler
ce	PRO:DEM	ce
matin	NOM	matin
aux	PRP:det	au
premières	NUM	premier
heures	NOM	heure
,	PUN	,
à	PRP	à
pied	NOM	pied
ou	KON	ou
en	PRP	en
bus	NOM	bus
,	PUN	,
vers	PRP	vers
mina	VER:simp	miner
,	PUN	,
une	DET:ART	un
vallée	NOM	vallée
aride	ADJ	aride
avoisinante	ADJ	avoisinant
,	PUN	,
marquant	VER:ppre	marquer
le	DET:ART	le
début	NOM	début
des	PRP:det	du
rites	NOM	rite
du	PRP:det	du
hadj	NOM	hadj
.	SENT	.
les	DET:ART	le
autorités	NOM	autorité
saoudiennes	ADJ	saoudien
y	PRO:PER	y
ont	VER:pres	avoir
installé	VER:pper	installer
44.000	NUM	@card@
tentes	NOM	tente
ignifuges	ADJ	ignifuge
,	PUN	,
équipées	VER:pper	équiper
d'	PRP	de
un	DET:ART	un
système	NOM	système
de	PRP	de
climatisation	NOM	climatisation
où	PRO:REL	où
les	DET:ART	le
fidèles	NOM	fidèle
vont	VER:pres	aller
passer	VER:infi	passer
la	DET:ART	le
nuit	NOM	nuit
,	PUN	,
en	PRP	en
prière	NOM	prière
et	KON	et
dans	PRP	dans
le	DET:ART	le
recueillement	NOM	recueillement
.	SENT	.
la	DET:ART	le
corée	NOM	corée
du	PRP:det	du
nord	NOM	nord
semble	VER:pres	sembler
avoir	VER:infi	avoir
l'	DET:ART	le
intention	NOM	intention
de	PRP	de
relancer	VER:infi	relancer
une	DET:ART	un
usine	NOM	usine
de	PRP	de
retraitement	NOM	retraitement
nucléaire	ADJ	nucléaire
et	KON	et
pourrait	VER:cond	pouvoir
produire	VER:infi	produire
de	PRP	de
la	DET:ART	le
matière	NOM	matière
fissile	ADJ	fissile
pour	PRP	pour
six	NUM	six
à	PRP	à
huit	NUM	huit
armes	NOM	arme
nucléaires	ADJ	nucléaire
d'	PRP	de
ici	ADV	ici
juin	NOM	juin
,	PUN	,
a	VER:pres	avoir
déclaré	VER:pper	déclarer
hier	ADV	hier
le	DET:ART	le
secrétaire	NOM	secrétaire
américain	ADJ	américain
à	PRP	à
la	DET:ART	le
défense	NOM	défense
donald	NAM	Donald
rumsfeld	NOM	rumsfeld
.	SENT	.
«	PUN:cit	«
il	PRO:PER	il
est	VER:pres	être
très	ADV	très
clair	ADJ	clair
que	KON	que
s'	PRO:PER	se
ils	PRO:PER	il
commencent	VER:pres	commencer
à	PRP	à
relancer	VER:infi	relancer
l'	DET:ART	le
usine	NOM	usine
de	PRP	de
retraitement	NOM	retraitement
,	PUN	,
ce	PRO:DEM	ce
qu'	PRO:REL	que
ils	PRO:PER	il
semblent	VER:pres	sembler
prêts	ADJ	prêt
à	PRP	à
faire	VER:infi	faire
,	PUN	,
ils	PRO:PER	il
pourraient	VER:cond	pouvoir
avoir	VER:infi	avoir
assez	ADV	assez
de	PRP	de
matière	NOM	matière
nucléaire	ADJ	nucléaire
pour	PRP	pour
construire	VER:infi	construire
six	NUM	six
à	PRP	à
huit	NUM	huit
armes	NOM	arme
nucléaires	ADJ	nucléaire
de	PRP	de
plus	ADV	plus
»,	ADJ	»,
a	VER:pres	avoir
souligné	VER:pper	souligner
m.	VER:pper	m.
rumsfeld	NOM	rumsfeld
.	SENT	.
