mme	VER:cond	mme
eric	NOM	eric
,	PUN	,
laurent	VER:pres	laurer
,	PUN	,
sylvain	ADJ	sylvain
et	KON	et
3	NUM	@card@
arrière	ADJ	arrière
petits-enfants	NOM	petits-enfants
,	PUN	,
maud	NOM	maud
,	PUN	,
gaëlle	NOM	gaëlle
et	KON	et
william	NOM	william
.	SENT	.
c'	PRO:DEM	ce
est	VER:pres	être
à	PRP	à
norroy	NOM	norroy
au	PRP:det	au
4	NUM	@card@
rue	NOM	rue
rosant	VER:ppre	roser
que	KON	que
le	DET:ART	le
couple	NOM	couple
s'	PRO:PER	se
est	VER:pres	être
fixé	VER:pper	fixer
pour	PRP	pour
y	PRO:PER	y
passer	VER:infi	passer
une	DET:ART	un
retraite	NOM	retraite
paisible	ADJ	paisible
dans	PRP	dans
leur	DET:POS	leur
petite	ADJ	petit
maison	NOM	maison
.	SENT	.
en	PRP	en
juin	NOM	juin
1996	NUM	@card@
elle	PRO:PER	elle
aura	VER:futu	avoir
la	DET:ART	le
tristesse	NOM	tristesse
de	PRP	de
perdre	VER:infi	perdre
son	DET:POS	son
mari	NOM	mari
,	PUN	,
paul	ADJ	paul
.	SENT	.
discrète	ADJ	discret
,	PUN	,
simone	NOM	simone
ne	ADV	ne
sortait	VER:impf	sortir
que	ADV	que
rarement	ADV	rarement
de	PRP	de
chez	PRP	chez
elle	PRO:PER	elle
ce	PRO:DEM	ce
qui	PRO:REL	qui
ne	ADV	ne
l'	PRO:PER	la|le
empêchait	VER:impf	empêcher
pas	ADV	pas
d'	PRP	de
être	VER:infi	être
très	ADV	très
appréciée	VER:pper	apprécier
de	PRP	de
son	DET:POS	son
voisinage	NOM	voisinage
pour	PRP	pour
son	DET:POS	son
humour	NOM	humour
et	KON	et
son	DET:POS	son
sens	NOM	sen|sens
de	PRP	de
la	DET:ART	le
répartie	VER:pper	répartir
.	SENT	.
son	DET:POS	son
temps	NOM	temps
,	PUN	,
elle	PRO:PER	elle
l'	PRO:PER	la|le
occupait	VER:impf	occuper
surtout	ADV	surtout
à	PRP	à
suivre	VER:infi	suivre
l'	DET:ART	le
actualité	NOM	actualité
régionale	ADJ	régional
,	PUN	,
ainsi	KON	ainsi
qu'	KON	que
à	PRP	à
regarder	VER:infi	regarder
ses	DET:POS	son
programmes	NOM	programme
de	PRP	de
télévision	NOM	télévision
favoris	ADJ	favori
.	SENT	.
ses	DET:POS	son
obsèques	NOM	obsèques
seront	VER:futu	être
célébrées	VER:pper	célébrer
,	PUN	,
jeudi	NOM	jeudi
,	PUN	,
à	PRP	à
14	NUM	@card@
h	ABR	heure
,	PUN	,
en	PRP	en
l'	DET:ART	le
église	NOM	église
de	PRP	de
norroy	NOM	norroy
.	SENT	.
nos	DET:POS	notre
condoléances	NOM	condoléance
à	PRP	à
la	DET:ART	le
famille	NOM	famille
.	SENT	.
