habituellement	ADV	habituellement
été	NOM	été
d'	PRP	de
habitude	NOM	habitude
.	SENT	.
l'	DET:ART	le
été	NOM	été
que	KON	que
des	PRP:det	du
repas	NOM	repas
,	PUN	,
des	PRP:det	du
soirées	NOM	soirée
sont	VER:pres	être
organisés	VER:pper	organiser
,	PUN	,
histoire	NOM	histoire
de	PRP	de
rassembler	VER:infi	rassembler
les	DET:ART	le
habitants	NOM	habitant
d'	PRP	de
un	DET:ART	un
quartier	NOM	quartier
ou	KON	ou
d'	PRP	de
un	DET:ART	un
immeuble	NOM	immeuble
.	SENT	.
mais	KON	mais
,	PUN	,
comme	ADV	comme
dirait	VER:cond	dire
l'	DET:ART	le
autre	ADJ	autre
,	PUN	,
y'	ADJ	y'
a	VER:pres	avoir
pas	ADV	pas
de	PRP	de
saison	NOM	saison
.	SENT	.
d'	PRP	de
accord	NOM	accord
,	PUN	,
les	DET:ART	le
températures	NOM	température
estivales	ADJ	estival
permettent	VER:pres	permettre
d'	PRP	de
organiser	VER:infi	organiser
des	PRP:det	du
choses	NOM	chose
à	PRP	à
l'	DET:ART	le
extérieur	NOM	extérieur
et	KON	et
donc	ADV	donc
de	PRP	de
mobiliser	VER:infi	mobiliser
plus	ADV	plus
d'	PRP	de
habitants	NOM	habitant
,	PUN	,
mais	KON	mais
n'	ADV	ne
empêche	VER:pres	empêcher
que	KON	que
ça	PRO:DEM	cela
limite	NOM	limite
.	SENT	.
or	NOM	or
chantal	ADJ	chantal
et	KON	et
jean-jacques	ADJ	jean-jacques
n'	ADV	ne
en	PRO:PER	en
veulent	VER:pres	vouloir
pas	ADV	pas
,	PUN	,
des	PRP:det	du
limites	NOM	limite
.	SENT	.
alors	ADV	alors
hier	ADV	hier
,	PUN	,
ils	PRO:PER	il
ont	VER:pres	avoir
convié	VER:pper	convier
tous	PRO:IND	tout
leurs	DET:POS	leur
voisins	NOM	voisin
.	SENT	.
tous	PRO:IND	tout
ceux	PRO:DEM	celui
qui	PRO:REL	qui
habitent	VER:pres	habiter
dans	PRP	dans
le	DET:ART	le
bâtiment	NOM	bâtiment
e	VER:futu	e
au	PRP:det	au
pré	NOM	pré
des	PRP:det	du
angles	NOM	angle
à	PRP	à
vesoul	NOM	vesoul
.	SENT	.
et	KON	et
,	PUN	,
ils	PRO:PER	il
étaient	VER:impf	être
tous	PRO:IND	tout
là	ADV	là
,	PUN	,
sauf	PRP	sauf
les	DET:ART	le
malades	NOM	malade
ou	KON	ou
ceux	PRO:DEM	celui
qui	PRO:REL	qui
travaillaient	VER:impf	travailler
.	SENT	.
tous	PRO:IND	tout
là	ADV	là
pour	PRP	pour
la	DET:ART	le
galette	NOM	galette
des	PRP:det	du
rois	NOM	roi
.	SENT	.
pour	PRP	pour
mieux	ADV	mieux
connaître	VER:infi	connaître
les	DET:ART	le
petits	NOM	petit
nouveaux	ADJ	nouveau
.	SENT	.
alors	ADV	alors
,	PUN	,
on	PRO:PER	on
en	PRO:PER	en
parle	VER:pres	parler
.	SENT	.
mais	KON	mais
en	PRO:PER	en
fait	VER:pres	faire
,	PUN	,
si	KON	si
on	PRO:PER	on
en	PRO:PER	en
parle	VER:pres	parler
,	PUN	,
c'	PRO:DEM	ce
est	VER:pres	être
que	KON	que
ces	PRO:DEM	ce
initiatives	NOM	initiative
sont	VER:pres	être
en	PRP	en
voie	NOM	voie
de	PRP	de
disparition	NOM	disparition
.	SENT	.
a	VER:pres	avoir
voir	VER:infi	voir
l'	DET:ART	le
évolution	NOM	évolution
de	PRP	de
la	DET:ART	le
société	NOM	société
,	PUN	,
nous	PRO:PER	nous
serons	VER:futu	être
certainement	ADV	certainement
condamnés	VER:pper	condamner
à	PRP	à
en	PRO:PER	en
parler	VER:infi	parler
de	PRP	de
nouveau	ADJ	nouveau
.	SENT	.
du	PRP:det	du
moins	ADV	moins
,	PUN	,
voilà	ADV	voilà
tout	ADV	tout
le	DET:ART	le
mal	NOM	mal
que	PRO:REL	que
nous	PRO:PER	nous
nous	PRO:PER	nous
souhaitons	VER:pres	souhaiter
...	PUN	...
