compte-rendu	NOM	compte-rendu
maîtrise	NOM	maîtrise
d'	ADJ	d'
uvre	NOM	uvre
relative	ADJ	relatif
à	PRP	à
la	DET:ART	le
réalisation	NOM	réalisation
d'	PRP	de
aménagement	NOM	aménagement
du	PRP:det	du
lotissement	NOM	lotissement
de	PRP	de
la	DET:ART	le
corvée	NOM	corvée
du	PRP:det	du
château	NOM	château
.	SENT	.
ce	PRO:DEM	ce
concours	NOM	concours
a	VER:pres	avoir
été	VER:pper	être
autorisé	VER:pper	autoriser
par	PRP	par
le	DET:ART	le
préfet	NOM	préfet
le	DET:ART	le
13	NUM	@card@
novembre	NOM	novembre
2002	NUM	@card@
