vittel	NAM	Vittel
hauteur	NOM	hauteur
avec	PRP	avec
1	NUM	@card@
m	NOM	m
63	NUM	@card@
autres	ADJ	autre
juniors	NOM	junior
à	PRP	à
s'	PRO:PER	se
être	VER:infi	être
distingués	VER:pper	distinguer
le	DET:ART	le
jurassien	ADJ	jurassien
yann	NOM	yann
tavernier	ADJ	tavernier
(	PUN	(
champagnole	VER:pres	champagnole
morez	ADJ	morez
),	NOM	),
qui	PRO:REL	qui
fait	VER:pres	faire
déjà	ADV	déjà
partie	VER:pper	partir
des	PRP:det	du
meilleurs	ADJ	meilleur
performeurs	NOM	performeurs
,	PUN	,
passe	VER:pres	passer
encore	ADV	encore
un	DET:ART	un
cap	NOM	cap
au	PRP:det	au
60	NUM	@card@
m	NOM	m
haies	NOM	haie
puisque	KON	puisque
dans	PRP	dans
une	DET:ART	un
série	NOM	série
il	PRO:PER	il
a	VER:pres	avoir
réalisé	VER:pper	réaliser
8	NUM	@card@
''	NOM	''
20	NUM	@card@
qui	PRO:REL	qui
le	DET:ART	le
place	NOM	place
sous	PRP	sous
les	DET:ART	le
minimas	ADJ	minima
directs	NOM	direct
pour	PRP	pour
les	DET:ART	le
france	NOM	france
,	PUN	,
tout	ADV	tout
comme	ADV	comme
benoît	ADJ	benoît
berchebru	NOM	berchebru
(	PUN	(
auna	VER:simp	auner
)	PUN	)
avec	PRP	avec
ses	DET:POS	son
22	NUM	@card@
'	PUN	'
59	NUM	@card@
''	NOM	''
20	NUM	@card@
au	PRP:det	au
5.000	NUM	@card@
m	NOM	m
marche	NOM	marche
.	SENT	.
autres	ADJ	autre
performances	NOM	performance
honorables	ADJ	honorable
,	PUN	,
celle	PRO:DEM	celui
de	PRP	de
nordine	ADJ	nordine
elhaiti	NOM	elhaiti
(	PUN	(
doubs	NOM	doubs
sud	ADJ	sud
athlé	ADJ	athlé
)	PUN	)
au	PRP:det	au
60	NUM	@card@
m	NOM	m
en	PRP	en
6	NUM	@card@
''	NOM	''
99	NUM	@card@
talonné	VER:pper	talonner
de	PRP	de
très	ADV	très
près	ADV	près
par	PRP	par
le	DET:ART	le
junior	ADJ	junior
vincent	NOM	vincent
oliveira	VER:futu	oliveira
(	PUN	(
dole	VER:pres	doler
)	PUN	)
avec	PRP	avec
ses	DET:POS	son
7	NUM	@card@
''	NOM	''
09	NUM	@card@
sur	PRP	sur
le	DET:ART	le
400	NUM	@card@
m	NOM	m
l'	DET:ART	le
espoir	NOM	espoir
linda	VER:simp	linda
marguet	NOM	marguet
(	PUN	(
doubs	NOM	doubs
)	PUN	)
est	VER:pres	être
restée	VER:pper	rester
la	DET:ART	le
reine	NOM	reine
avec	PRP	avec
ses	DET:POS	son
1	NUM	@card@
'	PUN	'
13	NUM	@card@
''	NOM	''
tandis	KON	tandis
que	KON	que
alexandra	NOM	alexandra
agostinucci	VER:pper	agostinucci
(	PUN	(
auna	VER:simp	auner
)	PUN	)
régnait	VER:impf	régner
sur	PRP	sur
le	DET:ART	le
800	NUM	@card@
m	NOM	m
avec	PRP	avec
ses	DET:POS	son
2	NUM	@card@
'	PUN	'
18	NUM	@card@
''	NOM	''
02	NUM	@card@
le	DET:ART	le
saut	NOM	saut
,	PUN	,
la	DET:ART	le
longueur	NOM	longueur
et	KON	et
le	DET:ART	le
triple	ADJ	triple
,	PUN	,
n'	ADV	ne
ont	VER:pres	avoir
recueilli	VER:pper	recueillir
que	KON	que
très	ADV	très
peu	ADV	peu
d'	PRP	de
adeptes	NOM	adepte
,	PUN	,
comparé	VER:pper	comparer
aux	PRP:det	au
saisons	NOM	saison
précédentes	ADJ	précédent
.	SENT	.
