soulignant	VER:ppre	souligner
au	PRP:det	au
plus	ADV	plus
grand	ADJ	grand
.	SENT	.
j'	PRO:PER	je
y	PRO:PER	y
associe	VER:pres	associer
les	DET:ART	le
adjoints	NOM	adjoint
,	PUN	,
conseillers	NOM	conseiller
municipaux	ADJ	municipal
,	PUN	,
présidents	NOM	président
d'	PRP	de
associations	NOM	association
,	PUN	,
et	KON	et
ceux	PRO:DEM	celui
qui	PRO:REL	qui
contribuent	VER:pres	contribuer
de	PRP	de
loin	ADV	loin
ou	KON	ou
de	PRP	de
près	ADV	près
à	PRP	à
la	DET:ART	le
vie	NOM	vie
du	PRP:det	du
village	NOM	village
.	SENT	.
j'	PRO:PER	je
ai	VER:pres	avoir
une	DET:ART	un
pensée	NOM	pensée
émue	VER:pper	émouvoir
pour	PRP	pour
ceux	PRO:DEM	celui
qui	PRO:REL	qui
nous	PRO:PER	nous
ont	VER:pres	avoir
quittés	VER:pper	quitter
,	PUN	,
france	NOM	france
,	PUN	,
bernard	NOM	bernard
et	KON	et
jean-marie	NOM	jean-marie
.	SENT	.
je	PRO:PER	je
souhaite	VER:pres	souhaiter
la	DET:ART	le
bienvenue	NOM	bienvenu|bienvenue
à	PRP	à
audray	NOM	audray
et	KON	et
félicien	NOM	félicien
,	PUN	,
nouveaux	ADJ	nouveau
habitants	NOM	habitant
»,	ADJ	»,
a	VER:pres	avoir
conclu	VER:pper	conclure
le	DET:ART	le
premier	NUM	premier
magistrat	NOM	magistrat
.	SENT	.
