aujourd'hui	ADV	aujourd'hui
2)	NOM	2)
-	PUN	-
niort	ADJ	niort
(	PUN	(
l	VER:simp	l
2)	NOM	2)
20	NUM	@card@
h	ABR	heure
:	PUN	:
nice	ADJ	nice
(	PUN	(
l	VER:simp	l
1)	NOM	1)
-	PUN	-
metz	NAM	Metz
(	PUN	(
l	VER:simp	l
2)	NOM	2)
(	PUN	(
sur	PRP	sur
eurosport	NOM	eurosport
)	PUN	)
caen	NOM	caen
(	PUN	(
l	VER:simp	l
2)	NOM	2)
-	PUN	-
auxerre	NOM	auxerre
(	PUN	(
l	VER:simp	l
1)	ADJ	1)
amiens	NOM	amiens
(	PUN	(
l	VER:simp	l
2)	NOM	2)
-	PUN	-
montpellier	NOM	montpellier
(	PUN	(
l	VER:simp	l
1)	ADJ	1)
reims	NOM	reims
(	PUN	(
l	VER:simp	l
2)	NOM	2)
-	PUN	-
nantes	ADJ	nantes
(	PUN	(
l	VER:simp	l
1)	NOM	1)
valenciennes	ADJ	valencien
(	PUN	(
n	VER:pper	n
)	PUN	)
-	PUN	-
le	DET:ART	le
havre	NOM	havre
(	PUN	(
l	VER:simp	l
1)	ADJ	1)
libourne	NOM	libourne
saint-seurin	ADJ	saint-seurin
(	PUN	(
cfa	VER:simp	cfa
)	PUN	)
-	PUN	-
lyon	NOM	lyon
(	PUN	(
l	VER:simp	l
1)	NOM	1)
quimper	VER:infi	quimper
(	PUN	(
dh	NOM	dh
)	PUN	)
-	PUN	-
lille	NOM	lille
(	PUN	(
l	VER:simp	l
1)	ADJ	1)
anglet	NOM	anglet
(	PUN	(
dh	NOM	dh
)	PUN	)
-	PUN	-
guingamp	NOM	guingamp
(	PUN	(
l	VER:simp	l
1)	ADJ	1)
tours	NOM	tour
(	PUN	(
cfa	VER:simp	cfa
)	PUN	)
-	PUN	-
angoulême	ADJ	angoulême
(	PUN	(
n	VER:pper	n
)	PUN	)
:	PUN	:
reporté	VER:pper	reporter
la	DET:ART	le
vitréenne	ADJ	vitréenne
(	PUN	(
cfa	VER:simp	cfa
2)	NOM	2)
-	PUN	-
dijon	NOM	dijon
(	PUN	(
n	VER:pper	n
)	PUN	)
demain	ADV	demain
(	PUN	(
14	NUM	@card@
h	ABR	heure
)	PUN	)
:	PUN	:
bourg-péronnas	VER:simp	bourg-péronnas
(	PUN	(
cfa	VER:simp	cfa
)	PUN	)
-	PUN	-
strasbourg	NOM	strasbourg
(	PUN	(
l	VER:simp	l
1)	ADJ	1)
quevilly	NOM	quevilly
(	PUN	(
cfa	VER:simp	cfa
)	PUN	)
-	PUN	-
la	DET:ART	le
rochelle	NOM	rochelle
(	PUN	(
cfa	VER:simp	cfa
2)	NOM	2)
14	NUM	@card@
h	ABR	heure
30	NUM	@card@
:	PUN	:
sète	NOM	sète
(	PUN	(
n	VER:pper	n
)	PUN	)
-	PUN	-
rennes	NOM	renne
(	PUN	(
l	VER:simp	l
1)	ADJ	1)
vitrolles	NOM	vitrolles
(	PUN	(
cfa	VER:simp	cfa
2)	NOM	2)
-	PUN	-
laval	ADJ	laval
(	PUN	(
l	VER:simp	l
2)	NOM	2)
changé	VER:pper	changer
(	PUN	(
cfa	VER:simp	cfa
2)	NOM	2)
-	PUN	-
beauvais	NOM	beauvais
(	PUN	(
l	VER:simp	l
2)	ADJ	2)
seyssinet-pariset	NOM	seyssinet-pariset
(	PUN	(
dh	NOM	dh
)	PUN	)
-	PUN	-
nîmes	VER:simp	nîmes
(	PUN	(
n	VER:pper	n
)	PUN	)
15	NUM	@card@
h	ABR	heure
:	PUN	:
schiltigheim	NOM	schiltigheim
(	PUN	(
cfa	VER:simp	cfa
2)	NOM	2)
-	PUN	-
troyes	NOM	troyes
(	PUN	(
l	VER:simp	l
1)	ADJ	1)
amnéville	NOM	amnéville
(	PUN	(
cfa	VER:simp	cfa
2)	NOM	2)
-	PUN	-
raon-l'étape	NOM	raon-l'étape
(	PUN	(
cfa	VER:simp	cfa
)	PUN	)
maubeuge	NOM	maubeuge
(	PUN	(
dh	NOM	dh
)	PUN	)
-	PUN	-
lambres-lez-douai	VER:simp	lambres-lez-douai
(	PUN	(
l	VER:pper	l
)	PUN	)
17	NUM	@card@
h	ABR	heure
:	PUN	:
besançon	NOM	besançon
(	PUN	(
n	VER:pper	n
)	PUN	)
-	PUN	-
paris	NOM	pari
sg	NOM	sg
(	PUN	(
l	VER:simp	l
1)	NOM	1)
(	PUN	(
sur	PRP	sur
eurosport	NOM	eurosport
)	PUN	)
martigues	NOM	martigues
(	PUN	(
n	VER:pper	n
)	PUN	)
-	PUN	-
sedan	NOM	sedan
(	PUN	(
l	VER:simp	l
1)	ADJ	1)
armentières	NOM	armentières
(	PUN	(
cfa	VER:simp	cfa
2)	NOM	2)
-	PUN	-
bordeaux	NOM	bordeau|bordeaux
(	PUN	(
l	VER:simp	l
1)	NOM	1)
