metz	ABR	metz
luxembourg	NOM	luxembourg
,	PUN	,
ainsi	KON	ainsi
que	PRO:REL	que
l'	PRO:PER	la|le
a	VER:pres	avoir
320	NUM	@card@
entre	PRP	entre
freyming-merlebach	NOM	freyming-merlebach
(	PUN	(
moselle	ADJ	moselle
)	PUN	)
et	KON	et
la	DET:ART	le
frontière	NOM	frontière
allemande	ADJ	allemand
.	SENT	.
les	DET:ART	le
forces	NOM	force|forces
de	PRP	de
l'	DET:ART	le
ordre	NOM	ordre
ont	VER:pres	avoir
sillonné	VER:pper	sillonner
les	DET:ART	le
axes	NOM	axe
,	PUN	,
indiquant	VER:ppre	indiquer
aux	PRP:det	au
routiers	NOM	routier
les	DET:ART	le
aires	NOM	aire
de	PRP	de
stationnement	NOM	stationnement
les	DET:ART	le
plus	ADV	plus
proches	ADJ	proche
.	SENT	.
a	VER:pres	avoir
16	NUM	@card@
h	ABR	heure
,	PUN	,
la	DET:ART	le
mesure	NOM	mesure
a	VER:pres	avoir
été	VER:pper	être
levée	VER:pper	lever
partout	ADV	partout
,	PUN	,
à	PRP	à
l'	DET:ART	le
exception	NOM	exception
du	PRP:det	du
département	NOM	département
du	PRP:det	du
bas-rhin	NOM	bas-rhin
où	PRO:REL	où
des	PRP:det	du
aires	NOM	aire
de	PRP	de
stockage	NOM	stockage
ont	VER:pres	avoir
été	VER:pper	être
mises	VER:pper	mettre
en	PRP	en
place	NOM	place
sur	PRP	sur
l'	PRO:PER	la|le
a	VER:pres	avoir
4	NUM	@card@
à	PRP	à
schwindratzheim	NOM	schwindratzheim
et	KON	et
saverne	NOM	saverne
,	PUN	,
sur	PRP	sur
l'	PRO:PER	la|le
a	VER:pres	avoir
5	NUM	@card@
à	PRP	à
lauterbourg	NOM	lauterbourg
,	PUN	,
sur	PRP	sur
la	DET:ART	le
rd	NOM	rd
4	NUM	@card@
à	PRP	à
bienheim	NOM	bienheim
,	PUN	,
la	DET:ART	le
rd	NOM	rd
2	NUM	@card@
à	PRP	à
gambsheim	NOM	gambsheim
,	PUN	,
sur	PRP	sur
la	DET:ART	le
rn	NOM	rn
83	NUM	@card@
à	PRP	à
sélestat	NOM	sélestat
,	PUN	,
ainsi	KON	ainsi
qu'	KON	que
à	PRP	à
proximité	NOM	proximité
des	PRP:det	du
deux	NUM	deux
principaux	ADJ	principal
ponts	NOM	pont
de	PRP	de
franchissement	NOM	franchissement
du	PRP:det	du
rhin	NOM	rhin
.	SENT	.
peu	ADV	peu
après	PRP	après
18	NUM	@card@
h	ABR	heure
,	PUN	,
la	DET:ART	le
circulation	NOM	circulation
des	PRP:det	du
poids	NOM	poids
lourds	ADJ	lourd
pouvait	VER:impf	pouvoir
à	PRP	à
son	DET:POS	son
tour	NOM	tour
reprendre	VER:infi	reprendre
dans	PRP	dans
ce	PRO:DEM	ce
département	NOM	département
,	PUN	,
toujours	ADV	toujours
par	PRP	par
groupes	NOM	groupe
de	PRP	de
40	NUM	@card@
à	PRP	à
50	NUM	@card@
avec	PRP	avec
cependant	ADV	cependant
interdiction	NOM	interdiction
de	PRP	de
doubler	VER:infi	doubler
.	SENT	.
