animations	NOM	animation
10	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h	ABR	heure
30	NUM	@card@
au	PRP:det	au
guichet	NOM	guichet
nord-ouest	ADJ	nord-ouest
(	PUN	(
côté	NOM	côté
avenue	ADJ	avenu
chabaud	ADJ	chabaud
).	NOM	).
a	VER:pres	avoir
compter	VER:infi	compter
de	PRP	de
19	NUM	@card@
h	ABR	heure
jusqu'au	NOM	jusqu'au
début	NOM	début
du	PRP:det	du
match	NOM	match
à	PRP	à
tous	PRO:IND	tout
les	DET:ART	le
guichets	NOM	guichet
du	PRP:det	du
stade	NOM	stade
bonal	ADJ	bonal
.	SENT	.
le	DET:ART	le
prix	NOM	prix
des	PRP:det	du
places	NOM	place
sera	VER:futu	être
de	PRP	de
8	NUM	@card@
	NOM	
(	PUN	(
en	PRP	en
populaires	ADJ	populaire
),	NOM	),
11	NUM	@card@
	NOM	
(	PUN	(
en	PRP	en
secondes	NUM	second
),	ABR	),
16	NUM	@card@
	NOM	
(	PUN	(
en	PRP	en
latérales	ADJ	latéral
),	NOM	),
24	NUM	@card@
	NOM	
(	PUN	(
en	PRP	en
forges	NOM	forge
)	PUN	)
et	KON	et
32	NUM	@card@
	NOM	
(	PUN	(
en	PRP	en
présidentielles	ADJ	présidentiel
).	NOM	).
le	DET:ART	le
prix	NOM	prix
d'	PRP	de
un	DET:ART	un
demi-tarif	NOM	demi-tarif
est	VER:pres	être
divisé	VER:pper	diviser
par	PRP	par
deux	NUM	deux
.	SENT	.
par	PRP	par
ailleurs	ADV	ailleurs
,	PUN	,
la	DET:ART	le
billetterie	NOM	billetterie
pour	PRP	pour
le	DET:ART	le
match	NOM	match
sochaux	ADJ	sochaux
-	PUN	-
ajaccio	NOM	ajaccio
de	PRP	de
ligue	NOM	ligue
1	NUM	@card@
(	PUN	(
mercredi	NOM	mercredi
5	NUM	@card@
février	NOM	février
à	PRP	à
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
)	PUN	)
aura	VER:futu	avoir
lieu	NOM	lieu
du	PRP:det	du
jeudi	NOM	jeudi
30	NUM	@card@
janvier	NOM	janvier
au	PRP:det	au
samedi	NOM	samedi
1	NUM	@card@
e	NOM	e
r	VER:subi	r
février	NOM	février
,	PUN	,
lundi	NOM	lundi
3	NUM	@card@
et	KON	et
mardi	NOM	mardi
4	NUM	@card@
février	NOM	février
,	PUN	,
de	PRP	de
10	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h	ABR	heure
,	PUN	,
à	PRP	à
la	DET:ART	le
boutique	NOM	boutique
«	PUN:cit	«
planète	VER:pres	planeter
fcsm	NOM	fcsm
»	PUN:cit	»
et	KON	et
mercredi	NOM	mercredi
5	NUM	@card@
février	NOM	février
,	PUN	,
jour	NOM	jour
du	PRP:det	du
match	NOM	match
,	PUN	,
de	PRP	de
10	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h	ABR	heure
30	NUM	@card@
au	PRP:det	au
guichet	NOM	guichet
nord-ouest	ADJ	nord-ouest
(	PUN	(
côté	NOM	côté
avenue	ADJ	avenu
chabaud	ADJ	chabaud
)	PUN	)
;	PUN	;
à	PRP	à
compter	VER:infi	compter
de	PRP	de
19	NUM	@card@
h	ABR	heure
à	PRP	à
tous	PRO:IND	tout
les	DET:ART	le
guichets	NOM	guichet
du	PRP:det	du
stade	NOM	stade
bonal	ADJ	bonal
.	SENT	.
