qui	PRO	qui
.	SENT	.
la	DET:ART	le
voici	ADV	voici
écrivain	NOM	écrivain
.	SENT	.
avec	PRP	avec
le	DET:ART	le
même	ADJ	même
bonheur	NOM	bonheur
qu'	PRO:REL	que
elle	PRO:PER	elle
a	VER:pres	avoir
été	VER:pper	être
amazone	NOM	amazone
,	PUN	,
chantre	NOM	chantre
du	PRP:det	du
terroir	NOM	terroir
des	PRP:det	du
vosges	ADJ	vosges
,	PUN	,
ethnologue	NOM	ethnologue
de	PRP	de
la	DET:ART	le
belle	ADJ	beau
epoque	NOM	epoque
et	KON	et
de	PRP	de
la	DET:ART	le
famille	NOM	famille
.	SENT	.
enthousiaste	NOM	enthousiaste
,	PUN	,
elle	PRO:PER	elle
s'	PRO:PER	se
est	VER:pres	être
lancée	VER:pper	lancer
à	PRP	à
l'	DET:ART	le
abordage	NOM	abordage
de	PRP	de
l'	DET:ART	le
histoire	NOM	histoire
des	PRP:det	du
transatlantiques	ADJ	transatlantique
.	SENT	.
un	DET:ART	un
thème	NOM	thème
ressassé	VER:pper	ressasser
après	PRP	après
le	DET:ART	le
triomphe	NOM	triomphe
sans	PRP	sans
mélange	NOM	mélange
du	PRP:det	du
titanic	NOM	titanic
.	SENT	.
pourtant	ADV	pourtant
,	PUN	,
«	PUN:cit	«
ouest	ADJ	ouest
france	NOM	france
»	PUN:cit	»
a	VER:pres	avoir
dû	VER:pper	devoir
procéder	VER:infi	procéder
en	PRP	en
toute	PRO:IND	tout
hâte	NOM	hâte
à	PRP	à
une	DET:ART	un
nouvelle	ADJ	nouveau
édition	NOM	édition
.	SENT	.
il	PRO:PER	il
faut	VER:pres	falloir
dire	VER:infi	dire
qu'	KON	que
entre-temps	ADV	entre-temps
,	PUN	,
l'	DET:ART	le
ouvrage	NOM	ouvrage
a	VER:pres	avoir
remporté	VER:pper	remporter
le	DET:ART	le
prix	NOM	prix
du	PRP:det	du
salon	NOM	salon
nautique	ADJ	nautique
international	ADJ	international
de	PRP	de
paris	NOM	pari
!	SENT	!
«	PUN:cit	«
je	PRO:PER	je
ne	ADV	ne
m'	PRO:PER	me
y	PRO:PER	y
attendais	VER:impf	attendre
pas	ADV	pas
,	PUN	,
ç'	NOM	ç'
a	VER:pres	avoir
été	VER:pper	être
une	DET:ART	un
grande	ADJ	grand
surprise	NOM	surprise
,	PUN	,
un	DET:ART	un
bonheur	NOM	bonheur
!	SENT	!
»,	NOM	»,
savoure	VER:pres	savourer
l'	DET:ART	le
auteur	NOM	auteur
,	PUN	,
couronné	VER:pper	couronner
par	PRP	par
le	DET:ART	le
jury	NOM	jury
des	PRP:det	du
grandes	ADJ	grand
ecoles	NOM	ecoles
.	SENT	.
«	PUN:cit	«
il	PRO:PER	il
y	PRO:PER	y
a	VER:pres	avoir
un	DET:ART	un
siècle	NOM	siècle
,	PUN	,
les	DET:ART	le
paquebots	NOM	paquebot
transatlantiques	ADJ	transatlantique
,	PUN	,
rêves	NOM	rêve
et	KON	et
tragédies	NOM	tragédie
»	PUN:cit	»
editions	NOM	editions
ouest-france	NOM	ouest-france
.	SENT	.
