lors	ADV	lors
:	PUN	:
0,25	NUM	@card@
euros	NOM	euro
le	DET:ART	le
m	NOM	m
3.	PRP:det	@ord@
bois	NOM	bois
de	PRP	de
chauffage	NOM	chauffage
:	PUN	:
hêtre	NOM	hêtre
22,40	NUM	@card@
euros	NOM	euro
ht	VER:subi	ht
le	DET:ART	le
stère	NOM	stère
-	PUN	-
chêne	NOM	chêne
19	NUM	@card@
50	NUM	@card@
euros	NOM	euro
ht	VER:subi	ht
le	DET:ART	le
stère	NOM	stère
-	PUN	-
divers	ADJ	divers
15,17	NUM	@card@
euros	NOM	euro
ht	VER:subi	ht
le	DET:ART	le
stère	NOM	stère
-	PUN	-
piquets	NOM	piquet
26,73	NUM	@card@
ht	VER:simp	ht
le	DET:ART	le
stère	NOM	stère
.	SENT	.
redevance	NOM	redevance
d'	PRP	de
occupation	NOM	occupation
de	PRP	de
terrain	NOM	terrain
:	PUN	:
35	NUM	@card@
euros/an	NOM	euros/an
.	SENT	.
subvention	NOM	subvention
à	PRP	à
association	NOM	association
:	PUN	:
la	DET:ART	le
mjc	NOM	mjc
de	PRP	de
cirey	NOM	cirey
se	PRO:PER	se
voit	VER:pres	voir
octroyer	VER:infi	octroyer
une	DET:ART	un
subvention	NOM	subvention
de	PRP	de
100	NUM	@card@
euros	NOM	euro
en	PRP	en
soutien	NOM	soutien
à	PRP	à
l'	DET:ART	le
organisation	NOM	organisation
du	PRP:det	du
festival	NOM	festival
de	PRP	de
théâtre	NOM	théâtre
2003	NUM	@card@
dont	PRO:REL	dont
une	DET:ART	un
représentation	NOM	représentation
sera	VER:futu	être
décentralisée	VER:pper	décentraliser
à	PRP	à
tanconville	NOM	tanconville
.	SENT	.
coupes	NOM	coupe
de	PRP	de
bois	NOM	bois
2003	NUM	@card@
:	PUN	:
pour	PRP	pour
2003	NUM	@card@
les	DET:ART	le
coupes	NOM	coupe
de	PRP	de
bois	NOM	bois
9,13	NUM	@card@
et	KON	et
14	NUM	@card@
seront	VER:futu	être
vendues	VER:pper	vendre
en	PRP	en
bloc	NOM	bloc
et	KON	et
sur	PRP	sur
pied	NOM	pied
.	SENT	.
sictom	NOM	sictom
1	NUM	@card@
dissolution	NOM	dissolution
:	PUN	:
avis	NOM	avis
favorable	ADJ	favorable
est	VER:pres	être
donné	VER:pper	donner
à	PRP	à
la	DET:ART	le
dissolution	NOM	dissolution
du	PRP:det	du
sictom	NOM	sictom
1	NUM	@card@
ainsi	KON	ainsi
qu'	KON	que
aux	PRP:det	au
modalités	NOM	modalité
de	PRP	de
répartition	NOM	répartition
de	PRP	de
l'	DET:ART	le
éventuel	ADJ	éventuel
excédent	NOM	excédent
à	PRP	à
la	DET:ART	le
clôture	NOM	clôture
de	PRP	de
l'	DET:ART	le
exercice	NOM	exercice
2002	NUM	@card@
projet	NOM	projet
acquisition	NOM	acquisition
d'	PRP	de
une	DET:ART	un
forêt	NOM	forêt
:	PUN	:
accord	NOM	accord
de	PRP	de
principe	NOM	principe
est	VER:pres	être
donné	VER:pper	donner
pour	PRP	pour
l'	DET:ART	le
option	NOM	option
d'	PRP	de
achat	NOM	achat
d'	PRP	de
un	DET:ART	un
terrain	NOM	terrain
boisé	ADJ	boisé
,	PUN	,
d'	PRP	de
une	DET:ART	un
surface	NOM	surface
de	PRP	de
151,87	NUM	@card@
ha	ABR	ha
.	SENT	.
