aujourd'hui	ADV	aujourd'hui
h	ABR	heure
:	PUN	:
spectacles	NOM	spectacle
de	PRP	de
rue	NOM	rue
sur	PRP	sur
la	DET:ART	le
place	NOM	place
maginot	NOM	maginot
et	KON	et
dans	PRP	dans
le	DET:ART	le
parc	NOM	parc
de	PRP	de
la	DET:ART	le
pépinière	NOM	pépinière
.	SENT	.
20	NUM	@card@
h	ABR	heure
:	PUN	:
«	PUN:cit	«
les	DET:ART	le
amants	NOM	amant
du	PRP:det	du
métro	NOM	métro
»	PUN:cit	»
de	PRP	de
jean	NOM	jean
tardieu	ADJ	tardieu
au	PRP:det	au
théâtre	NOM	théâtre
de	PRP	de
la	DET:ART	le
manufacture	NOM	manufacture
,	PUN	,
interprété	VER:pper	interpréter
par	PRP	par
la	DET:ART	le
troupe	NOM	troupe
de	PRP	de
théâtre	NOM	théâtre
de	PRP	de
l'	DET:ART	le
inh	NOM	inh
.	SENT	.
vendredi	NOM	vendredi
7	NUM	@card@
février	NOM	février
:	PUN	:
15	NUM	@card@
h	ABR	heure
:	PUN	:
spectacles	NOM	spectacle
de	PRP	de
rue	NOM	rue
sur	PRP	sur
la	DET:ART	le
place	NOM	place
maginot	NOM	maginot
et	KON	et
dans	PRP	dans
le	DET:ART	le
parc	NOM	parc
de	PRP	de
la	DET:ART	le
pépinière	NOM	pépinière
.	SENT	.
20	NUM	@card@
h	ABR	heure
:	PUN	:
«	PUN:cit	«
l'	DET:ART	le
epidémie	NOM	epidémie
»	PUN:cit	»
d'	DET:ART	de
agota	VER:simp	agota
kristof	NOM	kristof
au	PRP:det	au
théâtre	NOM	théâtre
de	PRP	de
la	DET:ART	le
manufacture	NOM	manufacture
,	PUN	,
interprété	VER:pper	interpréter
par	PRP	par
la	DET:ART	le
troupe	NOM	troupe
de	PRP	de
théâtre	NOM	théâtre
de	PRP	de
l'	DET:ART	le
enitiaa	NOM	enitiaa
.	SENT	.
22	NUM	@card@
h	ABR	heure
:	PUN	:
«	PUN:cit	«
le	DET:ART	le
miroir	NOM	miroir
concave	ADJ	concave
»	PUN:cit	»
de	PRP	de
courteline	NOM	courteline
au	PRP:det	au
théâtre	NOM	théâtre
de	PRP	de
la	DET:ART	le
manufacture	NOM	manufacture
,	PUN	,
interprété	VER:pper	interpréter
par	PRP	par
la	DET:ART	le
troupe	NOM	troupe
de	PRP	de
théâtre	NOM	théâtre
de	PRP	de
l'	DET:ART	le
ensat	NOM	ensat
.	SENT	.
samedi	NOM	samedi
8	NUM	@card@
février	NOM	février
:	PUN	:
15	NUM	@card@
h	ABR	heure
:	PUN	:
spectacles	NOM	spectacle
de	PRP	de
rue	NOM	rue
sur	PRP	sur
la	DET:ART	le
place	NOM	place
maginot	NOM	maginot
et	KON	et
dans	PRP	dans
le	DET:ART	le
parc	NOM	parc
de	PRP	de
la	DET:ART	le
pépinière	NOM	pépinière
.	SENT	.
20	NUM	@card@
h	ABR	heure
:	PUN	:
match	NOM	match
d'	PRP	de
improvisation	NOM	improvisation
au	PRP:det	au
théâtre	NOM	théâtre
de	PRP	de
la	DET:ART	le
manufacture	NOM	manufacture
.	SENT	.
