quelques	PRO:IND	quelque
des	PRP:det	du
sports	NOM	sport
de	PRP	de
la	DET:ART	le
ville	NOM	ville
de	PRP	de
nancy	NOM	nancy
,	PUN	,
41	NUM	@card@
rue	NOM	rue
du	PRP:det	du
sergent-blandan	NOM	sergent-blandan
,	PUN	,
tél	ABR	téléphone
.	SENT	.
03.83	NUM	@card@
.	SENT	.
40.08	NUM	@card@
.	SENT	.
51	NUM	@card@
