besançon	NOM	besançon
sandonna	NOM	sandonna
(	PUN	(
pontarlier	NOM	pontarlier
)	PUN	)
;	PUN	;
2	NUM	@card@
f.	ABR	f.
schwob	NOM	schwob
(	PUN	(
pontarlier	NOM	pontarlier
)	PUN	)
;	PUN	;
3	NUM	@card@
p.	ABR	p.
schwob	NOM	schwob
(	PUN	(
pontarlier	NOM	pontarlier
).	VER:pper	).
par	PRP	par
équipes	NOM	équipe
collèges	NOM	collège
:	PUN	:
1	NUM	@card@
les	DET:ART	le
rousses	NOM	rousse
(	PUN	(
1	NUM	@card@
)	PUN	)
159,07	NUM	@card@
pts	NOM	pts
(	PUN	(
q	NOM	q
)	PUN	)
;	PUN	;
2	NUM	@card@
les	DET:ART	le
rousses	NOM	rousse
(	PUN	(
2	NUM	@card@
)	PUN	)
171,65	NUM	@card@
pts	NOM	pts
(	PUN	(
q	NOM	q
)	PUN	)
;	PUN	;
3	NUM	@card@
les	DET:ART	le
rousses	NOM	rousse
(	PUN	(
3	NUM	@card@
)	PUN	)
178,61	NUM	@card@
pts	NOM	pts
;	PUN	;
4	NUM	@card@
mont	NOM	mont
miroir	NOM	miroir
maîche	VER:pres	maîche
183,67	NUM	@card@
pts	NOM	pts
;	PUN	;
5	NUM	@card@
bouquet	NOM	bouquet
morteau	NOM	morteau
212,85	NUM	@card@
pts	NOM	pts
.	SENT	.
par	PRP	par
équipes	NOM	équipe
lycées	NOM	lycée
:	PUN	:
1	NUM	@card@
xavier	NOM	xavier
marmier	NOM	marmier
pontarlier	NOM	pontarlier
(	PUN	(
q	NOM	q
).	ADJ	).
masculins	ADJ	masculin
:	PUN	:
benjamins	NOM	benjamin
:	PUN	:
1	NUM	@card@
perrin	NOM	perrin
(	PUN	(
les	DET:ART	le
rousses	NOM	rousse
)	PUN	)
;	PUN	;
2	NUM	@card@
dumon-fillon	NOM	dumon-fillon
(	PUN	(
les	DET:ART	le
rousses	NOM	rousse
)	PUN	)
;	PUN	;
3	NUM	@card@
rosiet	NOM	rosiet
(	PUN	(
pontarlier	NOM	pontarlier
).	ADJ	).
minimes	ADJ	minime
:	PUN	:
1	NUM	@card@
richard	NOM	richard
(	PUN	(
saint-laurent	ADJ	saint-laurent
)	PUN	)
;	PUN	;
2	NUM	@card@
charnet	NOM	charnet
(	PUN	(
les	DET:ART	le
rousses	NOM	rousse
)	PUN	)
;	PUN	;
3	NUM	@card@
daclon	NOM	daclon
(	PUN	(
les	DET:ART	le
rousses	ADJ	roux
).	NOM	).
cadets	ADJ	cadet
:	PUN	:
1	NUM	@card@
grossiord	NOM	grossiord
(	PUN	(
les	DET:ART	le
rousses	NOM	rousse
)	PUN	)
;	PUN	;
2	NUM	@card@
cretin	NOM	cretin
(	PUN	(
les	DET:ART	le
rousses	NOM	rousse
)	PUN	)
;	PUN	;
3	NUM	@card@
mulet	NOM	mulet
(	PUN	(
les	DET:ART	le
rousses	NOM	rousse
).	ABR	).
juniors/seniors	NOM	juniors/seniors
:	PUN	:
1	NUM	@card@
saillard	NOM	saillard
(	PUN	(
pontarlier	NOM	pontarlier
)	PUN	)
;	PUN	;
2	NUM	@card@
dartevelle	NOM	dartevelle
(	PUN	(
morteau	NOM	morteau
)	PUN	)
;	PUN	;
3	NUM	@card@
bedouret	NOM	bedouret
(	PUN	(
pontarlier	NOM	pontarlier
).	VER:pper	).
par	PRP	par
équipe	NOM	équipe
collèges	NOM	collège
:	PUN	:
1	NUM	@card@
les	DET:ART	le
rousses	NOM	rousse
(	PUN	(
1	NUM	@card@
)	PUN	)
135,71	NUM	@card@
points	NOM	point
(	PUN	(
q	NOM	q
)	PUN	)
;	PUN	;
2	NUM	@card@
les	DET:ART	le
rousses	NOM	rousse
(	PUN	(
2	NUM	@card@
)	PUN	)
158,73	NUM	@card@
pts	NOM	pts
(	PUN	(
q	NOM	q
)	PUN	)
;	PUN	;
3	NUM	@card@
bouvier	NOM	bouvier
saint-laurent	ADJ	saint-laurent
162,53	NUM	@card@
pts	NOM	pts
;	PUN	;
4	NUM	@card@
les	DET:ART	le
rousses	NOM	rousse
(	PUN	(
3	NUM	@card@
)	PUN	)
167	NUM	@card@
pts	NOM	pts
;	PUN	;
6	NUM	@card@
les	DET:ART	le
augustins	ADJ	augustin
pontarlier	NOM	pontarlier
170,26	NUM	@card@
pts	NOM	pts
;	PUN	;
6	NUM	@card@
la	DET:ART	le
source	NOM	source
mouthe	ADJ	mouthe
176,96	NUM	@card@
pts	NOM	pts
;	PUN	;
7	NUM	@card@
bouquet	NOM	bouquet
(	PUN	(
1	NUM	@card@
)	PUN	)
morteau	NOM	morteau
182,20	NUM	@card@
pts	NOM	pts
;	PUN	;
8	NUM	@card@
jeanne	NOM	jeanne
d'	PRP	de
arc	NOM	arc
morteau	NOM	morteau
189,32	NUM	@card@
pts	NOM	pts
;	PUN	;
9	NUM	@card@
malraux	ADJ	malraux
pontarlier	NOM	pontarlier
202,19	NUM	@card@
pts	NOM	pts
;	PUN	;
10	NUM	@card@
bouquet	NOM	bouquet
(	PUN	(
2	NUM	@card@
)	PUN	)
morteau	NOM	morteau
214,09	NUM	@card@
pts	NOM	pts
.	SENT	.
par	PRP	par
équipes	NOM	équipe
lycées	NOM	lycée
:	PUN	:
1	NUM	@card@
berard	NOM	berard
morez	ADJ	morez
(	PUN	(
q	NOM	q
)	PUN	)
;	PUN	;
2	NUM	@card@
edgar-faure	NOM	edgar-faure
morteau	NOM	morteau
(	PUN	(
q	NOM	q
)	PUN	)
;	PUN	;
3	NUM	@card@
toussaint	NOM	toussaint
louverture	NOM	louverture
(	PUN	(
pontarlier	NOM	pontarlier
)	PUN	)
;	PUN	;
4	NUM	@card@
xavier-marmier	NOM	xavier-marmier
(	PUN	(
pontarlier	NOM	pontarlier
).	ADJ	).
