paio	NOM	paio
;	PUN	;
de	PRP	de
18	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
seniors	NOM	senior
féminines	ADJ	féminin
;	PUN	;
de	PRP	de
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
22	NUM	@card@
h	ABR	heure
,	PUN	,
seniors	NOM	senior
masculin	ADJ	masculin
a.	VER:simp	a.
judo	NOM	judo
.	SENT	.
au	PRP:det	au
complexe	NOM	complexe
sportif	ADJ	sportif
de	PRP	de
17	NUM	@card@
h	ABR	heure
15	NUM	@card@
à	PRP	à
18	NUM	@card@
h	ABR	heure
15	NUM	@card@
pour	PRP	pour
les	DET:ART	le
6	NUM	@card@
-	PUN	-
9	NUM	@card@
ans	NOM	an
;	PUN	;
de	PRP	de
18	NUM	@card@
h	ABR	heure
15	NUM	@card@
à	PRP	à
19	NUM	@card@
h	ABR	heure
30	NUM	@card@
pour	PRP	pour
les	DET:ART	le
10	NUM	@card@
-	PUN	-
14	NUM	@card@
ans	NOM	an
.	SENT	.
tennis	NOM	tennis
de	PRP	de
table	NOM	table
.	SENT	.
entraînement	NOM	entraînement
pour	PRP	pour
les	DET:ART	le
adultes	NOM	adulte
de	PRP	de
20	NUM	@card@
h	ABR	heure
à	PRP	à
22	NUM	@card@
h	ABR	heure
,	PUN	,
au	PRP:det	au
complexe	NOM	complexe
sportif	ADJ	sportif
.	SENT	.
activités	NOM	activité
mcl	NOM	mcl
vitrail	NOM	vitrail
,	PUN	,
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h	ABR	heure
et	KON	et
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h	ABR	heure
;	PUN	;
dentelle	NOM	dentelle
aux	PRP:det	au
fuseaux	NOM	fuseau
,	PUN	,
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h	ABR	heure
;	PUN	;
peinture	NOM	peinture
sur	PRP	sur
soie	NOM	soie
,	PUN	,
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h	ABR	heure
;	PUN	;
danse	NOM	danse
rythmique	ADJ	rythmique
,	PUN	,
de	PRP	de
17	NUM	@card@
h	ABR	heure
15	NUM	@card@
à	PRP	à
18	NUM	@card@
h	ABR	heure
15	NUM	@card@
pour	PRP	pour
les	DET:ART	le
5	NUM	@card@
-	PUN	-
6	NUM	@card@
ans	NOM	an
;	PUN	;
gymnastique	NOM	gymnastique
rythmique	ADJ	rythmique
et	KON	et
sportive	ADJ	sportif
,	PUN	,
de	PRP	de
18	NUM	@card@
h	ABR	heure
15	NUM	@card@
à	PRP	à
19	NUM	@card@
h	ABR	heure
45	NUM	@card@
pour	PRP	pour
les	DET:ART	le
10	NUM	@card@
ans	NOM	an
et	KON	et
plus	ADV	plus
;	PUN	;
danse	NOM	danse
contemporaine	ADJ	contemporain
,	PUN	,
de	PRP	de
19	NUM	@card@
h	ABR	heure
45	NUM	@card@
à	PRP	à
21	NUM	@card@
h	ABR	heure
15	NUM	@card@
pour	PRP	pour
les	DET:ART	le
adultes	NOM	adulte
.	SENT	.
multimédia	ADJ	multimédia
.	SENT	.
de	PRP	de
14	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
16	NUM	@card@
h	ABR	heure
et	KON	et
de	PRP	de
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
22	NUM	@card@
h.	ABR	h.
théâtre	NOM	théâtre
.	SENT	.
répétitions	NOM	répétition
de	PRP	de
la	DET:ART	le
troupe	NOM	troupe
«	PUN:cit	«
les	DET:ART	le
didascalies	NOM	didascalie
»	PUN:cit	»
à	PRP	à
partir	VER:infi	partir
de	PRP	de
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
l'	DET:ART	le
ancien	ADJ	ancien
dojo	NOM	dojo
.	SENT	.
renseignements	NOM	renseignement
sur	PRP	sur
place	NOM	place
.	SENT	.
scrabble	NOM	scrabble
.	SENT	.
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
16	NUM	@card@
h	ABR	heure
30	NUM	@card@
au	PRP:det	au
local	NOM	local
du	PRP:det	du
club	NOM	club
,	PUN	,
à	PRP	à
la	DET:ART	le
maison	NOM	maison
des	PRP:det	du
associations	NOM	association
rue	NOM	rue
du	PRP:det	du
dauphiné	NOM	dauphiné
.	SENT	.
