chaque	PRO:IND	chaque
.	SENT	.
«	PUN:cit	«
il	PRO:PER	il
y	PRO:PER	y
a	VER:pres	avoir
un	DET:ART	un
terrain	NOM	terrain
très	ADV	très
large	ADJ	large
derrière	PRP	derrière
qui	PRO:REL	qui
aurait	VER:cond	avoir
pu	VER:pper	pouvoir
permettre	VER:infi	permettre
de	PRP	de
reculer	VER:infi	reculer
le	DET:ART	le
préau	NOM	préau
et	KON	et
ainsi	ADV	ainsi
de	PRP	de
ne	ADV	ne
pas	ADV	pas
amputer	VER:infi	amputer
le	DET:ART	le
terrain	NOM	terrain
de	PRP	de
sport	NOM	sport
de	PRP	de
la	DET:ART	le
cour	NOM	cour
.	SENT	.
»	PUN:cit	»
pour	PRP	pour
l'	DET:ART	le
instant	NOM	instant
,	PUN	,
les	DET:ART	le
écoliers	NOM	écolier
qui	PRO:REL	qui
étaient	VER:impf	être
heureux	ADJ	heureux
de	PRP	de
poser	VER:infi	poser
pour	PRP	pour
la	DET:ART	le
photo	NOM	photo
,	PUN	,
se	PRO:PER	se
sont	VER:pres	être
bien	ADV	bien
vite	ADV	vite
rentrés	VER:pper	rentrer
en	PRP	en
classe	NOM	classe
pour	PRP	pour
parler	VER:infi	parler
géographie	NOM	géographie
,	PUN	,
notamment	ADV	notamment
pour	PRP	pour
étudier	VER:infi	étudier
la	DET:ART	le
différence	NOM	différence
entre	PRP	entre
la	DET:ART	le
meuse	NOM	meuse
et	KON	et
ce	PRO:DEM	ce
petit	ADJ	petit
coin	NOM	coin
des	PRP:det	du
alpes	NOM	alpe
où	PRO:REL	où
ils	PRO:PER	il
vont	VER:pres	aller
bientôt	ADV	bientôt
partir	VER:infi	partir
pour	PRP	pour
une	DET:ART	un
semaine	NOM	semaine
en	PRP	en
classe	NOM	classe
de	PRP	de
neige	NOM	neige
.	SENT	.
là-bas	ADV	là-bas
,	PUN	,
pas	ADV	pas
question	NOM	question
de	PRP	de
préau	NOM	préau
,	PUN	,
l'	DET:ART	le
essentiel	NOM	essentiel
,	PUN	,
ce	PRO:DEM	ce
sera	VER:futu	être
la	DET:ART	le
neige	NOM	neige
!	SENT	!
