epinal	NOM	epinal
de	PRP	de
17	NUM	@card@
h	ABR	heure
à	PRP	à
22	NUM	@card@
h.	ABR	h.
xonrupt-longemer	NOM	xonrupt-longemer
.	SENT	.
le	DET:ART	le
poli	NOM	poli
,	PUN	,
ouverture	NOM	ouverture
probable	ADJ	probable
ce	PRO:DEM	ce
mercredi	NOM	mercredi
.	SENT	.
saint-maurice-sur-moselle	NOM	saint-maurice-sur-moselle
.	SENT	.
le	DET:ART	le
rouge	ADJ	rouge
gazon	NOM	gazon
.	SENT	.
la	DET:ART	le
station	NOM	station
est	VER:pres	être
ouverte	VER:pper	ouvrir
ce	PRO:DEM	ce
mercredi	NOM	mercredi
avec	PRP	avec
sept	NUM	sept
pistes	NOM	piste
.	SENT	.
ventron	NOM	ventron
.	SENT	.
ermitage	NOM	ermitage
frère-joseph	NOM	frère-joseph
:	PUN	:
la	DET:ART	le
station	NOM	station
est	VER:pres	être
ouverte	VER:pper	ouvrir
avec	PRP	avec
la	DET:ART	le
piste	NOM	piste
bleue	ADJ	bleu
thérèse-leduc	NOM	thérèse-leduc
,	PUN	,
la	DET:ART	le
piste	NOM	piste
rouge	ADJ	rouge
capatte	NOM	capatte
et	KON	et
les	DET:ART	le
pistes	NOM	piste
écoles	NOM	école
1	NUM	@card@
et	KON	et
2	NUM	@card@
et	KON	et
le	DET:ART	le
jardin	NOM	jardin
d'	PRP	de
enfants	NOM	enfant
.	SENT	.
ballon	NOM	ballon
d'	PRP	de
alsace	NOM	alsace
.	SENT	.
les	DET:ART	le
pistes	NOM	piste
verte	ADJ	vert
et	KON	et
bleue	ADJ	bleu
de	PRP	de
la	DET:ART	le
gentiane	NOM	gentiane
sont	VER:pres	être
ouvertes	VER:pper	ouvrir
.	SENT	.
le	DET:ART	le
champ	NOM	champ
du	PRP:det	du
feu	NOM	feu
.	SENT	.
les	DET:ART	le
remontées	NOM	remontée
mécaniques	ADJ	mécanique
de	PRP	de
la	DET:ART	le
serva	NOM	serva
fonctionnent	VER:pres	fonctionner
.	SENT	.
lac	NOM	lac
blanc	ADJ	blanc
.	SENT	.
la	DET:ART	le
station	NOM	station
est	VER:pres	être
ouverte	VER:pper	ouvrir
tous	PRO:IND	tout
les	DET:ART	le
jours	NOM	jour
avec	PRP	avec
les	DET:ART	le
pistes	NOM	piste
vertes	ADJ	vert
:	PUN	:
carrefour	NOM	carrefour
1	NUM	@card@
et	KON	et
2	NUM	@card@
baby	NOM	baby
et	KON	et
bichette	NOM	bichette
et	KON	et
deux	NUM	deux
pistes	NOM	piste
rouges	ADJ	rouge
:	PUN	:
montjoie	NOM	montjoie
et	KON	et
stade	NOM	stade
de	PRP	de
slalom	NOM	slalom
,	PUN	,
et	KON	et
le	DET:ART	le
jardin	NOM	jardin
d'	PRP	de
enfants	NOM	enfant
.	SENT	.
ski	NOM	ski
nocturne	ADJ	nocturne
vendredi	NOM	vendredi
et	KON	et
samedi	NOM	samedi
,	PUN	,
de	PRP	de
17	NUM	@card@
h	ABR	heure
à	PRP	à
22	NUM	@card@
h.	ABR	h.
markstein	NOM	markstein
.	SENT	.
la	DET:ART	le
station	NOM	station
est	VER:pres	être
ouverte	VER:pper	ouvrir
tous	PRO:IND	tout
les	DET:ART	le
jours	NOM	jour
avec	PRP	avec
les	DET:ART	le
pistes	NOM	piste
de	PRP	de
la	DET:ART	le
grenouillère	NOM	grenouillère
,	PUN	,
tremplin	NOM	tremplin
1	NUM	@card@
et	KON	et
2	NUM	@card@
et	KON	et
de	PRP	de
la	DET:ART	le
fédérale	ADJ	fédéral
.	SENT	.
ski	NOM	ski
nocturne	ADJ	nocturne
vendredi	NOM	vendredi
et	KON	et
samedi	NOM	samedi
de	PRP	de
18	NUM	@card@
h	ABR	heure
à	PRP	à
22	NUM	@card@
h.	ABR	h.
schnepfenried	VER:pres	schnepfenried
.	SENT	.
la	DET:ART	le
station	NOM	station
est	VER:pres	être
ouverte	VER:pper	ouvrir
partiellement	ADV	partiellement
tous	PRO:IND	tout
les	DET:ART	le
jours	NOM	jour
.	SENT	.
la	DET:ART	le
pratique	NOM	pratique
du	PRP:det	du
ski	NOM	ski
de	PRP	de
fond	NOM	fond
est	VER:pres	être
possible	ADJ	possible
sur	PRP	sur
les	DET:ART	le
domaines	NOM	domaine
suivant	VER:ppre	suivre
:	PUN	:
la	DET:ART	le
bresse-lispach	NOM	bresse-lispach
(	PUN	(
ouvert	VER:pper	ouvrir
avec	PRP	avec
la	DET:ART	le
piste	NOM	piste
rouge	ADJ	rouge
des	PRP:det	du
champy	NOM	champy
10	NUM	@card@
km	ABR	kilomètre
),	ABR	),
le	DET:ART	le
markstein	NOM	markstein
:	PUN	:
grand	ADJ	grand
ballon	NOM	ballon
,	PUN	,
le	DET:ART	le
markstein	NOM	markstein
,	PUN	,
breitfirst	NOM	breitfirst
,	PUN	,
et	KON	et
une	DET:ART	un
boucle	NOM	boucle
verte	ADJ	vert
,	PUN	,
le	DET:ART	le
champ	NOM	champ
du	PRP:det	du
feu	NOM	feu
,	PUN	,
le	DET:ART	le
lac	NOM	lac
blanc	ADJ	blanc
(	PUN	(
sur	PRP	sur
la	DET:ART	le
route	NOM	route
des	PRP:det	du
crêtes	NOM	crête
),	ADJ	),
le	PRO:PER	le
schnepfenried	VER:pres	schnepfenried
,	PUN	,
au	PRP:det	au
ballon	NOM	ballon
d'	PRP	de
alsace	NOM	alsace
(	PUN	(
domaine	NOM	domaine
ouvert	VER:pper	ouvrir
partiellement	ADV	partiellement
)	PUN	)
et	KON	et
aux	PRP:det	au
trois-fours	NOM	trois-fours
.	SENT	.
