lors	ADV	lors
:	PUN	:
c.	ABR	c.
kovacic	NOM	kovacic
,	PUN	,
b.	ABR	b.
girard	NOM	girard
,	PUN	,
p.	ABR	p.
jouffroy	NAM	jouffroy
,	PUN	,
e.	ABR	e.
heymann	NOM	heymann
,	PUN	,
p.	ABR	p.
baverel	NOM	baverel
et	KON	et
d.	ABR	d.
clément	ADJ	clément
.	SENT	.
-	PUN	-
bâtiments	NOM	bâtiment
:	PUN	:
p.	ABR	p.
baverel	NOM	baverel
,	PUN	,
d.	ABR	d.
delacroix	NOM	delacroix
,	PUN	,
p.	ABR	p.
jouffroy	NAM	jouffroy
,	PUN	,
c.	ABR	c.
gresset	NOM	gresset
et	KON	et
d.	ABR	d.
clément	ADJ	clément
.	SENT	.
-	PUN	-
ordures	NOM	ordure
ménagères	ADJ	ménager
:	PUN	:
d.	ABR	d.
delacroix	NOM	delacroix
,	PUN	,
n.	ABR	n.
corroyer	VER:infi	corroyer
.	SENT	.
-	PUN	-
communauté	NOM	communauté
de	PRP	de
communes	NOM	commune
:	PUN	:
le	DET:ART	le
maire	NOM	maire
a	VER:pres	avoir
proposé	VER:pper	proposer
des	PRP:det	du
délégués	NOM	délégué
pour	PRP	pour
représenter	VER:infi	représenter
la	DET:ART	le
commune	NOM	commune
dans	PRP	dans
les	DET:ART	le
différentes	ADJ	différent
commissions	NOM	commission
de	PRP	de
travail	NOM	travail
.	SENT	.
milieux	NOM	milieu
naturels	ADJ	naturel
:	PUN	:
p.	ABR	p.
jouffroy	NAM	jouffroy
.	SENT	.
ordures	NOM	ordure
ménagères	ADJ	ménager
:	PUN	:
d.	ABR	d.
delacroix	NOM	delacroix
.	SENT	.
assainissement	NOM	assainissement
:	PUN	:
c.	ABR	c.
kovacic	NOM	kovacic
et	KON	et
p.	ABR	p.
jouffroy	ADJ	jouffroy
.	SENT	.
développement	NOM	développement
économique	ADJ	économique
-	PUN	-
infrastructures	NOM	infrastructure
:	PUN	:
b.	ABR	b.
girard	NOM	girard
.	SENT	.
finances	NOM	finance
et	KON	et
écoles	NOM	école
:	PUN	:
a.	ABR	a.
geissbuhler	NOM	geissbuhler
.	SENT	.
sport	NOM	sport
,	PUN	,
animation	NOM	animation
,	PUN	,
tourisme	NOM	tourisme
,	PUN	,
ski-club	NOM	ski-club
,	PUN	,
pays	NOM	pays
:	PUN	:
c.	ABR	c.
kovacic	NOM	kovacic
et	KON	et
d.	VER:simp	d.
delacroix	NOM	delacroix
.	SENT	.
culture	NOM	culture
,	PUN	,
communication	NOM	communication
,	PUN	,
information	NOM	information
:	PUN	:
p.	ABR	p.
baverel	NOM	baverel
.	SENT	.
gestion	NOM	gestion
des	PRP:det	du
aires	NOM	aire
de	PRP	de
stockage	NOM	stockage
:	PUN	:
le	DET:ART	le
prix	NOM	prix
pratiqué	VER:pper	pratiquer
pour	PRP	pour
la	DET:ART	le
gestion	NOM	gestion
et	KON	et
le	DET:ART	le
suivi	NOM	suivi
des	PRP:det	du
aires	NOM	aire
de	PRP	de
stockage	NOM	stockage
était	VER:impf	être
de	PRP	de
2,29	NUM	@card@
	NOM	
le	DET:ART	le
m	NOM	m
3.	PRP	@ord@
l'	DET:ART	le
onf	NOM	onf
propose	VER:pres	proposer
de	PRP	de
passer	VER:infi	passer
à	PRP	à
1,80	NUM	@card@
	NOM	
pour	PRP	pour
la	DET:ART	le
période	NOM	période
2002	NUM	@card@
-	PUN	-
2004	NUM	@card@
décharge	NOM	décharge
municipale	ADJ	municipal
:	PUN	:
compte	VER:pres	compter
tenu	VER:pper	tenir
de	PRP	de
l'	DET:ART	le
organisation	NOM	organisation
régulière	ADJ	régulier
de	PRP	de
ramassages	NOM	ramassage
de	PRP	de
monstres	NOM	monstre
en	PRP	en
attendant	VER:ppre	attendre
la	DET:ART	le
construction	NOM	construction
prochaine	ADJ	prochain
de	PRP	de
déchetteries	NOM	déchetteries
sur	PRP	sur
le	DET:ART	le
secteur	NOM	secteur
,	PUN	,
l'	DET:ART	le
arrêté	NOM	arrêté
municipal	ADJ	municipal
réglementant	VER:ppre	réglementer
la	DET:ART	le
décharge	NOM	décharge
sera	VER:futu	être
réaffiché	VER:pper	réaffiché
.	SENT	.
il	PRO:PER	il
est	VER:pres	être
demandé	VER:pper	demander
aux	PRP:det	au
habitants	NOM	habitant
de	PRP	de
la	DET:ART	le
commune	NOM	commune
de	PRP	de
faire	VER:infi	faire
preuve	NOM	preuve
de	PRP	de
civisme	NOM	civisme
en	PRP	en
respectant	VER:ppre	respecter
cet	PRO:DEM	ce
arrêté	NOM	arrêté
.	SENT	.
