ah	INT	ah
la	DET:ART	le
montre	NOM	montre
avec	PRP	avec
un	DET:ART	un
certain	PRO:IND	certain
bon	ADJ	bon
sens	NOM	sen|sens
.	SENT	.
il	PRO:PER	il
donne	VER:pres	donner
aussi	ADV	aussi
l'	DET:ART	le
impression	NOM	impression
qu'	PRO:REL	que
il	PRO:PER	il
n'	ADV	ne
a	VER:pres	avoir
pas	ADV	pas
de	PRP	de
religion	NOM	religion
très	ADV	très
affirmée	VER:pper	affirmer
,	PUN	,
pour	PRP	pour
déminer	VER:infi	déminer
le	DET:ART	le
dossier	NOM	dossier
explosif	ADJ	explosif
qu'	PRO:REL	que
il	PRO:PER	il
manipule	VER:pres	manipuler
.	SENT	.
entre	PRP	entre
la	DET:ART	le
passage	NOM	passage
en	PRP	en
force	NOM	force
générateur	ADJ	générateur
de	PRP	de
crise	NOM	crise
aigue	ADJ	aigu
et	KON	et
le	DET:ART	le
souci	NOM	souci
de	PRP	de
préparer	VER:infi	préparer
un	DET:ART	un
édredon	NOM	édredon
pour	PRP	pour
amortir	VER:infi	amortir
le	DET:ART	le
choc	NOM	choc
,	PUN	,
jean-pierre	NOM	jean-pierre
raffarin	ADJ	raffarin
a	VER:pres	avoir
choisi	VER:pper	choisir
.	SENT	.
mais	KON	mais
en	PRP	en
adoptant	VER:ppre	adopter
la	DET:ART	le
méthode	NOM	méthode
douce	ADJ	doux
,	PUN	,
il	PRO:PER	il
ne	ADV	ne
fait	VER:pres	faire
que	KON	que
reculer	VER:infi	reculer
pour	PRP	pour
mieux	ADV	mieux
sauter	VER:infi	sauter
.	SENT	.
