m.	ABR	m.
un	DET:ART	un
jour	NOM	jour
donné	VER:pper	donner
,	PUN	,
que	KON	que
chacun	PRO:IND	chacun
joue	VER:pres	jouer
le	DET:ART	le
jeu	NOM	jeu
,	PUN	,
pour	PRP	pour
gagner	VER:infi	gagner
22	NUM	@card@
vies	NOM	vie
!	SENT	!
peut-être	ADV	peut-être
la	DET:ART	le
vôtre	PRO:POS	vôtre
,	PUN	,
la	DET:ART	le
mienne	PRO:POS	mien
,	PUN	,
un	DET:ART	un
parent	NOM	parent
...	PUN	...
mais	KON	mais
réellement	ADV	réellement
jouer	VER:infi	jouer
le	DET:ART	le
jeu	NOM	jeu
,	PUN	,
un	DET:ART	un
jour	NOM	jour
,	PUN	,
pour	PRP	pour
voir	VER:infi	voir
,	PUN	,
pas	ADV	pas
comme	ADV	comme
les	DET:ART	le
autres	ADJ	autre
journées	NOM	journée
nationales	ADJ	national
de	PRP	de
luttes	NOM	lutte
diverses	ADJ	divers
où	PRO:REL	où
la	DET:ART	le
désinvolture	NOM	désinvolture
éclate	VER:pres	éclater
,	PUN	,
elle	PRO:PER	elle
,	PUN	,
de	PRP	de
santé	NOM	santé
.	SENT	.
en	PRP	en
france	NOM	france
,	PUN	,
22	NUM	@card@
êtres	NOM	être|êtres
humains	ADJ	humain
sauvés	VER:pper	sauver
en	PRP	en
une	DET:ART	un
journée	NOM	journée
!	SENT	!
des	PRP:det	du
dizaines	NOM	dizaine
d'	PRP	de
autres	ADJ	autre
ne	ADV	ne
s'	PRO:PER	se
asseyant	VER:ppre	asseoir
pas	ADV	pas
dans	PRP	dans
un	DET:ART	un
fauteuil	NOM	fauteuil
roulant	ADJ	roulant
!	SENT	!
ne	ADV	ne
mélangeons	VER:pres	mélanger
pas	ADV	pas
les	DET:ART	le
catégories	NOM	catégorie
de	PRP	de
routes	NOM	route
ni	KON	ni
les	DET:ART	le
rouages	NOM	rouage
du	PRP:det	du
bons	ADJ	bon
sens	NOM	sen|sens
,	PUN	,
la	DET:ART	le
fatalité	NOM	fatalité
peut	VER:pres	pouvoir
,	PUN	,
sinon	KON	sinon
être	VER:infi	être
éradiquée	VER:pper	éradiquer
,	PUN	,
du	PRP:det	du
moins	ADV	moins
être	VER:infi	être
très	ADV	très
atténuée	VER:pper	atténuer
.	SENT	.
