ce	PRO:DEM	ce
lorsque	KON	lorsque
s'	PRO:PER	se
installe	VER:pres	installer
la	DET:ART	le
nuit	NOM	nuit
polaire	ADJ	polaire
,	PUN	,
mais	KON	mais
l'	DET:ART	le
hiver	NOM	hiver
sait	VER:pres	savoir
aussi	ADV	aussi
devenir	VER:infi	devenir
féerique	ADJ	féerique
quand	KON	quand
,	PUN	,
dans	PRP	dans
l'	DET:ART	le
immense	ADJ	immense
forêt	NOM	forêt
suédoise	ADJ	suédois
,	PUN	,
le	DET:ART	le
soleil	NOM	soleil
fait	VER:pres	faire
étinceler	VER:infi	étinceler
les	DET:ART	le
millions	NOM	million
de	PRP	de
sapins	NOM	sapin
enveloppés	VER:pper	envelopper
de	PRP	de
neige	NOM	neige
.	SENT	.
alain	NOM	alain
paul	ADJ	paul
qui	PRO:REL	qui
voyage	VER:pres	voyager
en	PRP	en
scandinavie	NOM	scandinavie
depuis	PRP	depuis
plusieurs	PRO:IND	plusieurs
années	NOM	année
,	PUN	,
nous	PRO:PER	nous
présente	VER:pres	présenter
deux	NUM	deux
pays	NOM	pays
incroyables	ADJ	incroyable
:	PUN	:
le	DET:ART	le
danemark	NOM	danemark
avec	PRP	avec
copenhague	NAM	Copenhague
,	PUN	,
la	DET:ART	le
capitale	NOM	capitale
non	ADV	non
conformiste	ADJ	conformiste
et	KON	et
l'	DET:ART	le
art	NOM	art
de	PRP	de
vivre	VER:infi	vivre
danois	ADJ	danois
,	PUN	,
la	DET:ART	le
riviera	NOM	riviera
baltique	ADJ	baltique
et	KON	et
l'	DET:ART	le
été	NOM	été
nordique	ADJ	nordique
,	PUN	,
le	DET:ART	le
legoland	NOM	legoland
et	KON	et
les	DET:ART	le
contes	NOM	conte
d'	PRP	de
andersen	NOM	andersen
,	PUN	,
le	DET:ART	le
jutlan	NOM	jutlan
et	KON	et
la	DET:ART	le
fin	NOM	fin
des	PRP:det	du
terres	NOM	terre
.	SENT	.
la	DET:ART	le
suède	NOM	suède
avec	PRP	avec
sa	DET:POS	son
forêt	NOM	forêt
boréale	ADJ	boréal
qui	PRO:REL	qui
étend	VER:pres	étendre
son	DET:POS	son
silence	NOM	silence
jusqu'à	NOM	jusqu'à
l'	DET:ART	le
oural	ADJ	oural
,	PUN	,
le	DET:ART	le
gota	NOM	gota
kanal	ADJ	kanal
et	KON	et
la	DET:ART	le
merveilleuse	ADJ	merveilleux
campagne	NOM	campagne
suédoise	ADJ	suédois
,	PUN	,
la	DET:ART	le
dalécarlie	NOM	dalécarlie
,	PUN	,
les	DET:ART	le
fêtes	NOM	fête
de	PRP	de
la	DET:ART	le
saint-jean	NOM	saint-jean
et	KON	et
le	DET:ART	le
plus	ADV	plus
grand	ADJ	grand
rassemblement	NOM	rassemblement
mondial	ADJ	mondial
de	PRP	de
violoneux	NOM	violoneux
.	SENT	.
dans	PRP	dans
la	DET:ART	le
seconde	NUM	second
partie	NOM	partie
du	PRP:det	du
film	NOM	film
,	PUN	,
alain	NOM	alain
paul	ADJ	paul
convie	VER:pres	convier
le	DET:ART	le
spectateur	NOM	spectateur
à	PRP	à
un	DET:ART	un
formidable	ADJ	formidable
voyage	NOM	voyage
au	PRP:det	au
fil	NOM	fil
des	PRP:det	du
saisons	NOM	saison
:	PUN	:
la	DET:ART	le
transhumance	NOM	transhumance
des	PRP:det	du
moutons	NOM	mouton
dans	PRP	dans
les	DET:ART	le
fjords	NOM	fjord
de	PRP	de
norvège	NOM	norvège
à	PRP	à
l'	DET:ART	le
automne	NOM	automne
,	PUN	,
le	DET:ART	le
village	NOM	village
du	PRP:det	du
père	NOM	père
noël	NOM	noël
en	PRP	en
décembre	NOM	décembre
,	PUN	,
lillchammer	NOM	lillchammer
en	PRP	en
janvier	NOM	janvier
,	PUN	,
le	DET:ART	le
train	NOM	train
des	PRP:det	du
neiges	NOM	neige
oslo	ADJ	oslo
-	PUN	-
bergen	NOM	bergen
en	PRP	en
février	NOM	février
,	PUN	,
la	DET:ART	le
vasaloppett	NOM	vasaloppett
en	PRP	en
mars	NOM	mars
.	SENT	.
les	DET:ART	le
iles	NOM	ile|iles
lofoten	ADJ	lofoten
et	KON	et
le	DET:ART	le
cap	NOM	cap
nord	ADJ	nord
au	PRP:det	au
printemps	NOM	printemps
,	PUN	,
le	DET:ART	le
spitzberg	ADJ	spitzberg
en	PRP	en
été	NOM	été
,	PUN	,
au	PRP:det	au
soleil	NOM	soleil
de	PRP	de
minuit	NOM	minuit
.	SENT	.
renseignements	NOM	renseignement
et	KON	et
réservations	NOM	réservation
au	PRP:det	au
03.84	NUM	@card@
.	SENT	.
36.68	NUM	@card@
.	SENT	.
50	NUM	@card@
tarifs	NOM	tarif
:	PUN	:
5,50	NUM	@card@
	NOM	
et	KON	et
2,50	NUM	@card@
.	ABR	.
