tous	PRO:IND	tout
leurs	DET:POS	leur
ambitions	NOM	ambition
.	SENT	.
athlétisme	NOM	athlétisme
:	PUN	:
le	DET:ART	le
cpo	NOM	cpo
sera	VER:futu	être
le	DET:ART	le
cadre	NOM	cadre
dimanche	NOM	dimanche
des	PRP:det	du
interrégionaux	ADJ	interrégional
d'	PRP	de
athlétisme	NOM	athlétisme
cadets-juniors-espoirs	NOM	cadets-juniors-espoirs
,	PUN	,
dits	VER:pper	dire
pré-france	NOM	pré-france
.	SENT	.
a	VER:pres	avoir
suivre	VER:infi	suivre
le	DET:ART	le
comportement	NOM	comportement
des	PRP:det	du
athlètes	NOM	athlète
lorrains	ADJ	lorrain
dans	PRP	dans
ce	PRO:DEM	ce
contexte	NOM	contexte
relevé	VER:pper	relever
.	SENT	.
tennis	NOM	tennis
de	PRP	de
table	NOM	table
:	PUN	:
les	DET:ART	le
8	NUM	@card@
équipes	NOM	équipe
de	PRP	de
la	DET:ART	le
srv	NOM	srv
seront	VER:futu	être
sur	PRP	sur
la	DET:ART	le
brèche	NOM	brèche
ce	PRO:DEM	ce
week-end	NOM	week-end
,	PUN	,
à	PRP	à
l'	DET:ART	le
occasion	NOM	occasion
de	PRP	de
la	DET:ART	le
deuxième	NUM	deuxième
journée	NOM	journée
de	PRP	de
la	DET:ART	le
deuxième	NUM	deuxième
phase	NOM	phase
de	PRP	de
championnat	NOM	championnat
.	SENT	.
l'	DET:ART	le
équipe	NOM	équipe
fanion	NOM	fanion
de	PRP	de
régionale	ADJ	régional
2	ABR	@card@
accueillera	VER:futu	accueillir
raon	NOM	raon
2	NUM	@card@
dimanche	NOM	dimanche
à	PRP	à
14	NUM	@card@
h	ABR	heure
,	PUN	,
la	DET:ART	le
régionale	ADJ	régional
4	ABR	@card@
recevra	VER:futu	recevoir
toulasc	ADJ	toulasc
dimanche	NOM	dimanche
à	PRP	à
9	NUM	@card@
h	ABR	heure
tandis	KON	tandis
que	KON	que
la	DET:ART	le
départementale	ADJ	départemental
1	NUM	@card@
c	NOM	c
rendra	VER:futu	rendre
visite	NOM	visite
à	PRP	à
golbey	NOM	golbey
2	NUM	@card@
et	KON	et
la	DET:ART	le
départementale	ADJ	départemental
1	NUM	@card@
d	NOM	d
à	PRP	à
remoncourt	NOM	remoncourt
.	SENT	.
vittel	NAM	Vittel
6	NUM	@card@
(	PUN	(
départementale	ADJ	départemental
2	NUM	@card@
c)	NOM	c)
opérera	VER:futu	opérer
à	PRP	à
domicile	NOM	domicile
samedi	NOM	samedi
à	PRP	à
14	NUM	@card@
h	ABR	heure
30	NUM	@card@
face	NOM	face
à	PRP	à
tremonzey	NOM	tremonzey
tandis	KON	tandis
que	KON	que
vittel	NAM	Vittel
7	NUM	@card@
(	PUN	(
départementale	ADJ	départemental
3	NUM	@card@
f)	NOM	f)
se	PRO:PER	se
déplacera	VER:futu	déplacer
à	PRP	à
mirecourt	NOM	mirecourt
3	NUM	@card@
l'	DET:ART	le
équipe	NOM	équipe
des	PRP:det	du
jeunes	NOM	jeune
(	PUN	(
d	VER:simp	d
2),	ADJ	2),
exemple	NOM	exemple
la	DET:ART	le
première	NUM	premier
journée	NOM	journée
,	PUN	,
sera	VER:futu	être
l'	DET:ART	le
hôte	NOM	hôte
de	PRP	de
bains-les-bains	NOM	bains-les-bains
samedi	NOM	samedi
après-midi	NOM	après-midi
.	SENT	.
