m.	ABR	m.
maréchal-des-logis	NOM	maréchal-des-logis
;	PUN	;
il	PRO:PER	il
obtiendra	VER:futu	obtenir
la	DET:ART	le
croix	NOM	croix
du	PRP:det	du
combattant	NOM	combattant
afn	ADJ	afn
.	SENT	.
au	PRP:det	au
retour	NOM	retour
du	PRP:det	du
maroc	NOM	maroc
,	PUN	,
il	PRO:PER	il
reprend	VER:pres	reprendre
la	DET:ART	le
ferme	ADJ	ferme
avec	PRP	avec
son	DET:POS	son
frère	NOM	frère
georges	ADJ	georges
.	SENT	.
ceux-ci	VER:pper	ceux-ci
arrêtent	VER:pres	arrêter
la	DET:ART	le
culture	NOM	culture
en	PRP	en
1973	NUM	@card@
suite	NOM	suite
à	PRP	à
l'	DET:ART	le
incendie	NOM	incendie
de	PRP	de
la	DET:ART	le
ferme	NOM	ferme
qu'	PRO:REL	que
ils	PRO:PER	il
exploitent	VER:pres	exploiter
.	SENT	.
andré	NOM	andré
achèvera	VER:futu	achever
sa	DET:POS	son
carrière	NOM	carrière
professionnelle	ADJ	professionnel
à	PRP	à
l'	DET:ART	le
usine	NOM	usine
ugine	NOM	ugine
de	PRP	de
pont-de-roide	NOM	pont-de-roide
.	SENT	.
accidenté	VER:pper	accidenter
du	PRP:det	du
travail	NOM	travail
,	PUN	,
il	PRO:PER	il
est	VER:pres	être
dans	PRP	dans
l'	DET:ART	le
obligation	NOM	obligation
de	PRP	de
quitter	VER:infi	quitter
le	DET:ART	le
corps	NOM	corps
des	PRP:det	du
sapeurs-pompiers	NOM	sapeurs-pompiers
de	PRP	de
sancey	NOM	sancey
où	PRO:REL	où
il	PRO:PER	il
était	VER:impf	être
très	ADV	très
dévoué	VER:pper	dévouer
.	SENT	.
andré	ADJ	andré
aubry	NOM	aubry
s'	PRO:PER	se
est	VER:pres	être
marié	VER:pper	marier
le	DET:ART	le
3	NUM	@card@
mars	NOM	mars
1962	NUM	@card@
avec	PRP	avec
yvette	ADJ	yvette
martin	NOM	martin
de	PRP	de
surmont	VER:futu	surmont
;	PUN	;
de	PRP	de
cette	PRO:DEM	ce
union	NOM	union
sont	VER:pres	être
nés	VER:pper	naître
trois	NUM	trois
enfants	NOM	enfant
(	PUN	(
deux	NUM	deux
garçons	NOM	garçon
,	PUN	,
une	DET:ART	un
fille	NOM	fille
)	PUN	)
et	KON	et
dix	NUM	dix
petits-enfants	NOM	petits-enfants
.	SENT	.
andré	ADJ	andré
aubry	NOM	aubry
a	VER:pres	avoir
eu	VER:pper	avoir
une	DET:ART	un
vie	NOM	vie
bien	ADV	bien
remplie	VER:pper	remplir
à	PRP	à
tous	PRO:IND	tout
les	DET:ART	le
niveaux	NOM	niveau
.	SENT	.
conseiller	NOM	conseiller
municipal	ADJ	municipal
et	KON	et
adjoint	VER:pper	adjoindre
au	PRP:det	au
maire	NOM	maire
de	PRP	de
1971	NUM	@card@
à	PRP	à
1995	NUM	@card@
;	PUN	;
il	PRO:PER	il
avait	VER:impf	avoir
le	DET:ART	le
sens	NOM	sen|sens
de	PRP	de
l'	DET:ART	le
organisation	NOM	organisation
et	KON	et
savait	VER:impf	savoir
faire	VER:infi	faire
passer	VER:infi	passer
ses	DET:POS	son
idées	NOM	idée
.	SENT	.
au	PRP:det	au
niveau	NOM	niveau
associatif	ADJ	associatif
,	PUN	,
il	PRO:PER	il
faisait	VER:impf	faire
partie	VER:pper	partir
des	PRP:det	du
anciens	ADJ	ancien
combattants	ADJ	combattant
afn	NOM	afn
et	KON	et
des	PRP:det	du
donneurs	NOM	donneur
de	PRP	de
sang	NOM	sang
.	SENT	.
andré	NOM	andré
occupait	VER:impf	occuper
une	DET:ART	un
place	NOM	place
importante	ADJ	important
dans	PRP	dans
le	DET:ART	le
relais	NOM	relais
paroissial	ADJ	paroissial
.	SENT	.
c'	PRO:DEM	ce
est	VER:pres	être
ainsi	KON	ainsi
qu'	PRO:REL	que
il	PRO:PER	il
a	VER:pres	avoir
fait	VER:pper	faire
partie	NOM	partie
du	PRP:det	du
conseil	NOM	conseil
pastoral	ADJ	pastoral
,	PUN	,
il	PRO:PER	il
était	VER:impf	être
un	DET:ART	un
membre	NOM	membre
actif	ADJ	actif
de	PRP	de
la	DET:ART	le
chorale	NOM	chorale
,	PUN	,
de	PRP	de
l'	DET:ART	le
équipe	NOM	équipe
liturgique	ADJ	liturgique
;	PUN	;
il	PRO:PER	il
accompagnait	VER:impf	accompagner
les	DET:ART	le
familles	NOM	famille
dans	PRP	dans
leur	DET:POS	leur
deuil	NOM	deuil
,	PUN	,
il	PRO:PER	il
a	VER:pres	avoir
même	ADV	même
donné	VER:pper	donner
des	PRP:det	du
cours	NOM	cour|cours
de	PRP	de
catéchisme	NOM	catéchisme
.	SENT	.
il	PRO:PER	il
s'	PRO:PER	se
occupait	VER:impf	occuper
de	PRP	de
l'	DET:ART	le
opération	NOM	opération
«	PUN:cit	«
gâteau	NOM	gâteau
de	PRP	de
ménage	NOM	ménage
»	PUN:cit	»
organisée	VER:pper	organiser
par	PRP	par
la	DET:ART	le
paroisse	NOM	paroisse
.	SENT	.
andré	NOM	andré
était	VER:impf	être
toujours	ADV	toujours
présent	ADJ	présent
quand	KON	quand
il	PRO:PER	il
s'	PRO:PER	se
agissait	VER:impf	agir
de	PRP	de
bénévolat	NOM	bénévolat
.	SENT	.
andré	ADJ	andré
aubry	NOM	aubry
laissera	VER:futu	laisser
un	DET:ART	un
grand	ADJ	grand
vide	NOM	vide
tant	ADV	tant
il	PRO:PER	il
avait	VER:impf	avoir
d'	PRP	de
occupations	NOM	occupation
et	KON	et
était	VER:impf	être
dévoué	VER:pper	dévouer
.	SENT	.
les	DET:ART	le
obsèques	NOM	obsèques
d'	PRP	de
andré	ADJ	andré
aubry	NOM	aubry
seront	VER:futu	être
célébrées	VER:pper	célébrer
ce	PRO:DEM	ce
lundi	NOM	lundi
10	NUM	@card@
février	NOM	février
,	PUN	,
à	PRP	à
14	NUM	@card@
h	ABR	heure
30	NUM	@card@
en	PRP	en
l'	DET:ART	le
église	NOM	église
de	PRP	de
sancey-le-grand	NOM	sancey-le-grand
.	SENT	.
a	VER:pres	avoir
toute	PRO:IND	tout
la	DET:ART	le
famille	NOM	famille
dans	PRP	dans
le	DET:ART	le
deuil	NOM	deuil
,	PUN	,
notre	DET:POS	notre
journal	NOM	journal
présente	VER:pres	présenter
ses	DET:POS	son
sincères	ADJ	sincère
condoléances	NOM	condoléance
.	SENT	.
