denis	NOM	denis
sens	NOM	sen|sens
de	PRP	de
nos	DET:POS	notre
missions	NOM	mission
».	VER:futu	».
«	PUN:cit	«
2002	NUM	@card@
a	VER:pres	avoir
été	VER:pper	être
aussi	ADV	aussi
l'	DET:ART	le
année	NOM	année
de	PRP	de
la	DET:ART	le
loi	NOM	loi
relative	ADJ	relatif
à	PRP	à
l'	DET:ART	le
action	NOM	action
sociale	ADJ	social
et	KON	et
médico-sociale	ADJ	médico-social
et	KON	et
de	PRP	de
nos	DET:POS	notre
débats	NOM	débat
internes	ADJ	interne
sur	PRP	sur
la	DET:ART	le
nouvelle	ADJ	nouveau
organisation	NOM	organisation
du	PRP:det	du
travail	NOM	travail
avec	PRP	avec
lesquelles	PRO:REL	lequel
nous	PRO:PER	nous
faisons	VER:pres	faire
le	DET:ART	le
pari	NOM	pari
de	PRP	de
concilier	VER:infi	concilier
la	DET:ART	le
qualité	NOM	qualité
de	PRP	de
nos	DET:POS	notre
actions	NOM	action
pour	PRP	pour
le	DET:ART	le
bien	NOM	bien
des	PRP:det	du
résidants	ADJ	résidant
tout	ADV	tout
en	PRP	en
favorisant	VER:ppre	favoriser
le	DET:ART	le
mieux-être	NOM	mieux-être
professionnel	ADJ	professionnel
des	PRP:det	du
personnels	NOM	personnel
».	ADJ	».
a	VER:pres	avoir
son	DET:POS	son
tour	NOM	tour
,	PUN	,
jean-louis	NOM	jean-louis
cossin	ADJ	cossin
a	VER:pres	avoir
présenté	VER:pper	présenter
ses	DET:POS	son
v	NOM	v
	ADJ	
ux	ADJ	ux
et	KON	et
n'	ADV	ne
a	VER:pres	avoir
pas	ADV	pas
manqué	VER:pper	manquer
de	PRP	de
souligner	VER:infi	souligner
«	PUN:cit	«
la	DET:ART	le
qualité	NOM	qualité
du	PRP:det	du
travail	NOM	travail
effectué	VER:pper	effectuer
dans	PRP	dans
l'	DET:ART	le
établissement	NOM	établissement
,	PUN	,
l'	DET:ART	le
accueil	NOM	accueil
au	PRP:det	au
niveau	NOM	niveau
communal	ADJ	communal
pour	PRP	pour
l'	DET:ART	le
ensemble	NOM	ensemble
des	PRP:det	du
résidants	ADJ	résidant
avec	PRP	avec
une	DET:ART	un
intégration	NOM	intégration
parfaite	ADJ	parfait
».	VER:simp	».
ouvert	VER:pper	ouvrir
il	PRO:PER	il
y	PRO:PER	y
a	VER:pres	avoir
tout	PRO:IND	tout
juste	NOM	juste
deux	NUM	deux
ans	NOM	an
,	PUN	,
le	DET:ART	le
foyer	NOM	foyer
d'	PRP	de
accueil	NOM	accueil
spécialisé	VER:pper	spécialiser
compte	VER:pres	compter
36	NUM	@card@
résidants	ADJ	résidant
.	SENT	.
au	PRP:det	au
cours	NOM	cour|cours
de	PRP	de
l'	DET:ART	le
année	NOM	année
passée	VER:pper	passer
,	PUN	,
le	DET:ART	le
personnel	NOM	personnel
et	KON	et
les	DET:ART	le
résidants	ADJ	résidant
ont	VER:pres	avoir
participé	VER:pper	participer
à	PRP	à
l'	DET:ART	le
opération	NOM	opération
molière	NOM	molière
,	PUN	,
à	PRP	à
la	DET:ART	le
fête	NOM	fête
de	PRP	de
l'	DET:ART	le
escargot	NOM	escargot
,	PUN	,
à	PRP	à
de	PRP	de
nombreuses	ADJ	nombreux
activités	NOM	activité
sportives	ADJ	sportif
telles	PRO:DEM	tel
que	PRO:REL	que
ping-pong	NOM	ping-pong
,	PUN	,
piscine	NOM	piscine
,	PUN	,
randonnées	VER:pper	randonner
,	PUN	,
sorties	VER:pper	sortir
patinoire	NOM	patinoire
...	PUN	...
«	PUN:cit	«
2003	NUM	@card@
est	VER:pres	être
l'	DET:ART	le
année	NOM	année
des	PRP:det	du
personnes	NOM	personne
handicapées	ADJ	handicapé
,	PUN	,
a	VER:pres	avoir
encore	ADV	encore
ajouté	VER:pper	ajouter
m.	VER:ppre	m.
burel	ADJ	burel
.	SENT	.
pour	PRP	pour
cela	PRO:DEM	cela
,	PUN	,
le	DET:ART	le
ministère	NOM	ministère
de	PRP	de
la	DET:ART	le
santé	NOM	santé
,	PUN	,
de	PRP	de
la	DET:ART	le
famille	NOM	famille
et	KON	et
des	PRP:det	du
personnes	NOM	personne
handicapées	VER:pper	handicaper
a	VER:pres	avoir
lancé	VER:pper	lancer
un	DET:ART	un
appel	NOM	appel
à	PRP	à
projet	NOM	projet
favorisant	VER:ppre	favoriser
la	DET:ART	le
reconnaissance	NOM	reconnaissance
et	KON	et
l'	DET:ART	le
intégration	NOM	intégration
des	PRP:det	du
personnes	NOM	personne
handicapées	ADJ	handicapé
.	SENT	.
le	DET:ART	le
caps	NOM	cap
en	PRO:PER	en
a	VER:pres	avoir
fait	VER:pper	faire
un	NUM	un
de	PRP	de
ses	DET:POS	son
objectifs	NOM	objectif
fondamentaux	ADJ	fondamental
,	PUN	,
c'	PRO:DEM	ce
est	VER:pres	être
donc	ADV	donc
dans	PRP	dans
cet	PRO:DEM	ce
esprit	NOM	esprit
que	PRO:REL	que
nous	PRO:PER	nous
avons	VER:pres	avoir
prévu	VER:pper	prévoir
en	PRP	en
2003	NUM	@card@
de	PRP	de
créer	VER:infi	créer
à	PRP	à
lunéville	ADJ	lunéville
le	DET:ART	le
premier	NUM	premier
festival	NOM	festival
national	ADJ	national
de	PRP	de
l'	DET:ART	le
art	NOM	art
amateur	NOM	amateur
intitulé	VER:pper	intituler
«	PUN:cit	«
arts	NOM	art
et	KON	et
intégration	NOM	intégration
ou	KON	ou
comment	ADV	comment
être	VER:infi	être
artiste	ADJ	artiste
,	PUN	,
personne	ADV	personne
handicapée	VER:pper	handicaper
et	KON	et
citoyen	NOM	citoyen
de	PRP	de
l'	DET:ART	le
europe	NOM	europe
»	PUN:cit	»
pour	PRP	pour
thiaucourt	NOM	thiaucourt
,	PUN	,
il	PRO:PER	il
est	VER:pres	être
prévu	VER:pper	prévoir
d'	PRP	de
aménager	VER:infi	aménager
deux	NUM	deux
ateliers	NOM	atelier
supplémentaires	ADJ	supplémentaire
et	KON	et
l'	DET:ART	le
ouverture	NOM	ouverture
du	PRP:det	du
foyer	NOM	foyer
d'	PRP	de
accueil	NOM	accueil
spécialisé	VER:pper	spécialiser
de	PRP	de
15	NUM	@card@
places	NOM	place
en	PRP	en
trois	NUM	trois
maisons	NOM	maison
,	PUN	,
attendu	VER:pper	attendre
depuis	PRP	depuis
plus	ADV	plus
de	PRP	de
trois	NUM	trois
ans	NOM	an
,	PUN	,
et	KON	et
qui	PRO:REL	qui
seront	VER:futu	être
installées	VER:pper	installer
rue	NOM	rue
du	PRP:det	du
moulin	NOM	moulin
bas	ADJ	bas
.	SENT	.
jean-louis	NOM	jean-louis
cossin	ADJ	cossin
a	VER:pres	avoir
conclu	VER:pper	conclure
en	PRP	en
exprimant	VER:ppre	exprimer
son	DET:POS	son
désir	NOM	désir
de	PRP	de
«	PUN:cit	«
voir	VER:infi	voir
ouvrir	VER:infi	ouvrir
le	DET:ART	le
nouveau	ADJ	nouveau
fas	NOM	fas
et	KON	et
qu'	KON	que
un	DET:ART	un
terrain	NOM	terrain
soit	VER:subp	être
acquis	VER:pper	acquérir
par	PRP	par
l'	DET:ART	le
établissement	NOM	établissement
thiaucourtois	ADJ	thiaucourtois
en	PRP	en
vue	NOM	vue
de	PRP	de
la	DET:ART	le
création	NOM	création
d'	PRP	de
un	DET:ART	un
verger	NOM	verger
et	KON	et
d'	PRP	de
un	DET:ART	un
potager	NOM	potager
,	PUN	,
nécessaires	ADJ	nécessaire
à	PRP	à
l'	DET:ART	le
occupation	NOM	occupation
des	PRP:det	du
résidants	ADJ	résidant
.	SENT	.
»	PUN:cit	»
