ce	PRO:DEM	ce
que	KON	que
le	DET:ART	le
conseil	NOM	conseil
apporte	VER:pres	apporter
à	PRP	à
son	DET:POS	son
maire	NOM	maire
.	SENT	.
alain	NOM	alain
pierre	NOM	pierre
a	VER:pres	avoir
ensuite	ADV	ensuite
fait	VER:pper	faire
part	NOM	part
des	PRP:det	du
projets	NOM	projet
de	PRP	de
la	DET:ART	le
commune	NOM	commune
pour	PRP	pour
2003	NUM	@card@
avec	PRP	avec
la	DET:ART	le
mise	NOM	mise
en	PRP	en
place	NOM	place
d'	PRP	de
une	DET:ART	un
opération	NOM	opération
programmée	VER:pper	programmer
d'	PRP	de
amélioration	NOM	amélioration
des	PRP:det	du
vergers	NOM	verger
afin	KON	afin
d'	PRP	de
améliorer	VER:infi	améliorer
et	KON	et
de	PRP	de
préserver	VER:infi	préserver
un	DET:ART	un
patrimoine	NOM	patrimoine
qui	PRO:REL	qui
tend	VER:pres	tendre
à	PRP	à
disparaître	VER:infi	disparaître
.	SENT	.
un	DET:ART	un
schéma	NOM	schéma
directeur	ADJ	directeur
d'	PRP	de
assainissement	NOM	assainissement
est	VER:pres	être
en	PRP	en
cours	NOM	cour|cours
de	PRP	de
réalisation	NOM	réalisation
en	PRP	en
collaboration	NOM	collaboration
avec	PRP	avec
le	DET:ART	le
pays	NOM	pays
de	PRP	de
la	DET:ART	le
vôge	NOM	vôge
.	SENT	.
l'	DET:ART	le
opération	NOM	opération
programmée	VER:pper	programmer
d'	PRP	de
amélioration	NOM	amélioration
de	PRP	de
l'	DET:ART	le
habitat	NOM	habitat
qui	PRO:REL	qui
a	VER:pres	avoir
connu	VER:pper	connaître
un	DET:ART	un
succès	NOM	succès
remarquable	ADJ	remarquable
se	PRO:PER	se
poursuivra	VER:futu	poursuivre
sous	PRP	sous
une	DET:ART	un
autre	ADJ	autre
forme	NOM	forme
avec	PRP	avec
l'	DET:ART	le
adoption	NOM	adoption
d'	PRP	de
un	DET:ART	un
programme	NOM	programme
d'	PRP	de
intérêt	NOM	intérêt
général	ADJ	général
.	SENT	.
le	DET:ART	le
maire	NOM	maire
a	VER:pres	avoir
fait	VER:pper	faire
part	NOM	part
de	PRP	de
ses	DET:POS	son
discussion	NOM	discussion
avec	PRP	avec
le	DET:ART	le
député	NOM	député
concernant	VER:ppre	concerner
le	DET:ART	le
désenclavement	NOM	désenclavement
de	PRP	de
la	DET:ART	le
vôge	NOM	vôge
par	PRP	par
l'	DET:ART	le
amélioration	NOM	amélioration
de	PRP	de
la	DET:ART	le
sécurité	NOM	sécurité
de	PRP	de
la	DET:ART	le
route	NOM	route
départementale	ADJ	départemental
n	VER:simp	n
°	NOM	°
51	NUM	@card@
où	PRO:REL	où
un	DET:ART	un
premier	NOM	premier
pas	ADV	pas
vient	VER:pres	venir
d'	PRP	de
être	VER:infi	être
fait	VER:pper	faire
avec	PRP	avec
le	DET:ART	le
tout	ADV	tout
prochain	ADJ	prochain
classement	NOM	classement
du	PRP:det	du
«	PUN:cit	«
roulon	NOM	roulon
»	PUN:cit	»
en	PRP	en
agglomération	NOM	agglomération
.	SENT	.
la	DET:ART	le
vitesse	NOM	vitesse
sera	VER:futu	être
désormais	ADV	désormais
limitée	VER:pper	limiter
à	PRP	à
50	NUM	@card@
km/h	ABR	kilomètres-heure
et	KON	et
des	PRP:det	du
contrôles	NOM	contrôle
seront	VER:futu	être
mis	VER:pper	mettre
en	PRP	en
place	NOM	place
.	SENT	.
des	PRP:det	du
demandes	NOM	demande
de	PRP	de
subventions	NOM	subvention
concernant	VER:ppre	concerner
d'	PRP	de
importants	ADJ	important
travaux	NOM	travail
ont	VER:pres	avoir
été	VER:pper	être
déposées	VER:pper	déposer
auprès	ADV	auprès
du	PRP:det	du
conseil	NOM	conseil
général	ADJ	général
des	PRP:det	du
vosges	ADJ	vosges
pour	PRP	pour
l'	DET:ART	le
extension	NOM	extension
du	PRP:det	du
réseau	NOM	réseau
d'	PRP	de
éclairage	NOM	éclairage
public	ADJ	public
,	PUN	,
pour	PRP	pour
une	DET:ART	un
nouvelle	ADJ	nouveau
tranche	NOM	tranche
de	PRP	de
travaux	NOM	travail
de	PRP	de
voirie	NOM	voirie
d'	PRP	de
un	DET:ART	un
montant	NOM	montant
de	PRP	de
200.000	NUM	@card@
,	NOM	,
pour	KON	pour
des	PRP:det	du
travaux	NOM	travail
à	PRP	à
la	DET:ART	le
chapelle	NOM	chapelle
de	PRP	de
thiélouze	NOM	thiélouze
et	KON	et
à	PRP	à
l'	DET:ART	le
église	NOM	église
.	SENT	.
un	DET:ART	un
mur	NOM	mur
de	PRP	de
soutènement	NOM	soutènement
sera	VER:futu	être
également	ADV	également
créé	VER:pper	créer
au	PRP:det	au
cimetière	NOM	cimetière
de	PRP	de
thiélouze	NOM	thiélouze
.	SENT	.
la	DET:ART	le
forêt	NOM	forêt
communale	ADJ	communal
,	PUN	,
patrimoine	NOM	patrimoine
communal	ADJ	communal
,	PUN	,
ne	ADV	ne
sera	VER:futu	être
pas	ADV	pas
oubliée	VER:pper	oublier
puisque	KON	puisque
,	PUN	,
outre	PRP	outre
les	DET:ART	le
travaux	NOM	travail
forestiers	ADJ	forestier
,	PUN	,
des	PRP:det	du
travaux	NOM	travail
de	PRP	de
création	NOM	création
et	KON	et
de	PRP	de
mise	NOM	mise
aux	PRP:det	au
normes	NOM	norme
des	PRP:det	du
chemins	NOM	chemin
forestiers	ADJ	forestier
sont	VER:pres	être
programmés	VER:pper	programmer
à	PRP	à
la	DET:ART	le
cuminée	ADJ	cuminée
ainsi	ADV	ainsi
qu'	KON	que
à	PRP	à
l'	DET:ART	le
étang	NOM	étang
des	PRP:det	du
meules	NOM	meule
.	SENT	.
un	DET:ART	un
autre	ADJ	autre
objectif	NOM	objectif
cher	ADV	cher
au	PRP:det	au
1	NUM	@card@
e	NOM	e
r	VER:subi	r
magistrat	NOM	magistrat
afin	KON	afin
d'	PRP	de
améliorer	VER:infi	améliorer
la	DET:ART	le
communication	NOM	communication
et	KON	et
l'	DET:ART	le
information	NOM	information
était	VER:impf	être
la	DET:ART	le
création	NOM	création
d'	PRP	de
un	DET:ART	un
site	NOM	site
internet	ADJ	internet
.	SENT	.
c'	PRO:DEM	ce
est	VER:pres	être
chose	NOM	chose
faite	VER:pper	faire
depuis	PRP	depuis
le	DET:ART	le
début	NOM	début
de	PRP	de
cette	PRO:DEM	ce
année	NOM	année
grâce	NOM	grâce
à	PRP	à
stéphanie	NOM	stéphanie
pierre	NOM	pierre
et	KON	et
stéphane	ADJ	stéphane
morardet	NOM	morardet
de	PRP	de
la	DET:ART	le
société	NOM	société
krea	NOM	krea
medias	NOM	medias
d'	PRP	de
epinal	NOM	epinal
qui	PRO:REL	qui
après	PRP	après
200	NUM	@card@
heures	NOM	heure
de	PRP	de
travail	NOM	travail
ont	VER:pres	avoir
réalisé	VER:pper	réaliser
bénévolement	ADV	bénévolement
le	DET:ART	le
site	NOM	site
internet	ADJ	internet
de	PRP	de
la	DET:ART	le
commune	NOM	commune
que	PRO:REL	que
l'	DET:ART	le
on	PRO:PER	on
peut	VER:pres	pouvoir
consulter	VER:infi	consulter
sur	PRP	sur
www	NOM	www
.	SENT	.
uzemain	NOM	uzemain
.	SENT	.
fr	NOM	fr
.	SENT	.
la	DET:ART	le
présentation	NOM	présentation
officielle	ADJ	officiel
a	VER:pres	avoir
permis	VER:pper	permettre
de	PRP	de
découvrir	VER:infi	découvrir
l'	DET:ART	le
excellent	ADJ	excellent
travail	NOM	travail
fourni	VER:pper	fournir
pour	PRP	pour
la	DET:ART	le
mise	NOM	mise
au	PRP:det	au
point	NOM	point
du	PRP:det	du
site	NOM	site
.	SENT	.
c'	PRO:DEM	ce
est	VER:pres	être
donc	ADV	donc
placée	VER:pper	placer
sous	PRP	sous
le	DET:ART	le
signe	NOM	signe
du	PRP:det	du
développement	NOM	développement
des	PRP:det	du
technologies	NOM	technologie
nouvelles	ADJ	nouveau
que	KON	que
la	DET:ART	le
commune	NOM	commune
d'	PRP	de
uzemain	NOM	uzemain
débute	VER:pres	débuter
l'	DET:ART	le
année	NOM	année
2003	NUM	@card@
pour	PRP	pour
ce	PRO:DEM	ce
faire	VER:infi	faire
,	PUN	,
arnaud	VER:infi	arnaud
cimon	NOM	cimon
a	VER:pres	avoir
été	VER:pper	être
recruté	VER:pper	recruter
dans	PRP	dans
le	DET:ART	le
cadre	NOM	cadre
des	PRP:det	du
contrats	NOM	contrat
emplois	NOM	emploi
jeunes	ADJ	jeune
en	PRP	en
tant	ADV	tant
qu'	KON	que
agent	NOM	agent
initiateur	NOM	initiateur
des	PRP:det	du
nouvelles	ADJ	nouveau
technologies	NOM	technologie
et	KON	et
sera	VER:futu	être
chargé	VER:pper	charger
d'	PRP	de
intervenir	VER:infi	intervenir
sur	PRP	sur
plusieurs	PRO:IND	plusieurs
sites	NOM	site
:	PUN	:
à	PRP	à
la	DET:ART	le
mairie	NOM	mairie
pour	PRP	pour
la	DET:ART	le
mise	NOM	mise
à	PRP	à
jour	NOM	jour
du	PRP:det	du
site	NOM	site
internet	ADJ	internet
et	KON	et
la	DET:ART	le
mise	NOM	mise
en	PRP	en
page	NOM	page
des	PRP:det	du
journaux	NOM	journal|journau
communaux	ADJ	communal
«	PUN:cit	«
les	DET:ART	le
murmures	NOM	murmure
du	PRP:det	du
côney	NOM	côney
»	PUN:cit	»
et	KON	et
«	PUN:cit	«
au	PRP:det	au
fil	NOM	fil
du	PRP:det	du
côney	NOM	côney
»,	ADJ	»,
à	PRP	à
la	DET:ART	le
garderie	NOM	garderie
pour	PRP	pour
animer	VER:infi	animer
des	PRP:det	du
séances	NOM	séance
informatiques	ADJ	informatique
pour	PRP	pour
les	DET:ART	le
enfants	NOM	enfant
et	KON	et
à	PRP	à
l'	DET:ART	le
école	NOM	école
,	PUN	,
sous	PRP	sous
la	DET:ART	le
responsabilité	NOM	responsabilité
des	PRP:det	du
enseignants	NOM	enseignant
afin	KON	afin
de	PRP	de
participer	VER:infi	participer
à	PRP	à
des	PRP:det	du
ateliers	NOM	atelier
d'	PRP	de
initiation	NOM	initiation
ainsi	KON	ainsi
que	KON	que
le	DET:ART	le
soir	NOM	soir
pour	PRP	pour
les	DET:ART	le
adultes	ADJ	adulte
et	KON	et
adolescents	ADJ	adolescent
,	PUN	,
une	DET:ART	un
formation	NOM	formation
informatique	ADJ	informatique
et	KON	et
une	DET:ART	un
découverte	NOM	découverte
d'	PRP	de
internet	NOM	Internet
.	SENT	.
jackie	NOM	jackie
pierre	NOM	pierre
et	KON	et
michel	NOM	michel
heinrich	NOM	heinrich
ont	VER:pres	avoir
tour	NOM	tour
à	PRP	à
tour	NOM	tour
pris	VER:pper	prendre
la	DET:ART	le
parole	NOM	parole
afin	KON	afin
de	PRP	de
saluer	VER:infi	saluer
le	DET:ART	le
dynamisme	NOM	dynamisme
de	PRP	de
la	DET:ART	le
commune	NOM	commune
et	KON	et
l'	DET:ART	le
esprit	NOM	esprit
de	PRP	de
ses	DET:POS	son
dirigeants	NOM	dirigeant
.	SENT	.
la	DET:ART	le
remise	NOM	remise
des	PRP:det	du
trophées	NOM	trophée
sportifs	ADJ	sportif
et	KON	et
l'	DET:ART	le
accueil	NOM	accueil
des	PRP:det	du
nouveaux	ADJ	nouveau
habitants	NOM	habitant
ont	VER:pres	avoir
clôturé	VER:pper	clôturer
cette	PRO:DEM	ce
cérémonie	NOM	cérémonie
qui	PRO:REL	qui
s'	PRO:PER	se
est	VER:pres	être
achevée	VER:pper	achever
autour	ADV	autour
du	PRP:det	du
verre	NOM	verre
de	PRP	de
l'	DET:ART	le
amitié	NOM	amitié
.	SENT	.
