voici	ADV	voici
et	KON	et
galette	VER:pres	galeter
de	PRP	de
la	DET:ART	le
fcpe	NOM	fcpe
,	PUN	,
salle	NOM	salle
j.	VER:ppre	j.
ferry	NOM	ferry
.	SENT	.
le	DET:ART	le
12	NUM	@card@
:	PUN	:
loto	NOM	loto
de	PRP	de
l'	DET:ART	le
association	NOM	association
familiale	ADJ	familial
,	PUN	,
salle	NOM	salle
verdun	ADJ	verdun
,	PUN	,
14	NUM	@card@
h.	ABR	h.
galette	NOM	galette
de	PRP	de
la	DET:ART	le
fnaca	NOM	fnaca
,	PUN	,
à	PRP	à
14	NUM	@card@
h	ABR	heure
30	NUM	@card@
au	PRP:det	au
csal	NOM	csal
.	SENT	.
le	DET:ART	le
18	NUM	@card@
:	PUN	:
foot	NOM	foot
,	PUN	,
thaon	NOM	thaon
(	PUN	(
cfa	VER:simp	cfa
2)	NOM	2)
reçoit	VER:pres	recevoir
creutzwald	VER:pper	creutzwald
,	PUN	,
au	PRP:det	au
stade	NOM	stade
sayer	NOM	sayer
.	SENT	.
basket	NOM	basket
,	PUN	,
l'	DET:ART	le
équipe	NOM	équipe
masculine	ADJ	masculin
accueille	VER:pres	accueillir
le	DET:ART	le
sluc	NOM	sluc
nancy	NOM	nancy
.	SENT	.
natation	NOM	natation
:	PUN	:
journée	NOM	journée
des	PRP:det	du
50	NUM	@card@
m.	NOM	monsieur
minimes	ADJ	minime
,	PUN	,
benjamins	NOM	benjamin
et	KON	et
avant	PRP	avant
,	PUN	,
à	PRP	à
la	DET:ART	le
piscine	NOM	piscine
municipale	ADJ	municipal
.	SENT	.
le	DET:ART	le
19	NUM	@card@
:	PUN	:
basket	NOM	basket
,	PUN	,
l'	DET:ART	le
équipe	NOM	équipe
féminine	ADJ	féminin
joue	VER:pres	jouer
contre	PRP	contre
les	DET:ART	le
ptt	ADJ	ptt
nancy-tomblaine	NOM	nancy-tomblaine
,	PUN	,
au	PRP:det	au
gymnase	NOM	gymnase
de	PRP	de
la	DET:ART	le
poste	NOM	poste
.	SENT	.
le	DET:ART	le
24	NUM	@card@
:	PUN	:
a.g	NOM	a.g
.	SENT	.
de	PRP	de
l'	DET:ART	le
est	NOM	est
centrale	ADJ	central
,	PUN	,
salle	NOM	salle
verdun	ADJ	verdun
.	SENT	.
le	DET:ART	le
25	NUM	@card@
et	KON	et
26	NUM	@card@
:	PUN	:
critérium	NOM	critérium
de	PRP	de
tir	NOM	tir
,	PUN	,
stand	NOM	stand
«	PUN:cit	«
bernard	NOM	bernard
muller	NOM	muller
»	PUN:cit	»
le	DET:ART	le
26	NUM	@card@
:	PUN	:
repas	NOM	repas
et	KON	et
epiphanie	NOM	epiphanie
des	PRP:det	du
anciens	NOM	ancien
d'	PRP	de
afn	NOM	afn
,	PUN	,
salle	NOM	salle
lederlin	ADJ	lederlin
.	SENT	.
soirée	NOM	soirée
«	PUN:cit	«
casino	NOM	casino
»	PUN:cit	»
et	KON	et
chandeleur	NOM	chandeleur
de	PRP	de
la	DET:ART	le
«	PUN:cit	«
cour	NOM	cour
des	PRP:det	du
grands	ADJ	grand
».	NOM	».
le	DET:ART	le
31	NUM	@card@
:	PUN	:
1	NUM	@card@
e	NOM	e
r	VER:subi	r
jour	NOM	jour
du	PRP:det	du
«	PUN:cit	«
salon	NOM	salon
du	PRP:det	du
mariage	NOM	mariage
»,	ADJ	»,
à	PRP	à
la	DET:ART	le
rotonde	NOM	rotonde
.	SENT	.
a	VER:pres	avoir
noter	VER:infi	noter
également	ADV	également
que	KON	que
le	DET:ART	le
vestiaire	NOM	vestiaire
de	PRP	de
la	DET:ART	le
croix	NOM	croix
rouge	ADJ	rouge
est	VER:pres	être
ouvert	VER:pper	ouvrir
le	DET:ART	le
1	NUM	@card@
e	NOM	e
r	VER:subi	r
et	KON	et
3	NUM	@card@
e	ADJ	e
mercredi	NOM	mercredi
du	PRP:det	du
mois	NOM	moi|mois
,	PUN	,
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
11	NUM	@card@
h	ABR	heure
,	PUN	,
au	PRP:det	au
2	NUM	@card@
e	NOM	e
étage	VER:pres	étager
de	PRP	de
l'	DET:ART	le
école	NOM	école
primaire	ADJ	primaire
de	PRP	de
bouxières	NOM	bouxières
.	SENT	.
tournoi	NOM	tournoi
de	PRP	de
billard	NOM	billard
au	PRP:det	au
«	PUN:cit	«
charleston	NOM	charleston
»,	ADJ	»,
chaque	PRO:IND	chaque
mardi	NOM	mardi
soir	NOM	soir
.	SENT	.
