chaque	PRO:IND	chaque
attaque	NOM	attaque
de	PRP	de
feux	NOM	feu
,	PUN	,
sapeur	NOM	sapeur
1	NUM	@card@
è	NOM	è
re	VER:subi	re
classe	NOM	classe
ludovic	NOM	ludovic
mietton	ADJ	mietton
.	SENT	.
formateurs	ADJ	formateur
niveau	NOM	niveau
1	NUM	@card@
caporaux-chefs	NOM	caporaux-chefs
lionel	NOM	lionel
domange	NOM	domange
,	PUN	,
guy	ADJ	guy
lauvergne	NOM	lauvergne
;	PUN	;
caporal	NOM	caporal
david	NOM	david
diebowski	NOM	diebowski
;	PUN	;
sapeur	NOM	sapeur
1	NUM	@card@
è	NOM	è
re	VER:subi	re
classe	NOM	classe
ludovic	NOM	ludovic
mietton	ADJ	mietton
.	SENT	.
pré-requis	NOM	pré-requis
sergent	NOM	sergent
,	PUN	,
caporal-chef	NOM	caporal-chef
lionel	NOM	lionel
domange	NOM	domange
.	SENT	.
top	NOM	top
2	NUM	@card@
b,	NOM	b,
caporaux-chefs	NOM	caporaux-chefs
lionel	NOM	lionel
domange	NOM	domange
,	PUN	,
guy	ADJ	guy
lauvergne	NOM	lauvergne
;	PUN	;
caporal	NOM	caporal
david	NOM	david
diebowski	NOM	diebowski
.	SENT	.
top	NOM	top
3	NUM	@card@
cad	NOM	cad
2	NUM	@card@
sap	NOM	sap
3	NUM	@card@
caporal-chef	NOM	caporal-chef
guy	ADJ	guy
lauvergne	NOM	lauvergne
,	PUN	,
caporal	NOM	caporal
david	NOM	david
debowski	NOM	debowski
.	SENT	.
inc	NOM	inc
2	NUM	@card@
caporal	NOM	caporal
david	NOM	david
debowski	NOM	debowski
.	SENT	.
formation	NOM	formation
initiale	ADJ	initial
lieutenant	NOM	lieutenant
volontaire	ADJ	volontaire
,	PUN	,
adjudant-chef	NOM	adjudant-chef
andré	ADJ	andré
gilson	NOM	gilson
,	PUN	,
avec	PRP	avec
attestations	NOM	attestation
de	PRP	de
stages	NOM	stage
modules	NOM	module
c	ADJ	c
,	PUN	,
d	ADJ	d
et	KON	et
f.	ADJ	f.
nominations	NOM	nomination
au	PRP:det	au
grade	NOM	grade
de	PRP	de
1	NUM	@card@
è	NOM	è
re	VER:subi	re
classe	NOM	classe
,	PUN	,
les	DET:ART	le
sapeurs	NOM	sapeur
de	PRP	de
2	NUM	@card@
è	NOM	è
me	PRO:PER	me
classe	VER:pres	classer
,	PUN	,
nadjim	NOM	nadjim
anki	ADJ	anki
,	PUN	,
grégory	NOM	grégory
panato	ADJ	panato
,	PUN	,
régis	VER:pper	régir
gillot	NOM	gillot
et	KON	et
sabrina	VER:simp	sabrina
mietton	NOM	mietton
.	SENT	.
nomination	NOM	nomination
au	PRP:det	au
grade	NOM	grade
de	PRP	de
caporal	NOM	caporal
honoraire	ADJ	honoraire
,	PUN	,
sapeur	NOM	sapeur
1	NUM	@card@
è	NOM	è
re	VER:subi	re
classe	NOM	classe
daniel	ADJ	daniel
mutelet	NOM	mutelet
,	PUN	,
et	KON	et
à	PRP	à
ce	PRO:DEM	ce
titre	NOM	titre
a	VER:pres	avoir
reçu	VER:pper	recevoir
la	DET:ART	le
médaille	NOM	médaille
d'	PRP	de
or	NOM	or
pour	PRP	pour
ses	DET:POS	son
30	NUM	@card@
ans	NOM	an
de	PRP	de
service	NOM	service
.	SENT	.
