9	NUM	@card@
se	PRO:PER	se
répéter	VER:infi	répéter
ce	PRO:DEM	ce
week-end	NOM	week-end
.	SENT	.
tant	ADV	tant
pis	ADV	pis
pour	PRP	pour
le	DET:ART	le
suspense	NOM	suspense
.	SENT	.
«	PUN:cit	«
cette	PRO:DEM	ce
année	NOM	année
,	PUN	,
nous	PRO:PER	nous
enregistrons	VER:pres	enregistrer
une	DET:ART	un
hausse	NOM	hausse
du	PRP:det	du
nombre	NOM	nombre
d'	PRP	de
inscrits	NOM	inscrit
en	PRP	en
série	NOM	série
a	VER:pres	avoir
,	PUN	,
la	DET:ART	le
meilleure	ADJ	meilleur
.	SENT	.
en	PRP	en
revanche	NOM	revanche
,	PUN	,
les	DET:ART	le
séries	NOM	série
c	ADJ	c
et	KON	et
d	ADJ	d
sont	VER:pres	être
en	PRP	en
baisse	NOM	baisse
.	SENT	.
le	DET:ART	le
niveau	NOM	niveau
monte	VER:pres	monter
.	SENT	.
c'	PRO:DEM	ce
est	VER:pres	être
très	ADV	très
bon	ADJ	bon
signe	NOM	signe
»,	ADJ	»,
note	VER:pres	noter
tout	ADV	tout
sourire	VER:infi	sourire
,	PUN	,
frédéric	NOM	frédéric
jooris	ADJ	jooris
,	PUN	,
l'	DET:ART	le
un	NOM	un
des	PRP:det	du
organisateurs	NOM	organisateur
du	PRP:det	du
tournoi	NOM	tournoi
.	SENT	.
ouvrez	VER:pres	ouvrer|ouvrir
donc	ADV	donc
grand	ADJ	grand
les	DET:ART	le
yeux	NOM	œil
:	PUN	:
les	DET:ART	le
volant	NOM	volant
de	PRP	de
plumes	NOM	plume
vont	VER:pres	aller
s'	PRO:PER	se
affoler	VER:infi	affoler
dans	PRP	dans
tous	PRO:IND	tout
les	DET:ART	le
sens	NOM	sen|sens
ce	PRO:DEM	ce
week-end	NOM	week-end
.	SENT	.
spectacle	NOM	spectacle
garanti	VER:pper	garantir
.	SENT	.
