malgré	PRP	malgré
quarante-sept	NUM	quarante-sept
matchs	NOM	match
.	SENT	.
après	PRP	après
la	DET:ART	le
lecture	NOM	lecture
du	PRP:det	du
palmarès	NOM	palmarès
,	PUN	,
les	DET:ART	le
joueurs	NOM	joueur
et	KON	et
les	DET:ART	le
membres	NOM	membre
du	PRP:det	du
comité	NOM	comité
ont	VER:pres	avoir
fait	VER:pper	faire
honneur	NOM	honneur
à	PRP	à
un	DET:ART	un
excellent	ADJ	excellent
buffet	NOM	buffet
.	SENT	.
en	PRP	en
même	ADJ	même
temps	NOM	temps
,	PUN	,
un	DET:ART	un
tirage	NOM	tirage
au	PRP:det	au
sort	NOM	sort
des	PRP:det	du
lots	NOM	lot
a	VER:pres	avoir
été	VER:pper	être
effectué	VER:pper	effectuer
,	PUN	,
et	KON	et
les	DET:ART	le
heureux	NOM	heureux
gagnants	ADJ	gagnant
sont	VER:pres	être
repartis	VER:pper	repartir
avec	PRP	avec
leur	DET:POS	leur
récompense	NOM	récompense
.	SENT	.
les	DET:ART	le
organisateurs	NOM	organisateur
ont	VER:pres	avoir
déjà	ADV	déjà
programmé	VER:pper	programmer
un	DET:ART	un
tournoi	NOM	tournoi
de	PRP	de
double	NOM	double
pour	PRP	pour
septembre	NOM	septembre
2003	NUM	@card@
avec	PRP	avec
en	PRP	en
projet	NOM	projet
quelques	PRO:IND	quelque
améliorations	NOM	amélioration
.	SENT	.
on	PRO:PER	on
s'	PRO:PER	se
est	VER:pres	être
donné	VER:pper	donner
rendez-vous	NOM	rendez-vous
pour	PRP	pour
les	DET:ART	le
finales	NOM	finale
du	PRP:det	du
tournoi	NOM	tournoi
interne	ADJ	interne
.	SENT	.
palmarès	NOM	palmarès
:	PUN	:
double	ADJ	double
dame	NOM	dame
:	PUN	:
1	NUM	@card@
florence	NOM	florence
mahaut	NOM	mahaut
(	PUN	(
nc	NOM	nc
),	ADJ	),
anaïs	NOM	anaïs
mahaut	NOM	mahaut
(	PUN	(
15	NUM	@card@
/	PUN	/
2	NUM	@card@
)	PUN	)
;	PUN	;
2	NUM	@card@
evelyne	NOM	evelyne
bloque	NOM	bloque
(	PUN	(
30	NUM	@card@
/	PUN	/
1	NUM	@card@
),	NOM	),
odile	ADJ	odile
hummel	NOM	hummel
(	PUN	(
30	NUM	@card@
/	PUN	/
1	NUM	@card@
)	PUN	)
;	PUN	;
3	NUM	@card@
dominique	ADJ	dominique
saint-jullian	NOM	saint-jullian
(	PUN	(
15	NUM	@card@
/	PUN	/
5	NUM	@card@
),	NOM	),
brigitte	VER:pres	brigitte
debreux	NOM	debreux
(	PUN	(
30	NUM	@card@
/	PUN	/
5	NUM	@card@
).	ABR	).
double	NOM	double
mixte	ADJ	mixte
:	PUN	:
1	NUM	@card@
anaïs	NOM	anaïs
mahaut	NOM	mahaut
(	PUN	(
15	NUM	@card@
/	PUN	/
2	NUM	@card@
)	PUN	)
)	PUN	)
),	ADJ	),
laurent	VER:pres	laurer
bibet	NOM	bibet
(	PUN	(
30	NUM	@card@
/	PUN	/
1	NUM	@card@
)	PUN	)
;	PUN	;
2	NUM	@card@
dominique	ADJ	dominique
saint-jullian	NOM	saint-jullian
(	PUN	(
15	NUM	@card@
/	PUN	/
5	NUM	@card@
),	NOM	),
julien	ADJ	julien
pruvost	NOM	pruvost
(	PUN	(
30	NUM	@card@
)	PUN	)
;	PUN	;
3	NUM	@card@
florence	NOM	florence
mahaut	NOM	mahaut
(	PUN	(
nc	NOM	nc
),	ADJ	),
yvon	ADJ	yvon
scotti	NOM	scotti
(	PUN	(
30	NUM	@card@
/	PUN	/
2	NUM	@card@
).	ABR	).
double	ADJ	double
messieurs	NOM	messieurs
:	PUN	:
1	NUM	@card@
joffrey	NOM	joffrey
cassat	NOM	cassat
(	PUN	(
15	NUM	@card@
/	PUN	/
3	NUM	@card@
),	NOM	),
julien	ADJ	julien
pruvos	NOM	pruvos
(	PUN	(
30	NUM	@card@
)	PUN	)
;	PUN	;
2	NUM	@card@
cyril	NOM	cyril
crocq	NOM	crocq
(	PUN	(
30	NUM	@card@
),	NOM	),
hugo	ADJ	hugo
maselli	NOM	maselli
(	PUN	(
15	NUM	@card@
/	PUN	/
5	NUM	@card@
)	PUN	)
;	PUN	;
3	NUM	@card@
daniel	ADJ	daniel
antion	NOM	antion
(	PUN	(
30	NUM	@card@
/	PUN	/
4	NUM	@card@
),	NOM	),
yvon	NOM	yvon
scotti	ADJ	scotti
(	PUN	(
30	NUM	@card@
/	PUN	/
2	NUM	@card@
).	ABR	).
