dix-sept	NUM	dix-sept
argile	NOM	argile
,	PUN	,
des	PRP:det	du
plantations	NOM	plantation
de	PRP	de
graines	NOM	graine
et	KON	et
un	DET:ART	un
livret	NOM	livret
de	PRP	de
feuilles	NOM	feuille
séchées	ADJ	séché
.	SENT	.
hier	ADV	hier
,	PUN	,
ils	PRO:PER	il
sont	VER:pres	être
revenus	VER:pper	revenir
pour	PRP	pour
une	DET:ART	un
dernière	ADJ	dernier
journée	NOM	journée
en	PRP	en
forêt	NOM	forêt
sur	PRP	sur
le	DET:ART	le
thème	NOM	thème
du	PRP:det	du
«	PUN:cit	«
monde	NOM	monde
de	PRP	de
la	DET:ART	le
forêt	NOM	forêt
»	PUN:cit	»
pour	PRP	pour
étudier	VER:infi	étudier
la	DET:ART	le
sylviculture	NOM	sylviculture
,	PUN	,
la	DET:ART	le
flore	NOM	flore
,	PUN	,
les	DET:ART	le
traces	NOM	trace
et	KON	et
indices	NOM	indice
d'	PRP	de
animaux	NOM	animal
...	PUN	...
le	DET:ART	le
carrefour	NOM	carrefour
des	PRP:det	du
jeunes	NOM	jeune
,	PUN	,
qui	PRO:REL	qui
organise	VER:pres	organiser
des	PRP:det	du
journées	NOM	journée
découverte	ADJ	découvert
et	KON	et
séjours	NOM	séjour
«	PUN:cit	«
environnement	NOM	environnement
»	PUN:cit	»
pour	PRP	pour
les	DET:ART	le
scolaires	ADJ	scolaire
,	PUN	,
en	PRP	en
collaboration	NOM	collaboration
avec	PRP	avec
le	DET:ART	le
service	NOM	service
éducation	NOM	éducation
du	PRP:det	du
pnrl	NOM	pnrl
,	PUN	,
a	VER:pres	avoir
déjà	ADV	déjà
accueilli	VER:pper	accueillir
des	PRP:det	du
enfants	NOM	enfant
de	PRP	de
l'	DET:ART	le
institut	NOM	institut
médico-éducatif	ADJ	médico-éducatif
et	KON	et
professionnel	ADJ	professionnel
pour	PRP	pour
les	DET:ART	le
plus	ADV	plus
grands	ADJ	grand
.	SENT	.
c'	PRO:DEM	ce
est	VER:pres	être
la	DET:ART	le
première	NUM	premier
fois	NOM	foi|fois
qu'	PRO:REL	que
il	PRO:PER	il
accueillait	VER:impf	accueillir
un	DET:ART	un
groupe	NOM	groupe
de	PRP	de
cat	NOM	cat
et	KON	et
d'	PRP	de
autres	ADJ	autre
devraient	VER:cond	devoir
venir	VER:infi	venir
encore	ADV	encore
cette	PRO:DEM	ce
année	NOM	année
.	SENT	.
une	DET:ART	un
expérience	NOM	expérience
enrichissante	ADJ	enrichissant
pour	PRP	pour
ces	PRO:DEM	ce
personnes	NOM	personne
qui	PRO:REL	qui
ont	VER:pres	avoir
apprécié	VER:pper	apprécier
la	DET:ART	le
neige	NOM	neige
en	PRP	en
forêt	NOM	forêt
,	PUN	,
les	DET:ART	le
animations	NOM	animation
proposées	VER:pper	proposer
.	SENT	.
c'	PRO:DEM	ce
est	VER:pres	être
aussi	ADV	aussi
l'	DET:ART	le
occasion	NOM	occasion
pour	PRP	pour
le	DET:ART	le
carrefour	NOM	carrefour
d'	PRP	de
ouvrir	VER:infi	ouvrir
ses	DET:POS	son
activités	NOM	activité
à	PRP	à
d'	DET:ART	de
autres	ADJ	autre
,	PUN	,
notamment	ADV	notamment
en	PRP	en
période	NOM	période
hivernale	ADJ	hivernal
plus	ADV	plus
creuse	ADJ	creux
car	KON	car
les	DET:ART	le
scolaires	ADJ	scolaire
viennent	VER:pres	venir
bien	ADV	bien
souvent	ADV	souvent
à	PRP	à
partir	VER:infi	partir
d'	PRP	de
avril	NOM	avril
et	KON	et
jusqu'en	NOM	jusqu'en
juin	NOM	juin
.	SENT	.
