«	PUN:cit	«
les	PRO:PER	la|le
accompagner	VER:infi	accompagner
vers	PRP	vers
une	DET:ART	un
nouvelle	ADJ	nouveau
activité	NOM	activité
.	SENT	.
que	KON	que
ce	PRO:DEM	ce
soit	VER:subp	être
à	PRP	à
moyenmoutier	NOM	moyenmoutier
,	PUN	,
sapois	NOM	sapois
,	PUN	,
saint-nabord	NOM	saint-nabord
,	PUN	,
mirecourt	NOM	mirecourt
,	PUN	,
neufchâteau	NOM	neufchâteau
,	PUN	,
raon-l'etape	NOM	raon-l'etape
,	PUN	,
ou	KON	ou
partout	ADV	partout
ailleurs	ADV	ailleurs
dans	PRP	dans
le	DET:ART	le
département	NOM	département
.	SENT	.
il	PRO:PER	il
y	PRO:PER	y
a	VER:pres	avoir
des	PRP:det	du
hommes	NOM	homme
et	KON	et
des	PRP:det	du
femmes	NOM	femme
qui	PRO:REL	qui
,	PUN	,
pour	PRP	pour
sortir	VER:infi	sortir
de	PRP	de
cette	PRO:DEM	ce
mauvaise	ADJ	mauvais
passe	NOM	passe
,	PUN	,
doivent	VER:pres	devoir
pouvoir	VER:infi	pouvoir
compter	VER:infi	compter
au	PRP:det	au
delà	ADV	delà
de	PRP	de
leur	DET:POS	leur
propre	ADJ	propre
courage	NOM	courage
,	PUN	,
sur	PRP	sur
notre	DET:POS	notre
aide	NOM	aide
.	SENT	.
bonne	ADJ	bon
et	KON	et
heureuse	ADJ	heureux
année	NOM	année
2003	NUM	@card@
».	ABR	».
