ce	PRO:DEM	ce
l'	DET:ART	le
année	NOM	année
reconductible	ADJ	reconductible
.	SENT	.
vote	NOM	vote
à	PRP	à
l'	DET:ART	le
unanimité	NOM	unanimité
.	SENT	.
il	PRO:PER	il
est	VER:pres	être
proposé	VER:pper	proposer
modification	NOM	modification
du	PRP:det	du
calcul	NOM	calcul
indemnitaire	ADJ	indemnitaire
pour	PRP	pour
certaines	PRO:IND	certain
catégories	NOM	catégorie
de	PRP	de
personnel	NOM	personnel
de	PRP	de
la	DET:ART	le
commune	NOM	commune
répondant	VER:ppre	répondre
aux	PRP:det	au
indemnités	NOM	indemnité
iemp	NOM	iemp
et	KON	et
iat	NOM	iat
.	SENT	.
vote	NOM	vote
à	PRP	à
l'	DET:ART	le
unanimité	NOM	unanimité
.	SENT	.
encaissement	NOM	encaissement
de	PRP	de
cautions	NOM	caution
lors	ADV	lors
de	PRP	de
location	NOM	location
de	PRP	de
salles	NOM	salle
suite	NOM	suite
à	PRP	à
des	PRP:det	du
dégradations	NOM	dégradation
constatées	VER:pper	constater
.	SENT	.
une	DET:ART	un
caution	NOM	caution
en	PRP	en
totalité	NOM	totalité
et	KON	et
une	DET:ART	un
autre	ADJ	autre
en	PRP	en
partie	NOM	partie
.	SENT	.
vote	NOM	vote
à	PRP	à
l'	DET:ART	le
unanimité	NOM	unanimité
.	SENT	.
modification	NOM	modification
des	PRP:det	du
durées	NOM	durée
et	KON	et
des	PRP:det	du
seuils	NOM	seuil
d'	PRP	de
amortissements	NOM	amortissement
des	PRP:det	du
biens	NOM	bien
matériels	ADJ	matériel
pour	PRP	pour
tenir	VER:infi	tenir
compte	NOM	compte
des	PRP:det	du
vétustés	NOM	vétusté
et	KON	et
des	PRP:det	du
usages	NOM	usage
selon	PRP	selon
un	DET:ART	un
barème	NOM	barème
préconisé	VER:pper	préconiser
.	SENT	.
vote	NOM	vote
à	PRP	à
l'	DET:ART	le
unanimité	NOM	unanimité
.	SENT	.
a	VER:pres	avoir
suivre	VER:infi	suivre
.	SENT	.
